Identifier,TGSH-0.1ug/L-C
ENSDARG00000096408,0
ENSDARG00000113059,0
ENSDARG00000096386,0
ENSDARG00000109214,0
ENSDARG00000096357,0
ENSDARG00000096395,0
ENSDARG00000096350,0
ENSDARG00000096424,0
ENSDARG00000096387,0
ENSDARG00000096406,0
ENSDARG00000113309,0
ENSDARG00000096316,0
ENSDARG00000096430,0
ENSDARG00000114819,0
ENSDARG00000096340,0
ENSDARG00000096303,0
ENSDARG00000096255,0
ENSDARG00000096241,0
ENSDARG00000096318,0
ENSDARG00000096244,0
ENSDARG00000096326,0
ENSDARG00000096289,0
ENSDARG00000096342,0
ENSDARG00000096268,0
ENSDARG00000095516,0
ENSDARG00000096333,0
ENSDARG00000096308,0
ENSDARG00000096276,0
ENSDARG00000096345,1
ENSDARG00000096388,0
ENSDARG00000096267,0
ENSDARG00000096337,0
ENSDARG00000096394,0
ENSDARG00000092616,0
ENSDARG00000096275,0
ENSDARG00000096259,0
ENSDARG00000013839,0
ENSDARG00000020679,9
ENSDARG00000094695,22
ENSDARG00000018698,30
ENSDARG00000082930,0
ENSDARG00000021399,4
ENSDARG00000037909,5
ENSDARG00000082192,0
ENSDARG00000024708,0
ENSDARG00000015538,13
ENSDARG00000076847,121
ENSDARG00000080738,0
ENSDARG00000020235,12
ENSDARG00000079353,1
ENSDARG00000037913,0
ENSDARG00000076437,1
ENSDARG00000096234,0
ENSDARG00000037914,0
ENSDARG00000011956,0
ENSDARG00000060130,2
ENSDARG00000000151,5
ENSDARG00000007654,141
ENSDARG00000095967,8
ENSDARG00000060150,21
ENSDARG00000037916,1
ENSDARG00000037917,6
ENSDARG00000100888,0
ENSDARG00000009568,4
ENSDARG00000016871,47
ENSDARG00000022254,15
ENSDARG00000076401,6
ENSDARG00000037919,62
ENSDARG00000079688,107
ENSDARG00000014915,85
ENSDARG00000060192,0
ENSDARG00000003573,15
ENSDARG00000037921,29
ENSDARG00000060207,2
ENSDARG00000046107,19
ENSDARG00000108644,0
ENSDARG00000070261,8
ENSDARG00000070256,3
ENSDARG00000098319,0
ENSDARG00000098708,0
ENSDARG00000090170,11
ENSDARG00000040070,6
ENSDARG00000040072,10
ENSDARG00000010035,1
ENSDARG00000028583,0
ENSDARG00000110352,0
ENSDARG00000008370,33
ENSDARG00000089260,3
ENSDARG00000040650,17
ENSDARG00000090062,17
ENSDARG00000076128,42
ENSDARG00000090369,22
ENSDARG00000040657,22
ENSDARG00000060246,1
ENSDARG00000037924,0
ENSDARG00000037925,47
ENSDARG00000105131,0
ENSDARG00000105068,6
ENSDARG00000104413,37
ENSDARG00000099213,25
ENSDARG00000101043,72
ENSDARG00000103743,5
ENSDARG00000102997,5
ENSDARG00000099877,2
ENSDARG00000104457,2
ENSDARG00000101886,13
ENSDARG00000098627,48
ENSDARG00000100972,0
ENSDARG00000103902,2
ENSDARG00000104719,13
ENSDARG00000105403,0
ENSDARG00000106657,0
ENSDARG00000094901,0
ENSDARG00000037895,3
ENSDARG00000037894,5
ENSDARG00000098006,0
ENSDARG00000074524,1
ENSDARG00000099290,0
ENSDARG00000070174,14
ENSDARG00000015610,9
ENSDARG00000107560,0
ENSDARG00000059804,31
ENSDARG00000037892,4
ENSDARG00000037891,4
ENSDARG00000055713,2
ENSDARG00000059773,13
ENSDARG00000014763,57
ENSDARG00000037889,0
ENSDARG00000098000,0
ENSDARG00000053070,6
ENSDARG00000059768,68
ENSDARG00000074060,7
ENSDARG00000096233,0
ENSDARG00000089129,0
ENSDARG00000020623,8
ENSDARG00000053058,680
ENSDARG00000115494,0
ENSDARG00000082213,0
ENSDARG00000080422,0
ENSDARG00000117016,0
ENSDARG00000096229,0
ENSDARG00000006849,6
ENSDARG00000097966,0
ENSDARG00000089021,0
ENSDARG00000015184,6
ENSDARG00000091834,5
ENSDARG00000000567,14
ENSDARG00000059747,7
ENSDARG00000094994,0
ENSDARG00000059743,2
ENSDARG00000017036,4
ENSDARG00000030163,0
ENSDARG00000018600,7
ENSDARG00000111413,0
ENSDARG00000070140,1
ENSDARG00000089377,0
ENSDARG00000052966,17
ENSDARG00000097166,0
ENSDARG00000052957,9
ENSDARG00000052950,23
ENSDARG00000097747,1
ENSDARG00000004748,8
ENSDARG00000052905,12
ENSDARG00000097765,2
ENSDARG00000011665,248
ENSDARG00000037865,2
ENSDARG00000019326,9
ENSDARG00000090340,1
ENSDARG00000097190,0
ENSDARG00000005414,0
ENSDARG00000081971,0
ENSDARG00000008377,18
ENSDARG00000011727,5
ENSDARG00000060496,6
ENSDARG00000083829,0
ENSDARG00000097913,0
ENSDARG00000113520,0
ENSDARG00000074703,6
ENSDARG00000009693,5
ENSDARG00000075292,4
ENSDARG00000106997,0
ENSDARG00000006642,20
ENSDARG00000070061,3
ENSDARG00000014871,32
ENSDARG00000014945,11
ENSDARG00000059701,11
ENSDARG00000052827,1
ENSDARG00000052818,0
ENSDARG00000052816,11
ENSDARG00000002967,25
ENSDARG00000017084,31
ENSDARG00000020217,3
ENSDARG00000116912,0
ENSDARG00000037867,163
ENSDARG00000059690,4
ENSDARG00000097119,1
ENSDARG00000077052,78
ENSDARG00000037870,1186
ENSDARG00000059680,71
ENSDARG00000087893,14
ENSDARG00000109826,0
ENSDARG00000096870,0
ENSDARG00000016086,9
ENSDARG00000097780,0
ENSDARG00000008383,34
ENSDARG00000027063,3
ENSDARG00000037871,3
ENSDARG00000087446,1
ENSDARG00000078111,1
ENSDARG00000037872,10
ENSDARG00000070021,3
ENSDARG00000037873,5
ENSDARG00000037874,1
ENSDARG00000015575,28
ENSDARG00000078866,11
ENSDARG00000100059,0
ENSDARG00000117275,0
ENSDARG00000105854,0
ENSDARG00000097269,0
ENSDARG00000052741,1
ENSDARG00000115627,0
ENSDARG00000025826,12
ENSDARG00000059654,89
ENSDARG00000028786,0
ENSDARG00000033382,15
ENSDARG00000037879,17
ENSDARG00000034473,22
ENSDARG00000074842,1
ENSDARG00000030573,4
ENSDARG00000075368,1
ENSDARG00000097799,3
ENSDARG00000097321,0
ENSDARG00000097382,0
ENSDARG00000097777,0
ENSDARG00000097610,0
ENSDARG00000113834,1
ENSDARG00000112996,0
ENSDARG00000114676,0
ENSDARG00000098391,13
ENSDARG00000104538,4
ENSDARG00000100947,2
ENSDARG00000100419,8
ENSDARG00000104199,1
ENSDARG00000102366,0
ENSDARG00000099888,0
ENSDARG00000102976,17
ENSDARG00000103511,12
ENSDARG00000105113,4
ENSDARG00000102964,28
ENSDARG00000102711,0
ENSDARG00000099842,0
ENSDARG00000104984,0
ENSDARG00000098065,0
ENSDARG00000099344,0
ENSDARG00000102195,6
ENSDARG00000103483,9
ENSDARG00000103137,1
ENSDARG00000098949,0
ENSDARG00000099750,0
ENSDARG00000098491,0
ENSDARG00000102827,9
ENSDARG00000104568,5
ENSDARG00000116052,2
ENSDARG00000102583,0
ENSDARG00000098780,5
ENSDARG00000102512,0
ENSDARG00000052648,5
ENSDARG00000109060,0
ENSDARG00000059616,0
ENSDARG00000074017,3
ENSDARG00000015722,29
ENSDARG00000062304,18
ENSDARG00000078649,0
ENSDARG00000069961,0
ENSDARG00000052649,42
ENSDARG00000079264,5
ENSDARG00000097197,0
ENSDARG00000085526,0
ENSDARG00000059610,22
ENSDARG00000074661,0
ENSDARG00000020504,253
ENSDARG00000037838,45
ENSDARG00000097600,0
ENSDARG00000117665,1
ENSDARG00000037836,0
ENSDARG00000052642,5
ENSDARG00000095080,0
ENSDARG00000076867,5
ENSDARG00000020363,5
ENSDARG00000037835,7
ENSDARG00000076118,1
ENSDARG00000078180,0
ENSDARG00000078824,0
ENSDARG00000091579,8
ENSDARG00000020326,5
ENSDARG00000052617,4
ENSDARG00000032344,14
ENSDARG00000090120,5
ENSDARG00000096931,0
ENSDARG00000004470,22
ENSDARG00000014420,265
ENSDARG00000113064,0
ENSDARG00000043105,3
ENSDARG00000069937,3
ENSDARG00000081869,0
ENSDARG00000031325,0
ENSDARG00000111357,1
ENSDARG00000111698,1
ENSDARG00000069940,12
ENSDARG00000107930,0
ENSDARG00000089292,0
ENSDARG00000115377,0
ENSDARG00000104027,0
ENSDARG00000098208,0
ENSDARG00000098749,7
ENSDARG00000102267,2
ENSDARG00000117589,0
ENSDARG00000101914,10
ENSDARG00000098355,174
ENSDARG00000102668,2
ENSDARG00000104225,10
ENSDARG00000102424,2
ENSDARG00000099149,0
ENSDARG00000114992,1
ENSDARG00000110960,0
ENSDARG00000111935,0
ENSDARG00000099873,1
ENSDARG00000101749,2
ENSDARG00000104829,0
ENSDARG00000085569,0
ENSDARG00000102720,0
ENSDARG00000101264,3
ENSDARG00000104483,0
ENSDARG00000099615,0
ENSDARG00000099383,2
ENSDARG00000102946,0
ENSDARG00000101585,2
ENSDARG00000102810,4
ENSDARG00000100349,1
ENSDARG00000101037,5
ENSDARG00000102948,0
ENSDARG00000099292,0
ENSDARG00000104436,94
ENSDARG00000103193,0
ENSDARG00000104022,1
ENSDARG00000104603,0
ENSDARG00000097890,0
ENSDARG00000038768,25
ENSDARG00000038770,1
ENSDARG00000020960,22
ENSDARG00000042357,10
ENSDARG00000052215,5
ENSDARG00000086228,1
ENSDARG00000077698,2
ENSDARG00000078953,8
ENSDARG00000052222,3
ENSDARG00000059498,5
ENSDARG00000074443,30
ENSDARG00000052223,53
ENSDARG00000097769,0
ENSDARG00000086204,2
ENSDARG00000097976,0
ENSDARG00000105223,34
ENSDARG00000101457,6
ENSDARG00000102161,1
ENSDARG00000097006,0
ENSDARG00000080933,0
ENSDARG00000010727,7
ENSDARG00000097451,0
ENSDARG00000062799,4
ENSDARG00000078222,10
ENSDARG00000081891,0
ENSDARG00000099792,0
ENSDARG00000070979,0
ENSDARG00000074362,0
ENSDARG00000056062,0
ENSDARG00000096946,0
ENSDARG00000116704,0
ENSDARG00000097960,0
ENSDARG00000097993,0
ENSDARG00000026313,0
ENSDARG00000097138,0
ENSDARG00000097680,0
ENSDARG00000078602,0
ENSDARG00000006240,16
ENSDARG00000003970,0
ENSDARG00000082480,0
ENSDARG00000089883,2
ENSDARG00000002872,6
ENSDARG00000090871,4
ENSDARG00000089951,0
ENSDARG00000021233,0
ENSDARG00000073974,0
ENSDARG00000077249,0
ENSDARG00000077915,0
ENSDARG00000108067,0
ENSDARG00000091754,1
ENSDARG00000029931,10
ENSDARG00000089922,1
ENSDARG00000052150,80
ENSDARG00000042338,2
ENSDARG00000078364,0
ENSDARG00000078904,41
ENSDARG00000098017,14
ENSDARG00000007603,1
ENSDARG00000007092,8
ENSDARG00000059475,8
ENSDARG00000039116,1
ENSDARG00000075015,33
ENSDARG00000052176,1
ENSDARG00000016213,1
ENSDARG00000052139,43
ENSDARG00000028048,31
ENSDARG00000082126,0
ENSDARG00000098294,0
ENSDARG00000077847,22
ENSDARG00000108978,0
ENSDARG00000005679,5
ENSDARG00000079808,2
ENSDARG00000020265,0
ENSDARG00000022232,8
ENSDARG00000014929,0
ENSDARG00000016889,76
ENSDARG00000030756,23
ENSDARG00000036548,2
ENSDARG00000076144,0
ENSDARG00000094952,0
ENSDARG00000095312,0
ENSDARG00000020976,6
ENSDARG00000004796,13
ENSDARG00000079802,2
ENSDARG00000036541,8
ENSDARG00000069729,0
ENSDARG00000010918,4
ENSDARG00000069734,0
ENSDARG00000069735,0
ENSDARG00000097238,0
ENSDARG00000097011,0
ENSDARG00000089087,0
ENSDARG00000079078,0
ENSDARG00000113599,83
ENSDARG00000089475,83
ENSDARG00000115405,75
ENSDARG00000088330,142
ENSDARG00000087390,158
ENSDARG00000089124,80
ENSDARG00000079305,84
ENSDARG00000018393,12
ENSDARG00000035706,7
ENSDARG00000097571,0
ENSDARG00000107630,0
ENSDARG00000018109,1
ENSDARG00000013997,3
ENSDARG00000097737,3
ENSDARG00000080685,0
ENSDARG00000078186,22
ENSDARG00000100149,24
ENSDARG00000079679,0
ENSDARG00000102045,2
ENSDARG00000099841,2
ENSDARG00000100672,2
ENSDARG00000039240,1
ENSDARG00000005159,1
ENSDARG00000097291,0
ENSDARG00000089829,1
ENSDARG00000100331,4
ENSDARG00000087954,1
ENSDARG00000086628,1
ENSDARG00000117771,0
ENSDARG00000115573,2
ENSDARG00000099465,17
ENSDARG00000001804,7
ENSDARG00000062947,0
ENSDARG00000004322,2
ENSDARG00000006522,0
ENSDARG00000021846,2
ENSDARG00000103739,9
ENSDARG00000059574,0
ENSDARG00000109643,1
ENSDARG00000025428,13
ENSDARG00000076742,24
ENSDARG00000032327,44
ENSDARG00000075261,4
ENSDARG00000078608,0
ENSDARG00000037805,0
ENSDARG00000076848,0
ENSDARG00000040528,3
ENSDARG00000012192,7
ENSDARG00000052429,7
ENSDARG00000069787,0
ENSDARG00000095806,0
ENSDARG00000102450,0
ENSDARG00000089291,5
ENSDARG00000031126,0
ENSDARG00000053953,0
ENSDARG00000102254,2
ENSDARG00000097566,0
ENSDARG00000097851,0
ENSDARG00000097809,0
ENSDARG00000096821,0
ENSDARG00000079603,0
ENSDARG00000097337,1
ENSDARG00000078428,0
ENSDARG00000052426,0
ENSDARG00000069878,3
ENSDARG00000014794,41
ENSDARG00000100690,1
ENSDARG00000090901,3
ENSDARG00000117625,0
ENSDARG00000115174,5
ENSDARG00000088258,1
ENSDARG00000117344,0
ENSDARG00000087210,0
ENSDARG00000059914,0
ENSDARG00000035952,0
ENSDARG00000052300,0
ENSDARG00000097343,3
ENSDARG00000086459,1
ENSDARG00000031618,0
ENSDARG00000087306,1
ENSDARG00000115425,3
ENSDARG00000097015,0
ENSDARG00000039453,0
ENSDARG00000097297,0
ENSDARG00000069839,0
ENSDARG00000111019,0
ENSDARG00000093689,0
ENSDARG00000097603,0
ENSDARG00000110539,0
ENSDARG00000097271,0
ENSDARG00000113546,0
ENSDARG00000059567,0
ENSDARG00000014366,26
ENSDARG00000040601,0
ENSDARG00000078975,0
ENSDARG00000117537,0
ENSDARG00000101356,0
ENSDARG00000099238,14
ENSDARG00000099222,0
ENSDARG00000115505,0
ENSDARG00000111820,0
ENSDARG00000098821,18
ENSDARG00000074671,26
ENSDARG00000060263,0
ENSDARG00000116806,39
ENSDARG00000078383,6
ENSDARG00000077732,43
ENSDARG00000043795,66
ENSDARG00000026834,14
ENSDARG00000059556,4
ENSDARG00000089338,1
ENSDARG00000076807,1
ENSDARG00000069869,0
ENSDARG00000103341,0
ENSDARG00000090930,1
ENSDARG00000097523,0
ENSDARG00000059557,0
ENSDARG00000089079,0
ENSDARG00000102593,0
ENSDARG00000074345,8
ENSDARG00000085668,0
ENSDARG00000098465,45
ENSDARG00000102896,2
ENSDARG00000099516,1
ENSDARG00000103893,6
ENSDARG00000102828,0
ENSDARG00000117600,2
ENSDARG00000115335,0
ENSDARG00000101919,2
ENSDARG00000036844,0
ENSDARG00000036846,2
ENSDARG00000090861,0
ENSDARG00000036852,0
ENSDARG00000099260,0
ENSDARG00000030560,8
ENSDARG00000052360,0
ENSDARG00000074669,0
ENSDARG00000018903,42
ENSDARG00000037790,63
ENSDARG00000024433,325
ENSDARG00000098994,0
ENSDARG00000037789,9828
ENSDARG00000032836,37
ENSDARG00000076324,24
ENSDARG00000074086,2
ENSDARG00000097521,0
ENSDARG00000097842,12
ENSDARG00000097501,0
ENSDARG00000088331,1
ENSDARG00000098021,3
ENSDARG00000096851,0
ENSDARG00000086332,16
ENSDARG00000031119,0
ENSDARG00000101684,0
ENSDARG00000097098,0
ENSDARG00000103947,3
ENSDARG00000074768,0
ENSDARG00000037794,0
ENSDARG00000074317,0
ENSDARG00000076679,66
ENSDARG00000067607,0
ENSDARG00000056394,12
ENSDARG00000041300,0
ENSDARG00000079482,0
ENSDARG00000041294,0
ENSDARG00000052344,1
ENSDARG00000067593,4
ENSDARG00000116815,6
ENSDARG00000116271,19
ENSDARG00000116723,0
ENSDARG00000102658,1
ENSDARG00000115456,2
ENSDARG00000069796,18
ENSDARG00000078281,1
ENSDARG00000111506,0
ENSDARG00000076831,2
ENSDARG00000077080,0
ENSDARG00000037783,26
ENSDARG00000037782,0
ENSDARG00000069806,0
ENSDARG00000097714,0
ENSDARG00000043923,4
ENSDARG00000102141,0
ENSDARG00000102123,0
ENSDARG00000114503,0
ENSDARG00000115971,0
ENSDARG00000098311,0
ENSDARG00000104839,1
ENSDARG00000100143,0
ENSDARG00000102474,3
ENSDARG00000104049,5
ENSDARG00000102226,3
ENSDARG00000103095,7
ENSDARG00000102128,8
ENSDARG00000110470,0
ENSDARG00000100422,1
ENSDARG00000104632,0
ENSDARG00000100660,1
ENSDARG00000113107,0
ENSDARG00000099787,0
ENSDARG00000112451,0
ENSDARG00000070546,0
ENSDARG00000045914,70
ENSDARG00000045913,34
ENSDARG00000045911,4
ENSDARG00000045910,6
ENSDARG00000045909,1
ENSDARG00000025073,899
ENSDARG00000084828,0
ENSDARG00000095951,0
ENSDARG00000093924,0
ENSDARG00000108269,0
ENSDARG00000084451,0
ENSDARG00000031737,1
ENSDARG00000099652,5
ENSDARG00000101047,1
ENSDARG00000102104,0
ENSDARG00000099833,9
ENSDARG00000103870,1
ENSDARG00000096118,13
ENSDARG00000045900,2
ENSDARG00000016968,11
ENSDARG00000102878,16
ENSDARG00000059311,32
ENSDARG00000017386,0
ENSDARG00000045898,27
ENSDARG00000006060,27
ENSDARG00000113105,0
ENSDARG00000103050,0
ENSDARG00000070535,0
ENSDARG00000013789,0
ENSDARG00000063686,3
ENSDARG00000087962,11
ENSDARG00000099313,21
ENSDARG00000103102,2
ENSDARG00000104018,68
ENSDARG00000102157,1
ENSDARG00000098612,4
ENSDARG00000100898,0
ENSDARG00000102340,39
ENSDARG00000111388,0
ENSDARG00000025601,0
ENSDARG00000063672,9
ENSDARG00000018149,39
ENSDARG00000095920,0
ENSDARG00000045886,35
ENSDARG00000045885,13
ENSDARG00000007413,16
ENSDARG00000097341,2
ENSDARG00000045880,1
ENSDARG00000009657,12
ENSDARG00000093658,3
ENSDARG00000026839,8
ENSDARG00000016979,12
ENSDARG00000070477,3
ENSDARG00000045878,1
ENSDARG00000045877,31
ENSDARG00000079391,37
ENSDARG00000015921,23
ENSDARG00000099520,0
ENSDARG00000061544,3
ENSDARG00000020812,1
ENSDARG00000094007,1
ENSDARG00000093685,0
ENSDARG00000059196,0
ENSDARG00000009262,2
ENSDARG00000018618,58
ENSDARG00000045874,8
ENSDARG00000057468,0
ENSDARG00000045873,0
ENSDARG00000079143,1
ENSDARG00000057714,9
ENSDARG00000045224,1
ENSDARG00000011246,5
ENSDARG00000053709,1
ENSDARG00000099129,18
ENSDARG00000101813,77
ENSDARG00000039724,1
ENSDARG00000070441,3
ENSDARG00000011961,24
ENSDARG00000008986,2
ENSDARG00000008235,6
ENSDARG00000107595,0
ENSDARG00000004592,8
ENSDARG00000006567,1
ENSDARG00000016231,6
ENSDARG00000016749,3
ENSDARG00000004227,2
ENSDARG00000006038,8
ENSDARG00000045870,11
ENSDARG00000098551,0
ENSDARG00000060248,1
ENSDARG00000017757,4
ENSDARG00000030598,2
ENSDARG00000077356,0
ENSDARG00000097907,1
ENSDARG00000089860,2
ENSDARG00000097073,0
ENSDARG00000039843,5
ENSDARG00000077654,3
ENSDARG00000112842,0
ENSDARG00000070414,0
ENSDARG00000033296,2
ENSDARG00000006283,18
ENSDARG00000045864,1
ENSDARG00000045863,0
ENSDARG00000093470,0
ENSDARG00000105162,5
ENSDARG00000107526,3
ENSDARG00000016691,20
ENSDARG00000101363,12
ENSDARG00000095042,1
ENSDARG00000100963,0
ENSDARG00000115613,11
ENSDARG00000059043,12
ENSDARG00000075281,2
ENSDARG00000023766,14
ENSDARG00000097286,0
ENSDARG00000039356,1
ENSDARG00000059064,1
ENSDARG00000099725,0
ENSDARG00000090401,0
ENSDARG00000063578,0
ENSDARG00000106466,0
ENSDARG00000063563,33
ENSDARG00000039350,12
ENSDARG00000073963,2
ENSDARG00000069607,9
ENSDARG00000059053,9
ENSDARG00000092677,20
ENSDARG00000020871,17
ENSDARG00000039346,28
ENSDARG00000101565,4
ENSDARG00000097044,3
ENSDARG00000059003,3
ENSDARG00000039343,35
ENSDARG00000039340,1
ENSDARG00000070408,0
ENSDARG00000045858,4
ENSDARG00000045856,0
ENSDARG00000045854,0
ENSDARG00000045853,3
ENSDARG00000045851,0
ENSDARG00000095324,0
ENSDARG00000015623,0
ENSDARG00000030694,111
ENSDARG00000096037,2
ENSDARG00000045850,5
ENSDARG00000015931,42
ENSDARG00000063481,2
ENSDARG00000045847,21
ENSDARG00000045846,6
ENSDARG00000045843,24
ENSDARG00000045842,13
ENSDARG00000095332,2
ENSDARG00000014395,0
ENSDARG00000045837,1
ENSDARG00000094254,0
ENSDARG00000097507,2
ENSDARG00000095186,0
ENSDARG00000096986,0
ENSDARG00000097353,5
ENSDARG00000110143,0
ENSDARG00000045836,1
ENSDARG00000006409,2
ENSDARG00000045835,80
ENSDARG00000045834,8
ENSDARG00000034700,7
ENSDARG00000024465,4
ENSDARG00000017355,0
ENSDARG00000031956,0
ENSDARG00000070220,3
ENSDARG00000075956,7
ENSDARG00000009607,3
ENSDARG00000054321,49
ENSDARG00000024654,0
ENSDARG00000040610,4
ENSDARG00000003200,3
ENSDARG00000100253,0
ENSDARG00000091640,2
ENSDARG00000073858,4
ENSDARG00000088078,1
ENSDARG00000099560,8
ENSDARG00000087120,0
ENSDARG00000099280,9
ENSDARG00000101680,14
ENSDARG00000098745,1
ENSDARG00000074223,6
ENSDARG00000093020,0
ENSDARG00000091974,0
ENSDARG00000005453,25
ENSDARG00000090468,2
ENSDARG00000099281,12
ENSDARG00000068701,24
ENSDARG00000097967,1
ENSDARG00000068705,0
ENSDARG00000068708,30
ENSDARG00000024874,12
ENSDARG00000096138,0
ENSDARG00000084778,0
ENSDARG00000107521,0
ENSDARG00000110906,0
ENSDARG00000113211,0
ENSDARG00000102702,0
ENSDARG00000102461,0
ENSDARG00000101296,0
ENSDARG00000099870,4
ENSDARG00000070314,16
ENSDARG00000045822,64
ENSDARG00000105079,7
ENSDARG00000101254,0
ENSDARG00000006029,8
ENSDARG00000018688,0
ENSDARG00000112117,0
ENSDARG00000079470,1
ENSDARG00000105096,0
ENSDARG00000104976,0
ENSDARG00000086740,38
ENSDARG00000027799,2
ENSDARG00000045815,1
ENSDARG00000078073,7
ENSDARG00000075025,8
ENSDARG00000074905,2
ENSDARG00000026052,0
ENSDARG00000002663,6
ENSDARG00000074547,1
ENSDARG00000076313,1
ENSDARG00000074613,9
ENSDARG00000039393,6
ENSDARG00000039392,36
ENSDARG00000108662,0
ENSDARG00000081119,0
ENSDARG00000079824,1
ENSDARG00000076014,5
ENSDARG00000031930,0
ENSDARG00000109986,0
ENSDARG00000102464,0
ENSDARG00000081240,0
ENSDARG00000045801,3
ENSDARG00000096855,0
ENSDARG00000101849,72
ENSDARG00000093557,0
ENSDARG00000103537,6
ENSDARG00000102020,3
ENSDARG00000101967,38
ENSDARG00000088181,14
ENSDARG00000063097,6
ENSDARG00000039681,8
ENSDARG00000070230,0
ENSDARG00000077926,3
ENSDARG00000073881,1
ENSDARG00000034375,0
ENSDARG00000039185,15
ENSDARG00000058127,0
ENSDARG00000045788,3
ENSDARG00000045789,16
ENSDARG00000045790,3
ENSDARG00000058159,6
ENSDARG00000063149,15
ENSDARG00000016538,0
ENSDARG00000025859,5
ENSDARG00000058042,2
ENSDARG00000088044,0
ENSDARG00000091656,25
ENSDARG00000099821,0
ENSDARG00000063054,2
ENSDARG00000075501,2
ENSDARG00000058030,6
ENSDARG00000045704,1
ENSDARG00000045705,6
ENSDARG00000033179,3
ENSDARG00000109844,17
ENSDARG00000110426,0
ENSDARG00000096009,0
ENSDARG00000025824,7
ENSDARG00000004386,9
ENSDARG00000114963,0
ENSDARG00000045706,9
ENSDARG00000094732,7
ENSDARG00000057983,1
ENSDARG00000063008,14
ENSDARG00000057974,3
ENSDARG00000086650,0
ENSDARG00000003570,50
ENSDARG00000057942,2
ENSDARG00000062983,3
ENSDARG00000045708,2
ENSDARG00000070126,1
ENSDARG00000062968,17
ENSDARG00000057929,3
ENSDARG00000057921,0
ENSDARG00000018820,0
ENSDARG00000032799,16
ENSDARG00000032389,5
ENSDARG00000034326,26
ENSDARG00000045747,0
ENSDARG00000106389,0
ENSDARG00000094973,0
ENSDARG00000045748,1
ENSDARG00000094597,0
ENSDARG00000116855,1
ENSDARG00000097175,0
ENSDARG00000111380,0
ENSDARG00000095446,0
ENSDARG00000093014,0
ENSDARG00000096967,0
ENSDARG00000045749,9
ENSDARG00000095994,1
ENSDARG00000045750,1
ENSDARG00000095981,0
ENSDARG00000045752,0
ENSDARG00000092989,0
ENSDARG00000045753,5
ENSDARG00000045754,1
ENSDARG00000045755,13
ENSDARG00000096083,0
ENSDARG00000096010,0
ENSDARG00000096184,1
ENSDARG00000096047,0
ENSDARG00000094603,0
ENSDARG00000096156,0
ENSDARG00000096187,0
ENSDARG00000096039,0
ENSDARG00000096153,0
ENSDARG00000045758,4
ENSDARG00000045760,8
ENSDARG00000001781,1
ENSDARG00000096114,0
ENSDARG00000096218,0
ENSDARG00000096131,0
ENSDARG00000094545,0
ENSDARG00000019235,14
ENSDARG00000063299,85
ENSDARG00000070015,0
ENSDARG00000003822,2
ENSDARG00000005451,83
ENSDARG00000079698,4
ENSDARG00000045765,0
ENSDARG00000112657,0
ENSDARG00000032765,27
ENSDARG00000081841,0
ENSDARG00000081284,0
ENSDARG00000096147,3
ENSDARG00000025576,5
ENSDARG00000031228,30
ENSDARG00000096099,0
ENSDARG00000093427,0
ENSDARG00000092083,0
ENSDARG00000117743,0
ENSDARG00000094299,0
ENSDARG00000005891,5
ENSDARG00000063255,6
ENSDARG00000094457,1
ENSDARG00000045768,32
ENSDARG00000032242,1
ENSDARG00000058366,11
ENSDARG00000017661,10
ENSDARG00000020015,19
ENSDARG00000006747,56
ENSDARG00000094980,0
ENSDARG00000007639,8
ENSDARG00000041665,65
ENSDARG00000087319,0
ENSDARG00000058244,2
ENSDARG00000103365,0
ENSDARG00000095461,0
ENSDARG00000074873,0
ENSDARG00000104625,0
ENSDARG00000103215,0
ENSDARG00000019396,8
ENSDARG00000013476,1
ENSDARG00000085437,0
ENSDARG00000008720,26
ENSDARG00000110404,0
ENSDARG00000032618,13
ENSDARG00000022165,17
ENSDARG00000005897,5
ENSDARG00000053127,4
ENSDARG00000053131,0
ENSDARG00000053136,0
ENSDARG00000069912,8
ENSDARG00000117577,0
ENSDARG00000045658,20
ENSDARG00000015824,0
ENSDARG00000005541,4
ENSDARG00000078613,1
ENSDARG00000014361,40
ENSDARG00000110543,0
ENSDARG00000094001,0
ENSDARG00000097457,1
ENSDARG00000096135,1
ENSDARG00000015053,5
ENSDARG00000117423,0
ENSDARG00000017841,35
ENSDARG00000045669,1
ENSDARG00000094646,29
ENSDARG00000092714,0
ENSDARG00000024211,0
ENSDARG00000045671,0
ENSDARG00000045672,0
ENSDARG00000045673,0
ENSDARG00000045675,2
ENSDARG00000045676,14
ENSDARG00000045677,1984
ENSDARG00000081977,0
ENSDARG00000045680,5
ENSDARG00000045681,1
ENSDARG00000045683,0
ENSDARG00000078745,3
ENSDARG00000105458,0
ENSDARG00000006396,6
ENSDARG00000112990,0
ENSDARG00000045685,10
ENSDARG00000045687,0
ENSDARG00000022550,0
ENSDARG00000045692,13
ENSDARG00000015966,17
ENSDARG00000045691,5
ENSDARG00000045694,14
ENSDARG00000095980,0
ENSDARG00000096149,1
ENSDARG00000109403,0
ENSDARG00000113738,0
ENSDARG00000097023,0
ENSDARG00000097419,1
ENSDARG00000093588,0
ENSDARG00000069780,4
ENSDARG00000011661,5
ENSDARG00000062797,72
ENSDARG00000018744,0
ENSDARG00000020086,2
ENSDARG00000096496,0
ENSDARG00000092161,0
ENSDARG00000003811,15
ENSDARG00000094799,1
