"","diff","lwr.ci","upr.ci","pval"
"100-0",-8.76347217837099,-43.3490435879531,25.8220992312112,0.945565959648603
"1000-0",3.296329520095,-31.2892418894872,37.8819009296772,0.999312202466125
"10000-0",-7.69840659836584,-42.283978007948,26.8871648112163,0.967558403346655
"100000-0",5.66737746630393,-28.9181939432782,40.2529488758861,0.991322687438424
"1000000-0",8.51177154931399,-26.0737998602682,43.0973429588961,0.951419766868015
