chemical,endpoint,lowerCI,median,upperCI,missingvalues,median_POD,low_conf,high_conf
Analine,20th gene,-0.4497263848082991,-0.3498576762075661,-0.2535604210441247,,0.44683,0.355037,0.55775
Decanol,20th gene,-2.9195863839638787,-2.5534441940781782,-2.2634393733939433,,0.00279612,0.0012034100000000002,0.005452059999999997
EE2,20th gene,-4.760635444155221,-4.672463296731285,-4.621622087960819,,2.125869999999998e-5,1.7352600000000014e-5,2.3898900000000006e-5
Fadrozole,20th gene,-1.3615237221548555,-1.3143854342763865,-1.2759757663157913,,0.048485799999999996,0.043498699999999994,0.05296929999999999
Fenitrothion,20th gene,-1.541434665324,-1.5048568416375359,-1.4760897284409222,,0.03127110000000001,0.028745199999999995,0.0334126
Glyphosate,20th gene,-1.08836200229414,-0.8965349555824367,-0.38791687573610234,,0.126901,0.08159020000000002,0.409339
Malathion,20th gene,-1.4544368366410005,-1.36690742225909,-1.3262623150429862,,0.042962799999999995,0.035120700000000005,0.04717779999999999
Prochloraz,20th gene,-2.712610373699672,-2.040097554316204,-1.5120673236488058,,0.00911806,0.0019381600000000002,0.030756200000000004
Trenbolone,20th gene,-2.4603957889766246,-2.365061474006731,-2.3022085313480436,,0.004314580000000001,0.0034642100000000014,0.00498645
Analine,10th pct,-0.5772116738901077,-0.4624078037567175,-0.3840007530370453,,0.34481980049413596,0.2647209581735839,0.41304678579455273
Decanol,10th pct,-2.374074868660097,-1.8380769421298282,-1.7075977112409624,,0.014518543758575218,0.00422595756086054,0.019606599999999995
EE2,10th pct,-4.6208366485697585,-4.589592284912217,-4.549172509819787,,2.572809999999999e-5,2.3942161249381593e-5,2.823758103046892e-5
Fadrozole,10th pct,-1.1655926496483806,-1.1438743460254517,-1.120020496814329,,0.0718002,0.0682979,0.07585417743053567
Fenitrothion,10th pct,-1.4949481359239065,-1.464709678467852,-1.412430424615786,,0.034299699999999995,0.031992771491903174,0.03868740281425004
Glyphosate,10th pct,-1.4107599162300022,-1.2273452633344806,-1.1246903911846733,,0.0592454137331321,0.0388365,0.07504289999999998
Malathion,10th pct,-1.3177456865705643,-1.290332400586614,-1.2510448802474512,,0.0512469,0.0481121,0.056098999999999996
Prochloraz,10th pct,-1.5168108104364222,-1.4578137309826675,-1.415153285603031,,0.03484867490457551,0.030422099999999994,0.03844560631191478
Trenbolone,10th pct,-2.5558552341253558,-2.4693867019978337,-2.38438342101417,,0.003393230000000002,0.002780639999999999,0.00412683
Analine,1st Mode,-0.2846434064986614,-0.21152271833583702,-0.14016596855599683,,0.6144368891175196,0.5192261937656284,0.7241591648954431
Decanol,1st Mode,-3.0866077233976985,-1.3918999783015944,-1.3204829405357352,,0.04056019382547702,8.192044006421545e-4,0.04780981458904865
EE2,1st Mode,-4.405046772069372,-4.385520414855412,-4.362801855862116,,4.116039986028219e-5,3.93507693705517e-5,4.337087101375321e-5
Fadrozole,1st Mode,-1.0444722618499487,-1.0295392139060708,-1.0184098091356348,,0.09342450083320865,0.09026673584983422,0.09584957485020303
Fenitrothion,1st Mode,-1.3435063232995197,-1.3066294181256097,-1.2731541254122356,,0.049359480693155815,0.045341269607147454,0.053314565551372255
Glyphosate,1st Mode,-2.4713466947136356,-1.1023495986031033,-0.9975459931592348,,0.07900424032058297,0.0033779506873998426,0.10056665540931882
Malathion,1st Mode,-1.2249727758106541,-1.1807444102872888,-1.1224067040582075,,0.06595619445043739,0.05956994843839817,0.07543854369132214
Prochloraz,1st Mode,-2.819312107139234,-1.2597891868561817,-1.2355898070294944,,0.05498076941061783,0.0015159605259440637,0.05813132110921095
Trenbolone,1st Mode,-3.934011130119913,-2.3085298095475246,-2.2231550526437056,,0.004914396471059297,1.1640961955147985e-4,0.005981979871456846
Analine,GO Term,-0.5001164298401015,-0.40249516306557154,0.45381810272329215,,0.39582647330995935,0.316143,2.84327
Decanol,GO Term,-2.655448579672406,-2.371745977657879,-0.39875833852909304,,0.00424868,0.002210810000000001,0.399247
EE2,GO Term,-5.99023900459377,-5.066154150178498,-4.421916905362988,,8.587086739983463e-6,1.0227299999999995e-6,3.785150000000003e-5
Fadrozole,GO Term,-1.2448991826437632,-1.2207268249543186,-0.9780750917201468,,0.060155200000000006,0.05689849999999999,0.105178
Fenitrothion,GO Term,-1.540137281214549,-1.4535486466646375,-0.4017765245585376,,0.035192600000000004,0.028831199999999998,0.396482
Glyphosate,GO Term,-1.6928680613142846,-1.162434060386799,-0.6391823563498525,,0.06879643590884633,0.020282988232161455,0.22951847183178964
Malathion,GO Term,-1.333334159859136,-1.244822861418703,-0.42007699437451185,,0.05690850000000001,0.04641579999999999,0.380122
Prochloraz,GO Term,-3.122697778116138,-2.7084868527593695,-0.2795363834849622,,0.00195665,7.538800000000001e-4,0.525368
Trenbolone,GO Term,-2.4365948634506047,-2.365018193473734,-1.4208282751251442,,0.004315010000000001,0.0036593600000000013,0.037946499999999994
Analine,Reactome,-0.4596317282996282,-0.34535859783151485,0.45381810272329215,,0.451483,0.347031,2.84327
Decanol,Reactome,-1.5631554258616114,-1.53034667534933,-1.3856818778191815,,0.029488543654104044,0.027342900000000007,0.04114509999999999
EE2,Reactome,-4.672463296731285,-4.618592478454311,-4.397657808963773,,2.4066200000000003e-5,2.125869999999998e-5,4.002600000000001e-5
Fadrozole,Reactome,-1.4688916686704576,-1.2753170677232997,-0.4733080016171166,,0.0530497,0.033971,0.336273
Fenitrothion,Reactome,-2.952359155191822,-1.5048568416375359,-0.36079549523486293,,0.03127110000000001,0.00111594,0.435717
Glyphosate,Reactome,-0.3659108460783329,-0.206591012292679,-0.16394882853136017,,0.621454,0.430615,0.685569
