"gene","genecount"
"ENSDARG00000020741",706
"ENSDARG00000104660",58
"ENSDARG00000096594",0
"ENSDARG00000077652",53
"ENSDARG00000079452",4
"ENSDARG00000089943",2
"ENSDARG00000096536",0
"ENSDARG00000077533",401
"ENSDARG00000030563",22
"ENSDARG00000026387",8
"ENSDARG00000070495",2
"ENSDARG00000084766",0
"ENSDARG00000034785",15
"ENSDARG00000070512",122
"ENSDARG00000070504",24
"ENSDARG00000062057",0
"ENSDARG00000067992",0
"ENSDARG00000103508",0
"ENSDARG00000070502",1
"ENSDARG00000037679",24
"ENSDARG00000076833",227
"ENSDARG00000012297",65
"ENSDARG00000087107",5
"ENSDARG00000099342",12
"ENSDARG00000008487",1102
"ENSDARG00000084839",0
"ENSDARG00000100507",0
"ENSDARG00000070239",98
"ENSDARG00000074379",0
"ENSDARG00000062854",105
"ENSDARG00000112849",0
"ENSDARG00000113410",0
"ENSDARG00000092242",0
"ENSDARG00000092200",0
"ENSDARG00000093636",0
"ENSDARG00000095482",0
"ENSDARG00000094981",0
"ENSDARG00000037619",0
"ENSDARG00000062585",18
"ENSDARG00000074213",14
"ENSDARG00000062606",33
"ENSDARG00000077198",0
"ENSDARG00000007678",364
"ENSDARG00000089930",78
"ENSDARG00000078057",67
"ENSDARG00000070448",251
"ENSDARG00000070449",168
"ENSDARG00000042988",217
"ENSDARG00000096506",0
"ENSDARG00000070452",33
"ENSDARG00000070454",33
"ENSDARG00000096515",0
"ENSDARG00000038114",14
"ENSDARG00000008637",648
"ENSDARG00000091609",47
"ENSDARG00000002634",21
"ENSDARG00000062467",5
"ENSDARG00000032808",2
"ENSDARG00000078318",40
"ENSDARG00000018997",130
"ENSDARG00000099771",101
"ENSDARG00000045620",103
"ENSDARG00000045618",176
"ENSDARG00000057248",55
"ENSDARG00000017985",73
"ENSDARG00000113585",0
"ENSDARG00000106508",0
"ENSDARG00000117227",0
"ENSDARG00000104707",0
"ENSDARG00000102049",0
"ENSDARG00000116228",0
"ENSDARG00000099729",399
"ENSDARG00000105122",0
"ENSDARG00000098668",0
"ENSDARG00000098053",0
"ENSDARG00000102604",0
"ENSDARG00000102339",6
"ENSDARG00000089805",116
"ENSDARG00000117726",0
"ENSDARG00000117541",17
"ENSDARG00000112668",0
"ENSDARG00000110084",0
"ENSDARG00000078525",20
"ENSDARG00000079626",177
"ENSDARG00000057114",31
"ENSDARG00000009026",358
"ENSDARG00000085400",0
"ENSDARG00000014273",274
"ENSDARG00000104795",1
"ENSDARG00000056806",13
"ENSDARG00000056797",58
"ENSDARG00000062341",62
"ENSDARG00000107022",0
"ENSDARG00000056742",168
"ENSDARG00000037576",0
"ENSDARG00000070431",148
"ENSDARG00000022690",60
"ENSDARG00000056677",6
"ENSDARG00000012903",152
"ENSDARG00000003398",57
"ENSDARG00000074867",40
"ENSDARG00000109597",11
"ENSDARG00000111274",0
"ENSDARG00000110922",22
"ENSDARG00000116310",0
"ENSDARG00000109592",0
"ENSDARG00000117482",0
"ENSDARG00000103921",0
"ENSDARG00000114198",0
"ENSDARG00000106947",0
"ENSDARG00000039063",7
"ENSDARG00000113383",0
"ENSDARG00000109748",0
"ENSDARG00000116279",0
"ENSDARG00000109910",0
"ENSDARG00000116174",0
"ENSDARG00000116266",0
"ENSDARG00000111171",0
"ENSDARG00000111710",0
"ENSDARG00000111723",0
"ENSDARG00000115042",0
"ENSDARG00000114262",0
"ENSDARG00000078898",417
"ENSDARG00000007534",1
"ENSDARG00000077804",63
"ENSDARG00000013881",99
"ENSDARG00000079317",176
"ENSDARG00000117428",15
"ENSDARG00000106258",10
"ENSDARG00000078854",54
"ENSDARG00000108223",0
"ENSDARG00000007356",0
"ENSDARG00000078599",9
"ENSDARG00000115704",19
"ENSDARG00000109375",0
"ENSDARG00000017119",63
"ENSDARG00000070412",44
"ENSDARG00000034105",113
"ENSDARG00000062198",372
"ENSDARG00000034817",91
"ENSDARG00000056504",34
"ENSDARG00000108673",0
"ENSDARG00000110937",0
"ENSDARG00000117129",0
"ENSDARG00000116147",0
"ENSDARG00000116406",0
"ENSDARG00000111254",0
"ENSDARG00000113731",0
"ENSDARG00000115569",0
"ENSDARG00000113149",0
"ENSDARG00000116958",0
"ENSDARG00000092109",0
"ENSDARG00000017591",2424
"ENSDARG00000092708",0
"ENSDARG00000017905",169
"ENSDARG00000030514",77
"ENSDARG00000056400",0
"ENSDARG00000042937",0
"ENSDARG00000092600",1
"ENSDARG00000027355",1494
"ENSDARG00000092022",0
"ENSDARG00000056381",42
"ENSDARG00000056376",1
"ENSDARG00000056369",27
"ENSDARG00000011023",11
"ENSDARG00000003046",58
"ENSDARG00000095697",0
"ENSDARG00000016065",3
"ENSDARG00000062132",464
"ENSDARG00000117687",0
"ENSDARG00000117295",2
"ENSDARG00000094943",0
"ENSDARG00000115616",0
"ENSDARG00000037545",1
"ENSDARG00000062122",16
"ENSDARG00000095111",0
"ENSDARG00000008287",35
"ENSDARG00000015495",133
"ENSDARG00000062081",110
"ENSDARG00000018178",146
"ENSDARG00000093886",0
"ENSDARG00000056163",8
"ENSDARG00000079488",0
"ENSDARG00000062055",75
"ENSDARG00000074275",166
"ENSDARG00000075330",0
"ENSDARG00000006392",53
"ENSDARG00000073902",129
"ENSDARG00000019945",275
"ENSDARG00000086957",51
"ENSDARG00000056151",311
"ENSDARG00000061985",448
"ENSDARG00000061981",45
"ENSDARG00000003631",262
"ENSDARG00000056133",24
"ENSDARG00000070321",0
"ENSDARG00000017744",223
"ENSDARG00000070320",0
"ENSDARG00000061952",149
"ENSDARG00000061936",33
"ENSDARG00000006434",18
"ENSDARG00000037484",3
"ENSDARG00000094729",0
"ENSDARG00000095388",3
"ENSDARG00000085360",0
"ENSDARG00000037487",51
"ENSDARG00000008068",17
"ENSDARG00000077648",20
"ENSDARG00000096580",1
"ENSDARG00000079250",42
"ENSDARG00000019986",289
"ENSDARG00000080019",151
"ENSDARG00000099995",336
"ENSDARG00000070278",10
"ENSDARG00000061830",52
"ENSDARG00000041776",95
"ENSDARG00000095632",0
"ENSDARG00000037455",193
"ENSDARG00000093816",0
"ENSDARG00000070266",307
"ENSDARG00000037429",62
"ENSDARG00000055874",850
"ENSDARG00000055876",65
"ENSDARG00000092321",0
"ENSDARG00000061786",44
"ENSDARG00000094202",4
"ENSDARG00000109806",0
"ENSDARG00000112850",0
"ENSDARG00000110242",0
"ENSDARG00000115895",0
"ENSDARG00000061459",199
"ENSDARG00000037411",9
"ENSDARG00000084908",0
"ENSDARG00000037410",4
"ENSDARG00000037409",19
"ENSDARG00000070173",226
"ENSDARG00000052782",9
"ENSDARG00000037406",74
"ENSDARG00000034773",91
"ENSDARG00000033273",25
"ENSDARG00000055439",13
"ENSDARG00000055443",71
"ENSDARG00000112783",0
"ENSDARG00000095593",0
"ENSDARG00000037383",3
"ENSDARG00000030759",28
"ENSDARG00000079074",12
"ENSDARG00000061504",123
"ENSDARG00000000606",44
"ENSDARG00000107258",0
"ENSDARG00000087224",18
"ENSDARG00000052764",24
"ENSDARG00000092275",0
"ENSDARG00000055559",37
"ENSDARG00000114954",0
"ENSDARG00000115778",10
"ENSDARG00000026871",26
"ENSDARG00000016470",157
"ENSDARG00000103166",1
"ENSDARG00000091660",28
"ENSDARG00000038056",125
"ENSDARG00000002406",0
"ENSDARG00000034007",308
"ENSDARG00000061143",97
"ENSDARG00000034896",430
"ENSDARG00000116099",0
"ENSDARG00000037378",9
"ENSDARG00000012672",123
"ENSDARG00000093064",35
"ENSDARG00000061121",498
"ENSDARG00000094677",94
"ENSDARG00000054799",225
"ENSDARG00000116939",0
"ENSDARG00000037350",630
"ENSDARG00000022845",32
"ENSDARG00000019838",269
"ENSDARG00000005799",20
"ENSDARG00000013505",52
"ENSDARG00000055022",432
"ENSDARG00000061451",83
"ENSDARG00000070121",9
"ENSDARG00000054680",2
"ENSDARG00000092290",17
"ENSDARG00000055099",213
"ENSDARG00000070109",101
"ENSDARG00000070098",274
"ENSDARG00000094046",0
"ENSDARG00000114096",0
"ENSDARG00000004246",395
"ENSDARG00000083023",0
"ENSDARG00000031108",601
"ENSDARG00000015266",289
"ENSDARG00000100600",0
"ENSDARG00000092542",0
"ENSDARG00000035692",2539
"ENSDARG00000094885",0
"ENSDARG00000090822",0
"ENSDARG00000088202",86
"ENSDARG00000086859",0
"ENSDARG00000090118",0
"ENSDARG00000061021",127
"ENSDARG00000037309",30
"ENSDARG00000054334",25
"ENSDARG00000116715",0
"ENSDARG00000060994",200
"ENSDARG00000106456",0
"ENSDARG00000074776",13
"ENSDARG00000074451",23
"ENSDARG00000079434",278
"ENSDARG00000031817",63
"ENSDARG00000074812",38
"ENSDARG00000070055",53
"ENSDARG00000070050",66
"ENSDARG00000095408",0
"ENSDARG00000037286",44
"ENSDARG00000037283",85
"ENSDARG00000037281",535
"ENSDARG00000037278",0
"ENSDARG00000070039",0
"ENSDARG00000091184",0
"ENSDARG00000094763",0
"ENSDARG00000037276",16
"ENSDARG00000013787",67
"ENSDARG00000086790",15
"ENSDARG00000006427",1830
"ENSDARG00000104824",16
"ENSDARG00000076499",20
"ENSDARG00000037266",37
"ENSDARG00000077157",147
"ENSDARG00000037256",5
"ENSDARG00000116236",0
"ENSDARG00000069998",18
"ENSDARG00000053995",9
"ENSDARG00000021702",500
"ENSDARG00000054031",99
"ENSDARG00000037259",41
"ENSDARG00000037260",49
"ENSDARG00000037261",52
"ENSDARG00000037262",1
"ENSDARG00000104309",0
"ENSDARG00000077817",41
"ENSDARG00000107180",0
"ENSDARG00000076928",380
"ENSDARG00000009685",18
"ENSDARG00000079377",35
"ENSDARG00000091678",74
"ENSDARG00000014790",315
"ENSDARG00000019581",395
"ENSDARG00000096665",0
"ENSDARG00000079925",0
"ENSDARG00000053731",0
"ENSDARG00000094127",0
"ENSDARG00000005210",82
"ENSDARG00000023330",245
"ENSDARG00000096667",7
"ENSDARG00000037245",23
"ENSDARG00000096554",77
"ENSDARG00000079266",14
"ENSDARG00000023600",255
"ENSDARG00000033345",13
"ENSDARG00000069989",303
"ENSDARG00000095189",0
"ENSDARG00000104096",0
"ENSDARG00000102639",0
"ENSDARG00000006621",132
"ENSDARG00000069996",117
"ENSDARG00000100083",55
"ENSDARG00000031632",34
"ENSDARG00000101474",51
"ENSDARG00000104710",18
"ENSDARG00000095954",0
"ENSDARG00000095895",0
"ENSDARG00000089138",157
"ENSDARG00000112052",0
"ENSDARG00000089334",17
"ENSDARG00000053456",94
"ENSDARG00000053466",59
"ENSDARG00000053463",113
"ENSDARG00000037109",137
"ENSDARG00000096538",0
"ENSDARG00000005739",24
"ENSDARG00000053496",33
"ENSDARG00000053500",48
"ENSDARG00000053502",35
"ENSDARG00000035080",0
"ENSDARG00000037100",1
"ENSDARG00000096627",0
"ENSDARG00000096648",0
"ENSDARG00000075193",0
"ENSDARG00000069804",0
"ENSDARG00000078546",36
"ENSDARG00000037099",219
"ENSDARG00000060620",30
"ENSDARG00000075858",10
"ENSDARG00000096592",0
"ENSDARG00000096643",0
"ENSDARG00000093663",0
"ENSDARG00000096555",0
"ENSDARG00000096544",0
"ENSDARG00000069799",0
"ENSDARG00000074117",12
"ENSDARG00000092653",0
"ENSDARG00000061732",153
"ENSDARG00000095590",0
"ENSDARG00000031202",32
"ENSDARG00000037144",61
"ENSDARG00000037177",633
"ENSDARG00000003866",347
"ENSDARG00000037178",30
"ENSDARG00000028982",333
"ENSDARG00000055839",12
"ENSDARG00000060477",116
"ENSDARG00000082429",0
"ENSDARG00000113839",0
"ENSDARG00000110947",0
"ENSDARG00000096572",0
"ENSDARG00000091513",101
"ENSDARG00000026771",35
"ENSDARG00000096632",35
"ENSDARG00000099758",244
"ENSDARG00000093065",22
"ENSDARG00000074302",0
"ENSDARG00000003142",55
"ENSDARG00000096668",10
"ENSDARG00000042688",8
"ENSDARG00000060559",77
"ENSDARG00000114316",0
"ENSDARG00000114817",0
"ENSDARG00000096527",62
"ENSDARG00000092278",0
"ENSDARG00000019715",18
"ENSDARG00000017174",2
"ENSDARG00000069946",242
"ENSDARG00000074575",284
"ENSDARG00000069951",192
"ENSDARG00000069953",10
"ENSDARG00000093358",0
"ENSDARG00000094957",0
"ENSDARG00000078902",132
"ENSDARG00000039616",2
"ENSDARG00000095941",0
"ENSDARG00000018611",3
"ENSDARG00000053269",40
"ENSDARG00000039615",19
"ENSDARG00000060501",13
"ENSDARG00000039613",22
"ENSDARG00000029751",100
"ENSDARG00000027572",17
"ENSDARG00000078733",69
"ENSDARG00000058231",267
"ENSDARG00000053248",241
"ENSDARG00000012896",235
"ENSDARG00000100996",0
"ENSDARG00000096540",0
"ENSDARG00000053241",27
"ENSDARG00000069834",1
"ENSDARG00000096548",0
"ENSDARG00000027826",25
"ENSDARG00000107292",0
"ENSDARG00000079455",192
"ENSDARG00000089053",0
"ENSDARG00000078810",0
"ENSDARG00000115601",0
"ENSDARG00000094318",0
"ENSDARG00000060716",65
"ENSDARG00000074815",95
"ENSDARG00000033380",0
"ENSDARG00000051975",53
"ENSDARG00000079280",14
"ENSDARG00000053586",70
"ENSDARG00000002190",355
"ENSDARG00000053580",0
"ENSDARG00000003701",0
"ENSDARG00000079350",221
"ENSDARG00000012763",83
"ENSDARG00000013023",5
"ENSDARG00000106311",0
"ENSDARG00000115905",0
"ENSDARG00000022971",32
"ENSDARG00000081597",0
"ENSDARG00000032056",119
"ENSDARG00000074860",38
"ENSDARG00000053542",21
"ENSDARG00000094556",0
