chemical,endpoint,lowerCI,median,upperCI
BPA,EC50,NA,NA,NA
BPAF,EC50,NA,NA,NA
DES,EC50,NA,NA,NA
EE2,EC50,NA,NA,NA
TGSH,EC50,NA,NA,NA
BPA,LC50,NA,NA,NA
BPAF,LC50,NA,NA,NA
DES,LC50,NA,NA,NA
EE2,LC50,NA,NA,NA
TGSH,LC50,NA,NA,NA
BPA,Behaviour,NA,NA,NA
BPAF,Behaviour,NA,NA,NA
DES,Behaviour,NA,NA,NA
EE2,Behaviour,NA,NA,NA
TGSH,Behaviour,NA,NA,NA
