	C10	C11	C12	C7	C8	C9	C4	C5	C6	C1	C2	C3	B10	B11	B12	B7	B8	B9
100000009	40	2	6	53	114	6	2	16	22	11	38	22	1	8	35	61	11	20
100000026	7	0	0	19	19	0	0	23	3	9	11	1	0	7	1	42	8	13
100000044	2	0	0	29	31	12	5	0	1	3	8	10	0	0	19	11	10	0
100000073	65	0	2	85	137	39	23	8	35	78	69	45	4	22	60	279	56	59
100000079	61	0	11	212	124	36	64	45	74	147	122	61	7	48	129	230	65	82
100000083	18	1	4	32	27	12	8	13	26	62	56	28	1	23	45	63	14	62
100000085	20	0	0	50	0	0	60	3	48	57	22	25	0	66	65	63	34	33
100000094	4	0	0	22	40	25	0	11	23	17	5	33	0	6	5	59	3	26
100000095	4	0	0	4	10	0	5	0	0	0	0	5	0	6	6	14	0	6
100000097	0	0	0	10	9	2	0	0	4	15	0	5	0	0	6	6	11	7
100000101	3	0	0	34	23	0	15	12	13	4	27	2	0	5	9	53	4	5
100000104	0	0	46	17	15	1	0	0	29	0	2	4	0	0	0	19	24	3
100000119	10	0	9	23	75	9	16	26	46	57	8	23	0	6	4	32	4	32
100000122	40	0	9	66	84	10	43	7	45	92	38	39	7	23	19	65	25	66
100000125	103	8	6	317	303	44	91	101	161	185	181	120	15	91	186	367	80	157
100000126	15	0	0	8	8	0	12	0	5	33	21	3	6	0	8	20	5	8
100000131	25	0	17	17	46	1	0	9	14	55	21	32	0	14	16	50	19	35
100000132	3	0	0	18	1	0	2	0	0	0	3	0	0	3	0	5	0	8
100000133	9	0	6	15	26	10	16	7	31	5	2	9	0	8	13	21	2	32
100000135	55	0	0	19	40	7	26	7	37	32	26	17	8	34	16	92	26	62
100000140	1	0	0	3	2	0	12	0	2	4	0	0	0	0	2	0	0	0
100000148	4	0	0	19	7	3	3	3	0	6	0	0	0	1	14	2	0	6
100000151	53	5	0	101	109	37	46	13	77	120	98	86	6	61	52	173	37	74
100000156	0	0	0	0	9	12	12	0	7	3	0	8	0	7	11	0	4	1
100000160	127	3	12	283	205	59	141	120	182	237	129	176	12	71	146	274	77	131
100000165	207	0	34	325	357	148	171	68	145	347	134	180	17	119	250	315	157	239
100000175	138	0	0	720	392	63	200	151	128	398	169	143	0	109	122	537	215	252
100000190	68	0	21	91	97	49	41	2	80	144	77	36	11	50	111	163	44	75
100000199	3	0	0	2	0	0	4	1	18	2	0	0	0	0	0	0	8	0
100000219	0	0	0	11	8	16	2	10	28	21	0	10	2	0	0	12	1	41
100000223	61	0	2	110	50	19	31	21	85	56	14	45	11	39	42	101	23	37
100000230	248	4	31	436	399	131	318	140	372	573	406	334	48	239	516	902	146	620
100000242	70	0	2	39	74	19	26	23	27	54	58	15	4	63	50	189	29	35
100000252	222	1	24	725	354	83	116	111	190	477	197	193	14	157	258	719	102	324
100000256	166	0	63	570	519	94	102	130	97	349	144	160	49	136	144	860	145	274
100000277	23	0	9	76	114	7	22	21	82	84	33	20	0	25	53	92	38	91
100000303	57	3	7	106	80	29	112	18	110	87	21	65	2	91	65	133	36	82
100000322	8	0	0	2	4	16	0	0	0	10	18	7	0	0	26	16	0	7
100000325	6	0	1	44	9	3	3	13	16	22	1	14	0	0	34	46	10	29
100000326	6	0	0	21	5	20	12	7	0	27	11	11	0	3	10	21	16	35
100000333	17	0	0	6	28	25	2	0	10	3	1	0	0	0	6	10	0	7
100000341	77	0	15	252	236	61	144	56	154	299	162	130	11	119	143	352	102	226
100000342	104	1	7	284	627	96	155	97	147	383	147	178	21	124	153	459	95	236
100000352	0	0	0	5	12	0	0	3	0	4	0	1	0	1	4	10	0	5
100000353	62	2	13	137	154	38	70	45	68	68	100	84	15	62	107	198	59	24
100000374	27	0	13	58	151	39	12	5	43	62	67	35	3	25	28	83	31	27
100000381	1	0	0	0	16	0	6	7	8	0	9	1	4	1	0	5	2	2
100000389	0	0	0	0	2	0	0	0	7	6	2	0	0	0	0	26	6	0
100000398	11	0	0	39	33	13	10	0	11	43	26	11	10	9	23	32	6	13
100000399	5	0	0	5	17	2	9	19	0	38	11	7	0	3	12	36	0	19
100000415	25	0	2	50	61	0	14	4	46	87	60	21	0	24	94	62	52	15
100000433	4	1	4	24	33	0	6	0	4	16	2	6	0	8	7	28	11	11
100000463	2	0	0	3	3	0	3	0	0	5	3	0	1	0	0	4	0	3
100000471	145	0	31	345	343	62	131	77	93	226	115	120	27	117	201	355	85	201
100000478	11	0	3	39	62	13	0	1	1	6	7	3	0	18	2	25	4	23
100000479	31	0	0	33	35	1	3	12	6	23	8	20	5	1	20	48	12	17
100000492	77	0	6	166	123	67	41	29	81	140	78	46	19	33	95	129	34	66
100000500	18	0	0	16	30	0	13	3	13	44	6	5	0	17	23	54	11	32
100000502	9	0	0	20	7	0	7	0	1	7	15	18	0	3	11	16	10	12
100000517	403	13	54	815	909	246	277	174	313	651	677	399	58	244	371	952	238	524
100000526	109	0	21	181	159	72	103	61	119	158	134	83	1	103	88	189	39	143
100000527	1	0	0	33	15	1	25	9	4	10	0	8	0	4	0	10	0	6
100000537	21	5	5	118	36	34	35	27	38	61	53	22	3	40	19	98	1	43
100000539	1	0	0	0	17	2	0	4	8	5	0	3	0	4	16	16	0	7
100000558	0	0	0	4	16	0	0	0	0	10	6	0	0	0	1	11	5	2
100000559	3	0	0	1	17	1	0	4	5	8	19	0	0	15	3	4	1	9
100000570	19	0	2	25	22	24	14	25	2	43	46	5	0	38	19	56	6	35
100000574	0	0	0	33	2	1	2	0	3	13	2	14	1	0	29	14	6	6
100000576	17	0	2	25	26	18	27	0	29	74	2	24	7	15	34	65	33	26
100000577	42	1	0	25	28	16	20	5	32	20	25	13	11	28	16	94	4	29
100000597	166	6	0	138	99	87	40	20	84	284	128	50	12	54	165	205	148	75
100000615	131	0	13	304	231	91	93	67	110	151	138	63	5	34	55	257	23	149
100000629	13	0	0	11	21	17	11	15	51	17	19	12	1	6	23	62	16	19
100000640	0	0	21	13	10	0	0	39	0	25	10	0	0	0	0	5	0	4
100000646	6	0	0	2	6	6	12	0	0	4	1	3	0	3	10	2	0	1
100000647	10	0	0	6	14	27	0	8	27	23	1	19	3	4	2	36	1	9
100000651	20	0	2	16	11	2	3	14	8	19	28	10	1	17	22	38	12	21
100000654	38	3	29	99	90	5	18	9	29	52	43	25	5	29	57	115	14	53
100000656	0	0	0	16	0	2	0	0	17	6	7	0	0	1	13	16	13	7
100000660	13	0	0	19	44	28	2	3	18	14	7	15	0	3	1	15	1	18
100000665	60	11	16	106	181	47	84	31	80	140	94	83	13	51	94	283	24	121
100000675	12	0	0	0	0	6	8	7	0	6	0	0	1	0	0	4	2	10
100000683	10	0	0	1	6	0	10	0	22	2	9	3	0	14	52	46	9	11
100000687	82	0	11	69	55	16	53	10	25	126	53	27	7	37	78	154	16	57
100000688	37	0	10	40	50	18	5	1	24	35	16	18	1	27	30	71	7	10
100000702	3	0	0	18	13	5	5	15	8	24	1	5	1	19	9	9	7	4
100000709	41	0	21	101	42	31	76	59	34	119	61	30	0	28	83	181	54	75
100000710	5	0	1	46	1	1	15	0	13	10	22	10	0	8	30	37	0	18
100000711	12	0	0	56	65	21	19	4	43	49	2	13	0	31	16	38	29	44
100000713	24	0	1	22	48	1	7	2	11	22	7	6	17	14	26	8	19	9
100000715	10	0	30	26	48	0	39	8	17	18	18	42	4	15	29	84	23	37
100000720	34	0	1	68	50	21	20	19	29	68	44	25	1	13	56	112	33	63
100000724	7	0	0	9	23	0	9	3	0	6	15	6	3	3	5	18	1	46
100000768	12	0	0	6	3	4	23	2	11	16	17	6	0	27	3	6	0	3
100000769	27	0	11	48	78	6	4	23	15	26	25	21	0	8	28	38	26	37
100000771	0	0	0	0	13	0	11	4	0	0	0	9	0	0	0	0	0	5
100000775	961	11	195	2447	2152	460	919	497	1004	2169	1274	770	218	954	1265	2871	745	1558
100000787	25	0	0	78	108	8	25	19	23	58	34	18	2	48	39	141	14	59
100000797	39	5	5	127	142	103	11	24	23	111	38	41	0	49	19	135	29	152
100000800	37	0	77	20	11	4	9	5	10	8	8	3	0	0	27	22	0	8
100000808	42	0	0	129	166	23	29	13	140	44	99	60	0	98	114	191	32	110
100000823	168	5	15	374	502	96	92	90	126	342	124	121	16	109	187	376	64	234
100000836	4	0	0	18	32	14	1	0	0	13	0	5	0	16	16	11	0	22
100000842	6	0	0	5	7	4	0	0	9	13	13	0	2	3	0	9	3	24
100000844	60	0	9	103	181	29	28	13	40	113	44	84	0	47	33	156	28	113
100000855	6	0	0	51	0	3	2	17	34	7	2	11	0	2	11	33	2	1
100000857	0	0	0	3	4	1	5	0	13	36	6	0	0	4	2	1	0	0
100000859	0	0	0	34	11	1	4	1	20	22	29	30	0	21	10	47	2	9
100000862	0	0	0	10	2	0	3	0	4	10	0	4	6	0	11	22	0	0
100000883	12	0	0	11	35	3	8	5	10	13	0	11	0	25	0	16	24	10
100000884	12	0	0	11	6	0	14	0	0	25	0	12	0	25	3	16	0	6
100000886	13	0	4	12	19	0	0	8	7	9	12	23	0	1	2	10	4	9
100000896	31	0	0	49	44	2	1	21	13	66	27	6	0	10	12	63	9	19
100000923	10	0	0	3	8	2	11	2	3	13	4	17	0	7	17	11	3	1
100000931	76	0	30	144	153	67	50	38	30	168	48	59	1	15	49	211	89	137
100000934	2	0	0	47	17	0	4	0	2	0	6	0	0	6	7	22	5	0
100000938	3	0	0	4	13	0	8	0	20	23	19	0	0	4	28	19	0	4
100000948	43	0	0	7	1	1	5	9	20	12	0	8	0	0	2	5	0	10
100000949	103	0	14	124	353	45	33	30	56	101	32	32	7	82	80	160	44	123
100000956	20	0	0	43	29	23	52	6	10	88	17	34	0	30	59	96	17	49
100000962	9	0	8	11	27	6	2	5	5	30	5	3	0	7	11	48	4	14
100000981	11	0	0	26	26	10	11	11	1	32	0	3	0	0	15	53	1	2
100000984	0	0	0	0	6	0	5	4	0	0	0	0	0	0	5	3	0	22
100000992	2	0	0	16	12	8	3	3	2	3	12	12	0	8	1	19	2	25
100001004	5	0	0	13	9	0	1	0	2	6	7	5	0	16	1	11	30	3
100001019	15	0	0	14	18	4	18	0	15	32	0	4	0	7	18	18	22	45
100001029	0	0	0	14	32	1	0	10	0	5	15	1	0	8	2	2	0	12
