gene.id	mod.name	b	c	d	e	f	SDres	AIC.model	lof.p	ctrl.mod	ctrl.mean	adv.incr	bmd	bmdl	bmdu	bmr	conv.pass	hd.pass	CI.pass	ld.pass	all.pass
100000140	Exp2	-1.13310061435206e-07			3.84722482883914		1.5630297524557	71.04	0.239978278891604	3.84722482883914	5.19404933651287	FALSE	510445.188858109		2246545.93660849	3.63101958405717	FALSE	TRUE			FALSE
100000199	Exp4	1.85899248609727e-05	0.566678404473606		4.43856718024367		2.12751823085691	82.98	0.106941776557382	4.43856718024367	5.60151347695836	FALSE	37449.1095315368		121184.300843828	3.47399524610144	FALSE	TRUE			FALSE
100000333	Exp4	0.000123268576145424	0.552567648829534		6.5547689520734		1.45525894414675	69.31	0.786578924678022	6.5547689520734	6.37548950858748	FALSE	6610.96887124668	2707.21197669891	11702.9806656603	4.92023056444073	TRUE	TRUE	TRUE	TRUE	TRUE
100000800	Exp4	0.000119048677881521	0.614829591778588		7.78652532471318		1.79347621759738	76.83	0.166015984610103	7.78652532471318	9.16737620152919	FALSE	1243.30950756576		4840.85557442825	7.37389998393181	FALSE	TRUE			FALSE
100000948	Exp4	8.6423325017712e-06	0.642642421630605		5.70659879638144		1.83795613134635	77.71	0.130761490130931	5.70659879638144	6.81337633488873	FALSE	51376.8183229905		148741.378761664	4.97542020354238	FALSE	TRUE			FALSE
100001171	Exp2	-8.19163840078942e-08			6.33289378233552		1.21448533537643	61.96	0.702120925192806	6.33289378233552	5.96802536814199	FALSE	3501957.2431089	2200771.33608865	4677542.48821673	4.75354003276556	TRUE	TRUE	TRUE	TRUE	TRUE
100001767	Lin	-2.90878444835837e-07		6.19745704321396			1.43439540850579	67.95	0.212960157269732	6.19745704321396	7.01748931477289	FALSE	2112095.76243299	1353863.34644336	5030079.45835982	5.5830939062671	TRUE	TRUE	TRUE	TRUE	TRUE
100001880	Poly2	5.30063758382284	3.40866052267715e-06	-3.13244104502192e-13			1.59523608822677	72.61	0.842361113489568	5.30063758382284	5.89920840898619	TRUE	686965.967219874	443030.605388563	944131.391888219	7.49444449721296	TRUE	TRUE	TRUE	TRUE	TRUE
100002125	Exp4	1.71791639088606e-05	0.396528927271314		5.55714885894001		1.94131105452222	79.68	0.600893487982183	5.55714885894001	6.25069100366031	FALSE	27086.7648455498		53618.0099375631	4.30937994913809	FALSE	TRUE			FALSE
100002268	Exp2	-6.74650705828178e-08			4.776621427015		2.07693844351702	81.27	0.119647829690015	4.776621427015	5.81887237581825	FALSE	3618626.80831233		6652220.31627855	3.74193393230124	FALSE	TRUE			FALSE
100002437	Exp2	3.71703040068606e-08			3.78105753782557		1.99590313167448	79.84	0.101375688084194	3.78105753782557	6.37548950858748	FALSE	3953439.39046244		11079512.7763858	4.37958637691299	FALSE	TRUE			FALSE
100002535	Poly2	3.98787902001447	2.32110705939472e-06	-2.40097554615002e-13			2.23634278858435	84.77	0.105945722937997	3.98787902001447	5.19404933651287	TRUE	1829272.03224698	1176309.58651045	2671502.95228663	7.43039212509722	TRUE	TRUE	TRUE	TRUE	TRUE
100002730	Exp4	7.25718008912677e-06	0.466276117992241		5.75892892281239		1.59197080260366	72.54	0.377148210433997	5.75892892281239	6.37548950858748	FALSE	52604.8358774134		104833.372457333	4.78351870598381	FALSE	TRUE			FALSE
100002785	Exp4	5.02002477918911e-05	0.498452665263631		5.77670152756556		1.51233910152609	70.69	0.703211386632341	5.77670152756556	6.2136805661974	FALSE	9240.58435732416	1090.01273816039	18232.8608879619	4.70134146467131	TRUE	TRUE	TRUE	TRUE	TRUE
100002901	Exp3	-4.07394789760101e-07		0.0928318309495345	6.56664185700317		1.31060980110578	65.54	0.876842936083856	6.56664185700317	6.59284840744738	FALSE	0.180412101957484	0.0996335235605622		5.28223860634159	FALSE	TRUE		FALSE	FALSE
100004663	Exp3	-2.21073113740867e-07		0.0630101780841323	6.49285379697893		2.03493480359608	81.38	0.466103246749663	6.49285379697893	6.51725812016503	FALSE	0.650228472685775	0.89912375425915		4.48232331656896	FALSE	TRUE		FALSE	FALSE
100004727	Exp2	-1.34447851907818e-07			4.7281261401175		2.25656943416736	84.26	0.34498429358131	4.7281261401175	6.37548950858748	FALSE	1025958.71304078		2729112.35355622	4.11892007442012	FALSE	TRUE			FALSE
100004736	Exp4	1.87027518266141e-05	0.527931319046973		5.86272967118049		1.57499568561769	72.15	0.500296768874646	5.86272967118049	5.19404933651287	FALSE	88990.7587178411	44383.0012095678	250868.792377482	3.61905365089519	TRUE	TRUE	TRUE	TRUE	TRUE
100005551	Poly2	6.34355212098593	-3.89735506845582e-06	3.99403357766793e-13			1.6347627790688	73.49	0.110646662382052	6.34355212098593	4.66572850293916	TRUE	11061.272776098		211576.316095455	6.30049128200795	FALSE	TRUE			FALSE
100005630	Exp4	0.00010048499618179	0.40917177610361		5.22274090221667		1.44590903211738	69.07	0.448308632831992	5.22274090221667	5.89920840898619	FALSE	2854.36418889169		6500.8667576071	4.4532993768688	FALSE	TRUE			FALSE
100005958	Exp4	0.000481770510307728	0.444996308203634		7.18893245334668		1.48178851330573	69.96	0.529781715537179	7.18893245334668	7.20150527418903	FALSE	953.229955355434	246.216453462587	1690.36742488688	5.71971676088329	TRUE	TRUE	TRUE	TRUE	TRUE
100006636	Exp2	-7.93401457397869e-08			4.26972537276123		1.45579431817374	68.48	0.193284848681541	4.26972537276123	6.08170434075368	FALSE				4.62591002257994	FALSE				FALSE
100034531	Exp3	-3.19337950161726e-07		0.304823868608067	6.28790294185798		1.82356921138385	77.43	0.842681047048393	6.28790294185798	5.96802536814199	FALSE	177452.587053339	23906.5677856371	534998.907850197	4.14445615675815	TRUE	TRUE	TRUE	TRUE	TRUE
100037310	Poly2	6.66603867948333	-2.4147783076437e-06	2.53604052797002e-13			1.6525364946023	73.88	0.207035057645412	6.66603867948333	7.78123308066103	FALSE	227980.859080943		577201.863504142	6.12869658605874	FALSE	TRUE			FALSE
100037357	Poly2	6.29377402589425	-4.0573234110004e-06	3.8369394069207e-13			1.58372128711836	72.35	0.706534879210979	6.29377402589425	6.12983431053208	FALSE	449882.407236677	254538.594314869	653463.347089538	4.54611302341372	TRUE	TRUE	TRUE	TRUE	TRUE
100037374	Exp2	5.11372061438527e-08			3.96877536455035		2.09794657774662	81.64	0.150473684962359	3.96877536455035	5.43970453456828	TRUE	12543763.8187657	8620007.4529709	17459271.2713267	7.5376511123149	TRUE	FALSE	TRUE	TRUE	FALSE
100037380	Poly2	4.19687214693645	2.427196188068e-06	-2.13297278726026e-13			2.01839582877973	81.08	0.202688172996079	4.19687214693645	4.66572850293916	TRUE	1138686.18352539	676548.331533162	1653486.40581038	6.68412433171888	TRUE	TRUE	TRUE	TRUE	TRUE
100149148	Poly2	7.73604760615451	-3.27829403356225e-06	3.33395706496613e-13			0.690271153788221	42.46	0.917514267757891	7.73604760615451	7.92344157184572	FALSE	155866.691877902	55352.3619801114	258551.412767624	7.2331704180575	TRUE	TRUE	TRUE	TRUE	TRUE
100149909	Hill	1.16426226179537	2.13925859197042	6.42122100082147	3355.42423169274		1.34061066868766	67.11	0.189037285660495	6.42122100082147	6.4275292425599	FALSE	1698.59456409845	326.45738792732	2885.49890265019	5.08691857387224	TRUE	TRUE	TRUE	TRUE	TRUE
100150304	Poly2	3.10860602184335	4.1689402354387e-06	-3.99878401364313e-13			2.3553185280473	86.64	0.103473907766283	3.10860602184335	5.72237017008659	TRUE	1372658.12687371	1029746.53947748	1749412.81965249	8.07768869813389	TRUE	TRUE	TRUE	TRUE	TRUE
100150366	Poly2	3.39187662714947	2.15568314494488e-06	-1.99221601461507e-13			1.61647893117798	73.09	0.115358362325176	3.39187662714947	4.66572850293916	TRUE	1568020.01827807	1102981.40140346	2097832.06712012	6.28220743411713	TRUE	TRUE	TRUE	TRUE	TRUE
100150557	Poly2	4.43339412422053	2.13166533212597e-06	-1.97228616901769e-13			1.70864773009578	75.09	0.107426926746001	4.43339412422053	6.02821611668927	TRUE	1874984.97273032	1341962.49747514	2504561.36485572	7.73686384678504	TRUE	TRUE	TRUE	TRUE	TRUE
100150619	Lin	-2.50070701916091e-07		3.79283091810592			1.73836877403709	74.87	0.138388728151985	3.79283091810592	5.72237017008659	FALSE				3.98400139604951	FALSE				FALSE
100150980	Poly2	5.29699363897581	-3.10390295372388e-06	3.16644899954811e-13			1.6084283608679	72.91	0.133460628894156	5.29699363897581	5.96802536814199	FALSE	311932.007683325	60324.2264744219	578178.237660036	4.35959700727409	TRUE	TRUE	TRUE	TRUE	TRUE
100151764	Lin	-3.78458631959043e-07		5.05814675314208			1.17101748958849	60.65	0.393370418918919	5.05814675314208	5.72237017008659	FALSE	1339100.31197544	982531.080506418	2105259.63249316	4.55135268049811	TRUE	TRUE	TRUE	TRUE	TRUE
100303756	Poly2	7.34541524001782	-2.41205746609703e-06	2.0227582967321e-13			1.61682535969923	73.1	0.888987778989487	7.34541524001782	6.97201624869735	FALSE	891811.180636028	536115.237135157	1274458.52269046	5.35519088899813	TRUE	TRUE	TRUE	TRUE	TRUE
100321107	Exp4	1.08031972476959e-05	0.593891074667616		6.75907575272305		0.885481943819653	51.42	0.469380362795638	6.75907575272305	7.38736414516438	FALSE	9106.81091220596		27377.7882068433	6.50188220134473	FALSE	TRUE			FALSE
100321895	Poly2	3.33206322468002	3.25447804930632e-06	-3.21396490658769e-13			2.17809283275673	83.82	0.140619811362215	3.33206322468002	4.66572850293916	TRUE	1227967.47932727	835366.700659932	1665717.33123608	6.84382133569589	TRUE	TRUE	TRUE	TRUE	TRUE
100329748	Poly2	6.08130371864533	-3.51271341156801e-06	3.48522068445401e-13			2.19502309183396	84.1	0.145504779192879	6.08130371864533	6.4275292425599	FALSE	557110.363133284	240156.350128667	898288.503583795	4.23250615072594	TRUE	TRUE	TRUE	TRUE	TRUE
100329977	Exp4	3.67331985113254e-05	0.369583348670127		6.35835143368161		1.34615647594725	66.5	0.787061500523139	6.35835143368161	6.08170434075368	FALSE	14127.3074287811	6546.36756880512	21692.2548957625	4.73554786480644	TRUE	TRUE	TRUE	TRUE	TRUE
100330395	Exp3	-1.23349682403328e-08		0.0831693104361891	6.98317424549017		1.65759881391538	73.99	0.334527320313835	6.98317424549017	6.96400109070847	FALSE	14.4472461934692	10.8089776971485		5.30640227679308	FALSE	TRUE		FALSE	FALSE
100331471	Poly2	6.87286669733059	-3.45157748177168e-06	3.40298036485995e-13			1.0909458970697	58.93	0.707573086178394	6.87286669733059	6.31712727306811	FALSE	501919.577973183	340898.17075824	668832.591497385	5.22618137599841	TRUE	TRUE	TRUE	TRUE	TRUE
100331807	Exp4	0.000172911247224333	0.665265214000045		7.64181997597932		1.35954295648068	66.86	0.268314183080782	7.64181997597932	6.87551404296569	FALSE	10284.1106810489	4989.20772701748		5.51597108648501	FALSE	TRUE		TRUE	FALSE
