	DOSE_1000.DOSE_0	DOSE_10000.DOSE_0	DOSE_100000.DOSE_0	DOSE_1000000.DOSE_0	DOSE_10000000.DOSE_0	AveExpr	F	P.Value	adj.P.Val
560232	-0.151590470886803	-4.00298759370872	-4.72558558132459	-0.890871389583626	-0.628538319166506	4.44032026251312	9.47899135017215	8.95190207413318e-05	0.682604756894854
641564	-3.29437719512157	-3.43091858237558	-3.62519573641773	1.17566146094334	-3.81069668862076	3.43725902002631	8.5975423369336	0.000170105013874715	0.682604756894854
447910	-2.66033005293331	-6.16515421432054	-3.72047314030231	-5.37650252283368	-2.95969160268496	5.38371135363124	7.59456302447813	0.000371783281268605	0.682604756894854
100003790	0.622118835413239	-5.1406795880239	0.568562454011491	-1.14115064583288	0.846307981426373	6.6038009887724	7.34872223193419	0.000454486391403747	0.682604756894854
794698	-2.71864282439174	-6.05668992093179	-3.09357099310773	-1.61398055240836	-3.72488887816461	7.04078732713335	7.15975427134194	0.00053176064268658	0.682604756894854
557394	-4.16700290285286	-3.91110944617091	-2.66283935151914	-3.00160106155581	-6.28331419358273	4.20816565573303	7.00912462745296	0.000603682324966898	0.682604756894854
100149909	-0.858770127622517	-3.32114937395793	-4.45121150201928	-3.18561702097195	-5.16503328779603	3.59723235716529	7.00327966629252	0.000606679823477901	0.682604756894854
30726	0.0848738640174158	-0.93208757354285	-0.0408207094649828	-3.62617595609274	-6.45825737395712	7.19430556908379	6.91491889853531	0.000654035248610147	0.682604756894854
30078	-2.46836142952002	-0.213303591374919	-4.68183740356517	-3.41624292251784	-1.06864850322157	4.15510200216549	6.83554979309324	0.00070003363743049	0.682604756894854
393566	-3.04872199706617	-4.38594205568021	-0.939688199712304	-3.84294556224875	-3.36692109099089	3.9591671326466	6.43735091898031	0.00099109444349792	0.682604756894854
387256	-4.23016216914077	-3.43091858237558	-4.15351656999145	0.37958336609629	-1.93912674058236	3.37249002762605	6.43665815285508	0.000991703978555059	0.682604756894854
563540	-2.86040013301435	-4.98278040982785	-3.54525924494644	-5.3755688904156	-2.17125263818831	4.93328339236441	6.16590146622798	0.00126452362191525	0.682604756894854
406323	-0.935283471693875	-0.830534054745813	-1.21027565829609	0.14715632167391	-4.35825602147991	6.41531313665346	6.10706359046608	0.00133407721271124	0.682604756894854
563621	-0.783110102345686	-5.46709340130163	-2.75244195058252	-1.10616855603812	-2.20999059739027	5.58455419460804	6.04659533657316	0.00140993783065592	0.682604756894854
110437808	-3.29437719512157	1.54763859261147	-2.68941076239853	0.840989007432171	-1.93912674058236	3.74334731992935	6.00386286805764	0.00146638606784368	0.682604756894854
796632	-3.954674254139	-3.79743047355922	-5.29400449280421	-1.36362553280392	-4.24602553896021	3.63270801772669	5.99265708414828	0.00148159389243895	0.682604756894854
553799	-0.769894568811916	0.892396421026427	0.0667049224956458	-3.89643378631316	0.324112421526501	6.04617274264798	5.97436038964908	0.00150679666903462	0.682604756894854
494108	-4.14704234616186	-0.0437795367688842	-1.16858328061272	-2.03082623433609	-3.76458730310477	4.71589887096283	5.95907523790509	0.00152821034678127	0.682604756894854
100329977	0.511490377941602	-1.09266703940272	-3.40022752773975	-3.36811295273945	-4.29088755241609	4.14163689169429	5.95245415512613	0.00153758910589601	0.682604756894854
796767	-6.47707997473241	-2.44305239349229	-4.72768380739768	-2.24181020378492	-3.27999730621581	6.23845650233397	5.91409303753454	0.00159317996707835	0.682604756894854
110437804	-1.61642271116614	-5.34538253681746	-1.78543231007222	-1.67664919992315	-3.91640572482861	5.12592868426564	5.90487748561814	0.00160685921301814	0.682604756894854
100334658	-1.79540842043625	-3.91110944617091	0.859884041634886	-0.660072515463049	0.167323109679506	5.19180713562772	5.88717017025253	0.00163350474724279	0.682604756894854
368245	-4.5278571011686	-2.95463748277429	-1.35377095775193	-1.19319037980531	-3.86273642259319	3.58384301830397	5.86424090921695	0.00166872752828088	0.682604756894854
436771	-2.69850243226308	-5.24602208583979	-1.47472896797324	-2.38109749752097	-3.25513185024726	4.90736984144852	5.83504206255277	0.00171478698990149	0.682604756894854
791153	-2.23643602143241	-5.0867292948901	-2.86773328456737	-3.30210188083676	-2.36302590831591	5.67129479161322	5.71243499864323	0.00192392402140753	0.682604756894854
566640	-0.346927080650298	-3.43091858237558	-2.1460606323153	2.94412584414108	-2.75405502147332	4.64587423151279	5.69056077635819	0.00196408410027851	0.682604756894854
797761	-3.79019252672387	-0.664515909579817	-2.70924443298141	-0.173559150120784	-3.73544621081197	5.73518007706936	5.68061256795009	0.00198265048755148	0.682604756894854
100333125	0.0135339651161948	-4.93877256772792	-3.95160954969546	-3.24263220141736	-3.90257483615857	4.43902493066351	5.66805839645636	0.00200635430484239	0.682604756894854
767716	-2.58921812264826	1.17610083556022	0.501747590598457	1.44510695773637	0.47907639973629	6.51599548622249	5.60241148541632	0.00213544851159381	0.682604756894854
406342	-1.31648763102847	-0.372802060817897	-2.76413858801934	-1.81768521684785	-5.13496735147217	5.64959370441753	5.60026272389844	0.00213982447290628	0.682604756894854
795265	-2.10872782027105	-3.50387023479733	-5.77442028567144	-5.03714663819783	-5.25476216540116	4.1375835021556	5.56635278525068	0.00221019376182989	0.682604756894854
799638	-0.101271882594896	-3.0234544419301	-1.66977953271401	0.852405528083143	1.48830587617883	4.78508359435004	5.55965006498266	0.00222439983862698	0.682604756894854
100126146	-0.408817118410799	-3.9592394159493	0.0841754945981572	-3.41624292251784	-2.73466133111048	4.91902426187409	5.46158099824333	0.00244405562672441	0.682604756894854
445082	-0.763231513180012	-4.47204605421067	-1.34841939079899	-1.16264688798345	-0.783735675076904	5.74928186215883	5.42662846858036	0.00252797383618217	0.682604756894854
503758	-3.70184133556705	0.0258561325588591	0.684687206522763	-2.26309904963874	0.831000236186489	5.3926015088758	5.39084664143364	0.00261714993193648	0.682604756894854
100126141	-4.4614208317608	-4.01127914992172	-6.03617400274043	-3.03409506648345	-4.3910572561669	3.82849985852846	5.38809390733361	0.00262415112600961	0.682604756894854
101882744	-4.2822019031132	0.0291240888813693	-3.92289066844556	-1.11797033474852	-1.67278455314954	4.59974201413067	5.38139104643215	0.00264128448965328	0.682604756894854
100141493	-3.67354503637155	-1.47901260116924	-4.37087546885135	-0.0913946039249423	-1.69347154252695	3.93415583367758	5.37102942854174	0.00266801064871222	0.682604756894854
751631	-1.80478736738269	-4.48756024952302	-5.21015823713889	-2.71108385004453	-4.6216831577128	3.51894300047214	5.34888234996327	0.0027261298209458	0.682604756894854
100001552	-1.73717054445907	-4.98069915866173	-2.48568215527694	-2.15587264824881	-1.16041164824658	5.59297552766937	5.33845002274202	0.00275398384997976	0.682604756894854
406723	3.68486914519665	-0.146649799642546	1.98882098973801	-0.178421222009256	1.20029998014037	9.54507743401789	5.33021155475182	0.00277619966462011	0.682604756894854
