	C10	C11	C12	C7	C8	C9	C4	C5	C6	C1	C2	C3	B10	B11	B12	B7	B8	B9
368418	7.5755635865546	7.52291300224039	4.57113426199396	5.12259831140552	6.93190006552022	6.46728802169248	4.22051410106218	5.1889510754106	1.74617569705028	0.830223626793614	5.34360692761497	1.87059988463324	6.98325502858976	2.00816989191529	5.37816793403356	0.29492121814444	3.99207789407411	3.89280617485185
64604	8.93656124612056	7.52291300224039	7.74105926343628	7.74150814405001	9.3112156425651	9.06819206628265	8.08841056505483	5.67437790258085	8.18911919289901	8.71896687569187	7.00071921409196	8.47051272682037	4.66132693370239	6.65202608169001	8.61082869082383	7.57104562341868	8.91491003355165	8.4691555452683
327272	5.81002884019163	7.52291300224039	6.89306235688133	7.60064560821016	7.16322561162668	6.95271484886272	7.2561380107929	6.95448582177358	6.26973765310729	6.55814408135681	8.0182066408208	7.42518873631088	4.66132693370239	9.35689804614636	5.8635947612038	6.63477122102906	7.76466739797104	8.07413593956641
368645	7.11259161021206	7.52291300224039	4.57113426199396	6.015683107489	4.73026620435057	7.20425361585868	1.89858600617482	4.4519854812444	1.74617569705028	4.73711422240213	8.05255814561158	5.77749048024176	4.66132693370239	6.25609740535887	1.47127733842504	6.02284167270764	3.99207789407411	5.33337876623783
30338	5.99060108583345	7.52291300224039	7.37848918405157	7.10532031997368	8.02304795357842	8.1149862777616	8.0483331256795	5.67437790258085	6.26973765310729	6.7609609643565	6.59736351986075	5.04052488607555	4.66132693370239	6.65202608169001	6.51567145778349	6.98142174532766	2.40711539335295	7.01618859035713
559473	8.34608174043184	7.52291300224039	4.57113426199396	7.10532031997368	9.04737728294016	8.1149862777616	8.27362543752174	7.51087917029797	8.68869020238952	8.37711808668125	7.47605722363862	7.89296769766169	4.66132693370239	7.50002298824496	8.63114867520343	7.03638820454559	7.45150951271141	8.30461977325641
678619	7.45772709626075	7.52291300224039	4.57113426199396	4.63717148423527	3.14530370362941	4.88232552097132	4.22051410106218	6.77391357613176	1.74617569705028	4.73711422240213	1.64316720947387	1.87059988463324	4.66132693370239	5.70860961005638	5.8635947612038	3.10227614020204	2.40711539335295	5.84033875495772
368410	8.34608174043184	7.52291300224039	8.27157398013505	8.60679783519175	8.64992409603297	7.76985079171291	7.62650646073801	8.93311217098101	8.15556663318798	8.56493324701945	8.51353192905728	7.97912434141141	9.87078029933134	7.05256401127374	7.70009602892092	8.1466702595605	8.94627420446098	7.35223779348915
368688	6.65802574674658	7.52291300224039	8.47802485760248	6.88002800813144	8.13625856402641	7.08395938214097	8.61283152384094	2.86702298052324	6.39003188682501	6.03967699242256	5.10259882811117	7.22815188925132	6.24628943442355	5.91506048752381	6.68073070405399	6.52373990864032	7.89896848968263	5.60901320885126
368686	6.15106575802669	7.52291300224039	4.57113426199396	4.97820840207034	7.50987613592527	6.6478602673343	4.22051410106218	2.86702298052324	4.91610069849259	4.73711422240213	6.16672916553089	4.67795480669084	4.66132693370239	7.21762325754424	5.55874017967538	5.58032343700669	5.57704039479526	7.01618859035713
30726	8.67132256936004	7.52291300224039	10.8749150101711	9.08342771412484	9.14078822250692	9.09955623719199	9.38240178343907	6.95448582177358	7.9360002559303	9.60171309629421	7.42452692299854	9.9204484340838	4.66132693370239	2.00816989191529	9.5211258878756	4.20181181375296	2.40711539335295	1.08545125279425
368631	6.85733455496998	7.52291300224039	4.57113426199396	5.48516839079022	7.19841504008898	2.56039742608396	5.59902572431591	5.67437790258085	6.87545871399525	4.28965524543091	6.85262057510282	3.45556238535439	8.74878977495273	3.59313239263644	5.99483929448205	6.02284167270764	6.31400598896147	7.23519837229893
393929	7.73602825874785	7.52291300224039	8.96345168477272	8.13116032490894	8.17210376297313	7.60479154544241	7.2561380107929	8.6483826940479	8.31603130538123	9.10168665469799	8.35741272714	8.24563931598016	8.56821752931091	7.68059523388678	6.82882934304312	8.9279164152874	7.6165687589819	8.18348333575477
327216	7.26069024920119	7.52291300224039	8.81906177543755	8.2459807269108	7.59155993351898	9.06819206628265	8.20236675435192	8.93311217098101	6.60415669217785	6.11562584565586	6.59736351986075	7.48530972874845	7.83125193514471	6.65202608169001	7.73806387911994	7.69580065442663	6.10755511149404	7.23519837229893
567899	4.71049316664071	7.52291300224039	6.89306235688133	7.49846521340368	6.65626562290679	4.14535992680511	5.35801762481211	2.86702298052324	4.91610069849259	4.73711422240213	7.52581025883572	8.37839452483193	4.66132693370239	5.1780948933576	7.49364515145349	4.54284873158803	6.10755511149404	7.6553068611252
368885	7.73602825874785	11.9152304250192	9.09469621805098	7.07013089151138	5.86776972810051	8.75022198496398	10.2428819140906	6.56746269866433	7.67691303461317	8.70674057335861	8.27252382955348	7.84787980813315	7.46868185576	5.70860961005638	8.01043614953307	8.38767835906429	5.86654701199025	7.68536409498138
