Identifier,DES-CC-B
ENSDARG00000070502,0
ENSDARG00000037679,3
ENSDARG00000076833,72
ENSDARG00000012297,4
ENSDARG00000087107,1
ENSDARG00000099342,0
ENSDARG00000008487,10
ENSDARG00000084839,0
ENSDARG00000100507,0
ENSDARG00000070239,5
ENSDARG00000074379,5
ENSDARG00000062854,1
ENSDARG00000112849,0
ENSDARG00000113410,0
ENSDARG00000092242,0
ENSDARG00000092200,0
ENSDARG00000093636,0
ENSDARG00000095482,0
ENSDARG00000094981,0
ENSDARG00000037619,0
ENSDARG00000062585,5
ENSDARG00000074213,0
ENSDARG00000062606,1
ENSDARG00000077198,1
ENSDARG00000007678,13
ENSDARG00000089930,3
ENSDARG00000078057,5
ENSDARG00000070448,11
ENSDARG00000070449,0
ENSDARG00000042988,13
ENSDARG00000096506,0
ENSDARG00000070452,8
ENSDARG00000070454,2
ENSDARG00000096515,0
ENSDARG00000038114,0
ENSDARG00000008637,55
ENSDARG00000091609,24
ENSDARG00000002634,1
ENSDARG00000062467,2
ENSDARG00000032808,0
ENSDARG00000078318,0
ENSDARG00000018997,28
ENSDARG00000099771,9
ENSDARG00000045620,7
ENSDARG00000045618,79
ENSDARG00000057248,3
ENSDARG00000017985,20
ENSDARG00000113585,0
ENSDARG00000106508,0
ENSDARG00000117227,0
ENSDARG00000104707,0
ENSDARG00000102049,0
ENSDARG00000116228,0
ENSDARG00000099729,9
ENSDARG00000105122,0
ENSDARG00000098668,0
ENSDARG00000098053,0
ENSDARG00000102604,0
ENSDARG00000102339,1
ENSDARG00000089805,8
ENSDARG00000117726,0
ENSDARG00000117541,2
ENSDARG00000112668,0
ENSDARG00000110084,0
ENSDARG00000078525,0
ENSDARG00000079626,13
ENSDARG00000057114,2
ENSDARG00000009026,10
ENSDARG00000085400,0
ENSDARG00000014273,7
ENSDARG00000104795,0
ENSDARG00000056806,1
ENSDARG00000056797,3
ENSDARG00000062341,0
ENSDARG00000107022,0
ENSDARG00000056742,0
ENSDARG00000037576,0
ENSDARG00000070431,7
ENSDARG00000022690,6
ENSDARG00000056677,3
ENSDARG00000012903,18
ENSDARG00000003398,8
ENSDARG00000074867,2
ENSDARG00000109597,2
ENSDARG00000111274,0
ENSDARG00000110922,5
ENSDARG00000116310,0
ENSDARG00000109592,0
ENSDARG00000117482,1
ENSDARG00000103921,0
ENSDARG00000114198,0
ENSDARG00000106947,0
ENSDARG00000039063,0
ENSDARG00000113383,0
ENSDARG00000109748,0
ENSDARG00000116279,0
ENSDARG00000109910,0
ENSDARG00000116174,0
ENSDARG00000116266,0
ENSDARG00000111171,0
ENSDARG00000111710,0
ENSDARG00000111723,0
ENSDARG00000115042,0
ENSDARG00000114262,0
ENSDARG00000078898,16
ENSDARG00000007534,0
ENSDARG00000077804,8
ENSDARG00000013881,7
ENSDARG00000079317,3
ENSDARG00000117428,0
ENSDARG00000106258,0
ENSDARG00000078854,7
ENSDARG00000108223,0
ENSDARG00000007356,0
ENSDARG00000078599,2
ENSDARG00000115704,4
ENSDARG00000109375,0
ENSDARG00000017119,9
ENSDARG00000070412,0
ENSDARG00000034105,0
ENSDARG00000062198,5
ENSDARG00000034817,9
ENSDARG00000056504,7
ENSDARG00000108673,0
ENSDARG00000110937,0
ENSDARG00000117129,0
ENSDARG00000116147,0
ENSDARG00000116406,0
ENSDARG00000111254,0
ENSDARG00000113731,0
ENSDARG00000115569,0
ENSDARG00000113149,0
ENSDARG00000116958,0
ENSDARG00000092109,0
ENSDARG00000017591,28
ENSDARG00000092708,0
ENSDARG00000017905,15
ENSDARG00000030514,9
ENSDARG00000056400,4
ENSDARG00000042937,0
ENSDARG00000092600,0
ENSDARG00000027355,184
ENSDARG00000092022,1
ENSDARG00000056381,5
ENSDARG00000056376,0
ENSDARG00000056369,16
ENSDARG00000011023,1
ENSDARG00000003046,2
ENSDARG00000095697,0
ENSDARG00000016065,1
ENSDARG00000062132,15
ENSDARG00000117687,0
ENSDARG00000117295,5
ENSDARG00000094943,0
ENSDARG00000115616,0
ENSDARG00000037545,1
ENSDARG00000062122,1
ENSDARG00000095111,1
ENSDARG00000008287,9
ENSDARG00000015495,28
ENSDARG00000062081,2
ENSDARG00000018178,3
ENSDARG00000093886,0
ENSDARG00000056163,0
ENSDARG00000079488,0
ENSDARG00000062055,5
ENSDARG00000074275,1
ENSDARG00000075330,0
ENSDARG00000006392,0
ENSDARG00000073902,0
ENSDARG00000019945,1
ENSDARG00000086957,1
ENSDARG00000056151,157
ENSDARG00000061985,20
ENSDARG00000061981,8
ENSDARG00000003631,3
ENSDARG00000056133,0
ENSDARG00000070321,0
ENSDARG00000017744,12
ENSDARG00000070320,0
ENSDARG00000061952,4
ENSDARG00000061936,0
ENSDARG00000006434,3
ENSDARG00000037484,2
ENSDARG00000094729,0
ENSDARG00000095388,6
ENSDARG00000085360,0
ENSDARG00000037487,0
ENSDARG00000008068,9
ENSDARG00000077648,0
ENSDARG00000096580,0
ENSDARG00000079250,0
ENSDARG00000019986,54
ENSDARG00000080019,0
ENSDARG00000099995,2
ENSDARG00000070278,3
ENSDARG00000061830,0
ENSDARG00000041776,0
ENSDARG00000095632,0
ENSDARG00000037455,12
ENSDARG00000093816,0
ENSDARG00000070266,33
ENSDARG00000037429,0
ENSDARG00000055874,44
ENSDARG00000055876,21
ENSDARG00000092321,0
ENSDARG00000061786,0
ENSDARG00000094202,19
ENSDARG00000109806,0
ENSDARG00000112850,0
ENSDARG00000110242,0
ENSDARG00000115895,0
ENSDARG00000061459,6
ENSDARG00000037411,0
ENSDARG00000084908,0
ENSDARG00000037410,11
ENSDARG00000037409,5
ENSDARG00000070173,0
ENSDARG00000052782,3
ENSDARG00000037406,2
ENSDARG00000034773,0
ENSDARG00000033273,2
ENSDARG00000055439,4
ENSDARG00000055443,4
ENSDARG00000112783,0
ENSDARG00000095593,0
ENSDARG00000037383,0
ENSDARG00000030759,1
ENSDARG00000079074,0
ENSDARG00000061504,4
ENSDARG00000000606,0
ENSDARG00000107258,0
ENSDARG00000087224,1
ENSDARG00000052764,0
ENSDARG00000092275,0
ENSDARG00000055559,1
ENSDARG00000114954,0
ENSDARG00000115778,3
ENSDARG00000026871,5
ENSDARG00000016470,37
ENSDARG00000103166,1
ENSDARG00000091660,0
ENSDARG00000038056,24
ENSDARG00000002406,1
ENSDARG00000034007,5
ENSDARG00000061143,14
ENSDARG00000034896,7
ENSDARG00000116099,0
ENSDARG00000037378,4
ENSDARG00000012672,8
ENSDARG00000093064,8
ENSDARG00000061121,9
ENSDARG00000094677,2
ENSDARG00000054799,8
ENSDARG00000116939,0
ENSDARG00000037350,564
ENSDARG00000022845,3
ENSDARG00000019838,25
ENSDARG00000005799,6
ENSDARG00000013505,15
ENSDARG00000055022,13
ENSDARG00000061451,3
ENSDARG00000070121,0
ENSDARG00000054680,0
ENSDARG00000092290,0
ENSDARG00000055099,5
ENSDARG00000070109,7
ENSDARG00000070098,12
ENSDARG00000094046,0
ENSDARG00000114096,0
ENSDARG00000004246,12
ENSDARG00000083023,0
ENSDARG00000031108,25
ENSDARG00000015266,25
ENSDARG00000100600,0
ENSDARG00000092542,0
ENSDARG00000035692,541
ENSDARG00000094885,0
ENSDARG00000090822,0
ENSDARG00000088202,1
ENSDARG00000086859,0
ENSDARG00000090118,0
ENSDARG00000061021,9
ENSDARG00000037309,3
ENSDARG00000054334,4
ENSDARG00000116715,0
ENSDARG00000060994,4
ENSDARG00000106456,0
ENSDARG00000074776,1
ENSDARG00000074451,1
ENSDARG00000079434,15
ENSDARG00000031817,0
ENSDARG00000074812,2
ENSDARG00000070055,8
ENSDARG00000070050,12
ENSDARG00000095408,0
ENSDARG00000037286,1
ENSDARG00000037283,3
ENSDARG00000037281,73
ENSDARG00000037278,5
ENSDARG00000070039,0
ENSDARG00000091184,0
ENSDARG00000094763,0
ENSDARG00000037276,4
ENSDARG00000013787,3
ENSDARG00000086790,0
ENSDARG00000006427,765
ENSDARG00000104824,0
ENSDARG00000076499,0
ENSDARG00000037266,8
ENSDARG00000077157,5
ENSDARG00000037256,1
ENSDARG00000116236,0
ENSDARG00000069998,2
ENSDARG00000053995,7
ENSDARG00000021702,21
ENSDARG00000054031,11
ENSDARG00000037259,68
ENSDARG00000037260,1
ENSDARG00000037261,5
ENSDARG00000037262,0
ENSDARG00000104309,0
ENSDARG00000077817,0
ENSDARG00000107180,0
ENSDARG00000076928,9
ENSDARG00000009685,8
ENSDARG00000079377,1
ENSDARG00000091678,1
ENSDARG00000014790,17
ENSDARG00000019581,12
ENSDARG00000096665,1
ENSDARG00000079925,0
ENSDARG00000053731,0
ENSDARG00000094127,0
ENSDARG00000005210,3
ENSDARG00000023330,41
ENSDARG00000096667,5
ENSDARG00000037245,2
ENSDARG00000096554,3
ENSDARG00000079266,2
ENSDARG00000023600,13
ENSDARG00000033345,0
ENSDARG00000069989,8
ENSDARG00000095189,0
ENSDARG00000104096,0
ENSDARG00000102639,0
ENSDARG00000006621,11
ENSDARG00000069996,6
ENSDARG00000100083,8
ENSDARG00000031632,1
ENSDARG00000101474,7
ENSDARG00000104710,1
ENSDARG00000095954,0
ENSDARG00000095895,0
ENSDARG00000089138,6
ENSDARG00000112052,0
ENSDARG00000089334,1
ENSDARG00000053456,4
ENSDARG00000053466,11
ENSDARG00000053463,3
ENSDARG00000037109,5
ENSDARG00000096538,0
ENSDARG00000005739,8
ENSDARG00000053496,10
ENSDARG00000053500,9
ENSDARG00000053502,3
ENSDARG00000035080,0
ENSDARG00000037100,0
ENSDARG00000096627,0
ENSDARG00000096648,0
ENSDARG00000075193,0
ENSDARG00000069804,0
ENSDARG00000078546,1
ENSDARG00000037099,7
ENSDARG00000060620,2
ENSDARG00000075858,0
ENSDARG00000096592,0
ENSDARG00000096643,0
ENSDARG00000093663,0
ENSDARG00000096555,0
ENSDARG00000096544,0
ENSDARG00000069799,0
ENSDARG00000074117,0
ENSDARG00000092653,0
ENSDARG00000061732,4
ENSDARG00000095590,1
ENSDARG00000031202,3
ENSDARG00000037144,2
ENSDARG00000037177,13
ENSDARG00000003866,37
ENSDARG00000037178,3
ENSDARG00000028982,15
ENSDARG00000055839,0
ENSDARG00000060477,3
ENSDARG00000082429,0
ENSDARG00000113839,0
ENSDARG00000110947,0
ENSDARG00000096572,0
ENSDARG00000091513,3
ENSDARG00000026771,2
ENSDARG00000096632,21
ENSDARG00000099758,16
ENSDARG00000093065,1
ENSDARG00000074302,0
ENSDARG00000003142,4
ENSDARG00000096668,14
ENSDARG00000042688,0
ENSDARG00000060559,2
ENSDARG00000114316,0
ENSDARG00000114817,0
ENSDARG00000096527,12
ENSDARG00000092278,0
ENSDARG00000019715,2
ENSDARG00000017174,1
ENSDARG00000069946,9
