	H4	H5	H6	H1	H2	H3	G10	G11	G12	G7	G8	G9	G4	G5	G6	G1	G2	G3
100000006	0	0	34	0	0	0	5	0	0	2	8	0	0	4	11	3	5	0
100000009	16	24	27	10	7	26	43	5	0	9	69	69	4	58	33	24	19	16
100000026	5	3	13	3	0	8	12	3	1	2	8	5	8	13	4	7	1	0
100000044	0	0	5	0	7	3	21	0	0	0	13	10	0	0	14	18	6	0
100000073	63	50	105	61	67	64	127	27	6	48	213	91	5	92	131	46	29	8
100000079	7	16	54	27	51	37	156	28	9	160	64	92	44	223	137	109	24	4
100000083	27	15	31	21	27	32	39	8	0	4	33	26	3	27	34	34	10	3
100000085	2	2	11	11	16	66	60	0	0	19	3	29	19	120	23	220	8	0
100000094	0	0	19	33	22	20	84	15	2	5	33	69	8	78	37	15	8	10
100000095	7	5	13	3	0	2	0	1	0	0	21	13	10	7	0	5	11	2
100000097	2	22	9	5	0	1	48	0	2	0	7	5	0	10	12	11	3	0
100000101	7	0	9	3	2	18	4	0	0	8	10	1	0	11	6	0	15	3
100000104	1	0	0	4	0	2	25	0	2	0	8	0	0	3	0	15	2	0
100000119	3	41	16	6	6	2	41	5	0	19	18	16	2	19	60	3	1	4
100000122	17	28	40	35	33	26	53	34	10	17	59	44	14	66	38	65	16	7
100000125	134	143	210	101	163	161	428	95	33	22	217	231	30	186	202	76	138	20
100000126	4	0	4	0	5	7	22	14	2	10	6	13	1	5	6	0	0	0
100000131	15	0	12	18	0	6	60	2	4	0	48	14	0	37	25	41	4	0
100000133	11	4	5	0	0	2	6	0	0	16	8	0	3	27	6	15	8	0
100000135	3	29	55	11	13	1	48	0	4	22	19	31	0	53	31	74	19	17
100000140	0	32	2	0	3	5	3	0	15	0	0	0	0	2	0	13	0	0
100000148	0	0	3	0	3	18	10	16	0	8	0	0	0	5	1	0	0	0
100000151	35	50	103	33	80	56	143	8	14	29	128	40	11	52	129	110	28	17
100000156	1	3	0	5	5	0	13	6	0	2	3	0	1	22	0	7	5	0
100000160	66	35	241	39	131	100	158	25	20	73	279	138	10	306	138	131	68	25
100000165	121	99	268	94	173	231	503	62	46	134	552	203	44	249	251	157	93	29
100000175	52	30	155	137	131	136	418	36	34	49	382	120	32	48	145	39	53	11
100000190	72	38	84	74	64	81	165	13	13	43	137	75	61	127	120	128	64	8
100000219	4	0	3	2	17	0	11	2	0	6	12	21	0	9	20	11	2	4
100000223	16	5	48	16	31	6	126	7	0	59	73	59	19	130	23	123	36	0
100000230	84	61	352	140	134	137	550	47	37	194	184	192	151	768	327	415	225	60
100000242	19	30	49	37	45	53	108	32	13	27	106	44	10	150	43	92	52	18
100000252	128	84	222	240	348	123	897	158	85	224	307	176	36	288	181	141	225	51
100000256	108	33	184	73	99	111	376	22	17	81	227	48	32	112	198	72	51	1
100000277	4	33	78	51	28	40	132	24	11	44	196	57	4	78	56	46	39	10
100000285	0	0	1	5	9	2	11	0	0	0	8	11	0	2	0	9	32	2
100000303	26	68	102	31	142	35	123	7	12	59	44	66	3	141	61	209	40	1
100000319	0	0	3	0	2	3	6	0	0	2	1	5	0	0	3	0	0	0
100000322	0	3	9	4	0	2	7	0	0	16	1	0	2	34	0	0	0	0
100000325	1	16	11	22	0	1	15	12	0	0	14	45	7	18	6	0	16	5
100000326	2	2	15	27	21	0	35	3	0	9	7	1	0	14	22	6	0	1
100000333	4	0	6	6	9	2	16	3	0	0	31	5	4	16	16	5	1	0
100000341	37	90	265	70	97	97	270	61	19	106	261	127	53	302	221	237	107	28
100000342	79	127	398	293	132	130	394	42	68	98	298	170	31	187	187	166	68	34
100000353	49	42	57	48	92	74	90	19	16	42	178	93	4	60	56	79	15	6
100000374	39	4	45	9	10	19	52	5	2	23	79	26	8	38	85	23	44	0
100000381	0	1	16	0	9	4	13	0	0	0	0	0	13	12	8	7	10	0
100000398	2	12	17	10	73	5	9	4	2	12	39	18	17	27	3	17	1	5
100000399	6	0	4	12	6	6	34	0	0	18	12	20	9	34	4	29	6	0
100000415	15	42	52	57	29	27	102	13	3	8	118	27	5	44	42	27	29	1
100000433	11	4	4	4	0	1	25	3	5	8	22	10	1	23	6	1	8	0
100000463	3	0	5	0	11	18	12	2	0	1	15	0	0	21	18	5	2	0
100000471	81	93	176	78	146	86	260	33	11	55	305	159	30	238	158	184	68	21
100000478	2	7	26	12	40	5	12	0	0	2	35	28	14	54	2	20	5	0
100000479	7	12	8	13	13	3	16	0	1	5	35	7	0	25	13	14	27	0
100000492	24	21	87	43	54	81	209	27	4	43	70	66	39	126	102	51	37	0
100000500	8	0	17	15	12	5	40	0	0	4	10	3	0	35	18	24	0	1
100000502	2	4	7	0	4	0	15	6	0	3	2	4	4	13	31	4	16	0
100000517	324	265	462	393	346	438	1346	117	53	265	906	832	96	635	484	306	337	36
100000526	49	16	88	31	49	70	399	21	6	86	177	107	27	241	145	128	93	8
100000527	6	0	4	0	0	0	11	0	0	5	5	8	0	23	8	0	4	0
100000534	0	1	4	3	0	8	0	0	1	0	10	1	14	0	0	0	0	0
100000537	29	24	19	12	50	60	132	9	3	31	62	36	1	35	66	38	17	3
100000539	0	9	12	0	3	3	10	0	0	0	1	3	0	7	13	0	0	0
100000558	0	9	2	0	0	4	14	12	0	13	8	11	0	4	0	0	0	0
100000559	0	9	0	1	4	9	1	0	0	6	0	0	11	13	0	7	0	2
100000570	19	2	16	11	28	12	108	2	1	8	61	2	9	61	12	13	8	2
100000574	6	0	1	4	1	9	8	10	0	2	10	4	0	12	25	4	0	0
100000576	16	7	25	0	24	3	35	0	3	2	31	10	24	52	18	26	36	0
100000577	11	5	10	17	7	9	77	12	0	4	37	39	17	76	51	27	29	7
100000597	22	60	75	46	20	47	169	55	3	76	58	57	13	160	30	51	80	5
100000615	152	91	200	102	104	121	283	51	19	91	289	166	23	147	160	108	87	14
100000629	2	7	15	17	11	7	63	0	8	6	14	5	1	28	10	75	1	7
100000647	6	0	18	3	21	1	8	6	0	2	20	10	14	15	10	28	8	0
100000651	0	2	3	4	28	12	45	0	0	6	23	8	0	10	19	20	11	0
100000654	22	9	50	6	13	9	65	0	11	17	33	21	14	25	17	57	5	0
100000656	0	0	12	5	2	0	35	0	5	0	0	3	0	3	0	1	2	0
100000660	16	10	18	22	10	13	25	4	0	9	17	8	12	42	15	5	23	2
100000665	68	42	156	78	54	74	149	21	7	43	116	62	11	118	96	87	60	17
100000675	5	1	5	20	0	13	0	2	0	0	0	18	0	0	10	0	13	0
100000683	0	14	2	4	11	1	13	8	0	0	28	10	10	35	9	28	2	0
100000685	1	0	0	0	13	4	5	0	1	0	4	7	0	10	6	0	0	0
100000687	17	11	45	18	56	25	96	4	9	63	58	40	32	57	44	29	25	20
100000688	21	6	40	67	42	30	46	18	2	32	119	17	27	25	79	26	24	6
100000702	19	7	25	2	24	35	27	1	4	3	44	10	0	15	13	6	11	0
100000709	32	12	80	32	31	49	229	8	0	20	147	91	4	56	84	37	7	0
100000710	5	0	29	26	13	7	27	2	0	16	8	7	0	28	10	27	0	0
100000711	0	4	28	0	19	33	74	7	0	24	31	43	18	34	17	12	20	1
100000713	0	5	8	1	7	6	42	5	0	1	49	17	0	7	40	26	7	0
100000715	12	2	41	14	22	22	52	7	2	25	50	56	12	31	55	18	32	7
100000720	7	28	80	15	24	18	122	19	5	20	66	64	36	52	36	44	19	10
100000724	8	0	15	2	16	4	28	0	0	6	22	16	0	14	17	36	1	6
100000768	9	7	12	2	11	2	47	21	0	17	4	6	0	1	32	2	0	0
100000769	13	11	21	17	18	5	50	0	1	7	47	8	3	13	38	8	3	0
100000771	0	0	6	0	0	0	5	0	0	0	0	3	0	6	0	15	0	0
100000775	700	868	1618	906	1290	1099	2378	312	199	761	2232	1254	292	1637	1601	1041	626	226
100000787	12	28	70	10	31	21	100	23	0	21	61	49	25	48	23	43	23	0
100000797	16	73	74	30	104	32	148	4	17	21	77	88	0	73	128	32	21	8
100000800	8	1	28	11	35	11	220	3	21	8	27	43	0	67	76	29	10	55
100000808	28	64	180	41	66	125	303	20	18	79	141	156	18	35	67	65	68	0
100000823	159	123	256	92	222	134	351	38	39	100	432	227	54	220	308	139	87	38
100000836	8	0	10	13	19	5	8	0	13	9	20	20	2	5	17	20	3	1
100000842	0	14	5	2	7	1	21	6	0	3	0	0	0	0	0	22	6	0
100000844	97	56	86	30	87	48	142	38	9	52	155	48	22	113	121	49	18	9
100000849	26	14	0	0	29	0	10	0	0	0	13	0	0	12	9	19	0	0
100000855	20	7	5	1	4	11	26	27	0	12	4	12	0	5	9	19	0	0
100000857	0	7	4	1	0	5	8	0	0	2	8	12	0	9	4	0	0	6
100000859	0	2	4	1	10	1	8	0	0	6	1	8	0	26	27	33	1	0
100000862	0	0	0	0	1	2	5	0	0	0	0	3	4	24	10	1	0	4
100000883	0	0	0	0	26	1	31	0	0	7	15	0	0	9	14	7	1	0
100000884	0	11	20	0	0	0	10	0	0	0	14	3	3	3	3	1	6	0
100000886	15	11	3	11	34	19	19	0	0	3	16	1	6	25	12	11	0	0
100000896	16	6	44	5	16	26	48	2	1	11	33	29	0	24	49	36	7	0
100000923	9	0	97	9	18	1	23	3	3	0	5	4	0	11	8	5	0	0
100000931	56	106	91	83	73	95	171	9	10	26	127	159	26	93	74	100	45	6
100000934	5	2	0	0	17	18	0	0	4	12	5	13	0	19	11	5	0	0
100000938	1	6	27	0	0	2	22	1	0	3	8	7	0	13	9	6	6	0
100000948	0	1	19	14	21	3	14	0	0	2	0	0	0	4	30	7	0	0
100000949	156	36	123	48	73	132	310	31	12	100	129	98	27	178	50	32	23	105
100000956	15	5	10	3	12	41	29	1	0	31	57	18	23	42	21	52	12	8
100000962	4	12	34	19	2	3	11	6	0	31	34	45	16	11	36	21	0	4
100000981	2	7	12	5	8	0	10	2	0	0	8	0	0	1	0	0	1	3
100000984	0	1	0	0	14	0	33	0	2	2	3	10	0	0	9	0	0	0
100000992	3	2	5	8	9	1	24	1	0	0	7	10	3	15	6	6	2	0
100001004	5	0	4	0	0	6	25	0	0	4	56	9	6	14	15	1	2	0
100001019	14	17	8	7	0	3	19	22	0	0	5	29	0	3	0	18	24	35
100001029	14	0	3	4	0	4	12	0	1	0	5	4	0	7	3	1	0	0
100001035	0	11	4	4	9	4	0	10	0	0	13	6	8	14	0	0	5	0
100001092	7	6	27	32	25	6	36	1	1	6	52	0	0	34	12	3	20	2
100001113	2	0	0	0	0	0	10	0	0	0	12	0	0	4	13	5	0	0
100001114	120	89	388	225	128	265	519	68	42	154	446	243	55	391	282	253	128	19
100001116	25	4	6	0	11	1	21	13	6	11	14	7	14	43	9	9	5	0
100001119	122	81	248	35	81	83	328	46	11	41	243	83	25	124	78	29	105	3
100001127	0	0	8	0	0	2	5	0	2	2	9	8	6	51	1	11	0	0
100001129	190	333	411	237	298	208	631	149	41	180	706	378	52	366	465	269	212	29
100001132	0	0	16	0	0	0	37	3	0	0	0	0	0	18	0	3	0	0
100001136	7	1	24	15	12	28	30	4	0	22	19	12	2	47	10	10	6	0
100001167	0	16	1	1	0	2	0	0	0	0	3	0	0	1	4	13	0	0
100001168	117	108	229	121	120	140	393	40	26	90	324	236	32	156	230	107	73	14
100001169	8	2	6	0	6	11	16	0	0	0	0	0	0	25	0	1	0	0
100001171	8	40	10	3	9	5	16	0	1	0	17	10	1	33	17	12	15	0
100001188	12	3	13	0	0	15	8	0	0	6	7	0	0	4	0	8	1	0
100001198	60	29	83	26	26	29	137	20	0	37	78	64	20	58	73	67	20	6
100001219	11	6	67	17	23	22	78	24	8	28	68	45	14	74	30	85	2	9
100001221	22	28	40	17	32	18	71	6	11	14	63	46	32	32	87	65	22	0
100001241	33	3	27	7	9	17	50	1	0	26	21	49	16	57	34	31	5	21
100001249	13	18	32	16	22	7	75	5	2	27	107	67	83	14	27	11	5	8
100001260	30	18	58	22	32	21	124	14	3	35	65	30	8	92	35	62	14	4
100001267	157	140	344	141	226	1095	832	84	33	122	767	285	108	995	270	874	117	24
100001285	13	5	55	43	42	7	67	5	3	21	97	38	10	57	66	48	16	0
100001293	17	16	4	39	27	0	134	1	3	0	94	26	0	38	4	31	5	0
100001297	51	58	117	45	50	47	174	9	17	71	123	82	23	88	75	117	32	14
100001302	3	0	7	0	0	1	10	10	0	0	21	0	2	6	0	0	0	0
100001306	16	0	0	6	2	16	2	0	0	10	5	0	0	17	17	0	0	0
100001316	11	0	18	0	44	27	18	10	0	5	46	50	20	13	53	18	13	0
100001321	0	10	9	1	0	4	13	0	1	12	9	10	3	30	0	14	7	0
100001340	1	0	10	3	0	0	10	1	1	0	4	2	0	3	5	5	9	0
100001344	14	32	19	5	16	12	0	0	0	15	9	6	5	19	26	3	1	6
100001360	6	5	19	1	0	0	26	0	0	0	6	8	0	0	9	6	0	0
100001408	1	11	9	1	4	0	14	3	0	3	11	5	7	0	0	13	17	0
100001416	0	0	9	21	4	3	25	0	0	16	16	2	3	20	6	21	0	0
100001417	27	26	95	14	18	14	53	21	0	37	65	100	15	59	48	14	15	0
100001421	20	17	71	19	55	63	226	7	0	36	77	87	20	165	51	128	42	16
100001422	2	2	6	0	7	2	22	0	0	0	27	0	11	26	29	49	17	4
100001423	0	21	15	8	0	7	1	0	1	7	15	5	0	6	1	30	8	0
100001424	1	24	35	10	5	10	43	11	0	15	57	26	0	4	6	3	3	0
100001425	1	0	9	6	7	9	41	8	6	5	20	7	6	6	31	38	2	1
100001442	6	0	7	3	0	14	0	0	0	0	29	9	0	0	0	0	8	0
100001484	5	0	5	8	1	0	5	1	0	0	1	10	0	7	0	0	0	0
100001485	6	0	14	0	1	0	0	0	0	0	6	0	4	0	10	0	0	0
100001490	137	147	52	39	42	149	111	30	57	29	205	205	108	78	79	40	54	0
100001518	10	1	139	14	33	8	126	10	0	22	106	70	11	29	60	47	12	0
100001530	12	0	16	0	9	6	28	1	0	7	2	2	2	12	3	14	0	0
100001531	4	18	37	91	18	35	34	7	1	37	84	12	3	101	149	61	22	6
100001532	34	23	166	28	32	43	122	15	9	54	109	85	3	121	63	109	162	3
100001552	2	8	26	0	0	4	0	0	2	3	17	3	0	14	10	16	0	2
100001558	26	21	32	35	25	25	21	25	17	7	49	35	2	23	16	4	2	0
100001581	0	14	17	4	0	3	1	0	0	13	9	14	0	23	4	2	1	0
100001584	15	9	56	9	13	12	36	8	0	8	50	29	1	24	27	12	9	0
100001586	9	8	4	0	5	0	0	4	0	2	28	14	1	0	10	17	0	0
100001603	59	26	141	19	24	13	242	9	7	27	43	34	5	31	25	21	1	1
100001615	97	44	70	100	194	24	105	1	6	55	112	60	5	102	81	20	17	29
100001620	0	0	0	0	0	7	1	0	4	7	23	20	1	9	6	10	12	0
100001628	16	31	16	1	27	7	7	7	0	10	6	12	2	22	10	23	4	0
100001629	47	23	24	16	33	17	44	1	0	25	51	55	12	26	18	12	6	9
100001643	90	109	166	106	3	83	0	33	36	4	168	2	22	66	27	138	56	2
100001644	46	18	75	28	18	24	101	17	4	85	86	51	41	70	73	13	49	2
100001648	9	12	29	18	21	19	34	1	7	7	18	28	3	23	18	14	8	0
100001650	11	0	6	6	8	3	76	3	0	0	15	10	4	31	28	16	0	3
100001663	0	0	3	0	0	0	7	3	0	0	8	5	0	4	8	7	0	0
100001665	28	2	63	0	41	12	98	8	4	27	70	75	7	114	25	33	19	5
100001681	8	48	55	5	17	30	55	7	6	5	78	25	0	55	48	35	10	2
100001684	20242	8998	45010	18934	26074	19482	93350	10604	2344	28508	37384	28644	11624	60215	47308	47568	25766	4937
100001692	2	0	0	1	3	5	8	3	0	4	3	7	0	5	21	9	5	0
100001699	72	66	200	67	101	77	297	48	20	32	129	176	19	124	87	46	26	0
100001725	16	20	39	17	16	4	39	7	2	24	30	31	0	30	48	72	16	1
100001748	39	24	38	23	24	11	78	0	0	20	44	17	0	48	20	34	25	0
100001751	20	3	21	8	1	12	7	3	0	5	9	7	1	10	2	3	0	0
100001767	6	21	6	2	9	2	41	0	0	0	43	4	0	3	5	5	3	0
100001781	35	1	4	6	16	35	24	0	0	2	45	6	0	18	82	7	9	0
100001805	353	3	39	8	15	28	83	5	4	18	94	51	0	84	81	83	96	0
100001810	41	47	77	66	62	3	70	26	0	44	135	134	0	27	137	10	34	5
100001826	0	0	1	0	0	0	15	9	0	0	1	3	0	17	3	0	0	0
100001828	8	0	16	6	23	12	36	11	0	5	53	18	3	8	4	6	12	0
100001836	0	0	8	8	0	3	62	1	0	4	27	0	0	24	17	6	1	5
100001845	12	18	15	14	6	4	10	13	0	18	16	19	1	3	17	16	0	0
100001853	127	86	149	38	117	101	347	66	26	93	209	225	35	157	190	152	32	9
100001877	0	15	15	3	0	8	0	1	3	3	8	15	0	4	0	2	0	4
100001879	80	151	243	94	163	152	455	88	24	103	327	183	74	243	223	150	145	9
100001880	0	1	0	3	0	2	48	27	0	7	2	0	7	50	18	8	7	0
100001887	109	107	118	53	160	103	351	47	39	35	404	201	61	121	241	159	114	10
100001896	7	7	103	30	24	8	66	9	2	34	106	58	7	50	28	25	10	24
100001904	41	36	69	65	32	22	57	6	3	2	59	43	14	5	47	17	9	10
100001905	1	0	12	0	13	10	21	0	0	0	7	11	8	24	3	0	3	0
100001906	50	81	173	56	62	68	117	47	2	60	145	111	14	120	84	96	14	8
100001914	77	49	77	67	90	88	258	18	15	77	92	84	11	112	137	118	21	2
100001920	0	2	8	8	23	3	15	32	1	50	22	3	1	72	0	2	0	0
100001934	0	0	3	4	4	1	3	2	0	1	3	1	0	4	7	0	1	0
100001936	11	2	32	39	24	13	38	0	0	4	31	15	6	18	26	30	19	0
100001940	56	57	104	41	78	76	225	6	17	11	93	117	7	80	54	36	15	8
100001978	5	7	5	1	2	0	7	6	0	7	4	1	0	3	6	27	6	0
100001980	0	27	15	20	7	10	43	6	1	4	54	11	0	26	15	8	5	0
100001989	0	2	4	7	1	31	16	0	0	1	15	0	10	20	11	6	0	2
100001991	0	0	31	0	6	6	59	14	0	5	34	18	9	24	5	21	10	0
100002007	238	201	353	231	228	246	625	79	29	111	426	325	100	418	398	337	256	59
100002010	15	32	123	39	67	83	163	23	0	33	65	164	61	76	142	45	26	2
100002012	66	15	22	13	65	30	47	13	11	11	101	8	14	30	39	10	8	6
100002015	0	5	6	1	11	5	19	0	0	0	15	1	0	0	0	15	20	0
100002020	0	0	13	0	3	21	15	2	0	0	0	1	0	0	0	1	5	0
100002026	10	32	61	10	14	19	118	21	66	7	184	24	8	54	49	32	18	0
100002034	184	164	761	378	788	739	1166	430	36	202	701	672	195	666	738	742	440	165
100002035	6	4	7	0	0	17	15	1	9	1	6	11	3	10	38	8	9	7
100002040	15	15	119	23	46	47	162	21	0	77	196	62	37	133	64	96	78	1
100002059	5	0	21	2	24	7	70	15	0	24	37	25	0	29	39	22	4	0
100002060	12	6	23	3	6	7	11	5	0	3	9	0	10	4	8	30	12	0
100002065	1	5	14	0	16	0	28	0	5	9	6	10	0	41	0	3	0	0
100002072	76	88	160	107	118	76	235	65	16	131	224	170	62	222	146	168	93	6
100002086	0	3	10	9	12	20	15	2	16	18	16	0	0	33	19	4	0	0
100002095	17	11	23	10	8	1	24	0	0	6	46	21	0	17	3	4	35	4
100002104	0	0	0	2	0	0	4	5	0	0	11	9	5	36	9	11	4	0
100002108	0	0	8	0	0	18	23	1	0	0	1	0	0	16	10	13	5	0
100002110	16	72	11	13	41	4	8	1	12	0	44	3	32	19	33	32	9	0
100002129	89	64	119	65	119	32	178	50	2	17	74	62	48	102	153	29	52	7
100002134	0	7	2	8	43	2	19	0	0	3	17	28	0	23	11	4	3	0
100002136	0	1	6	18	14	15	12	2	1	9	16	10	6	11	7	11	9	0
100002155	74	100	134	91	149	62	277	41	23	61	355	130	30	222	241	229	119	6
100002175	5	2	8	9	8	4	8	7	1	8	15	5	9	8	0	17	3	0
100002182	0	5	0	0	3	5	3	4	0	6	0	0	0	20	0	23	0	0
100002184	0	9	37	18	19	3	28	2	0	11	20	14	3	30	20	12	0	19
100002190	20	20	89	30	45	49	162	19	5	49	86	65	6	53	38	29	14	8
100002194	7	27	61	41	18	36	68	0	7	1	64	54	11	61	26	28	20	0
100002197	10	29	36	4	23	14	68	0	1	5	23	15	0	67	15	45	16	9
100002200	0	0	5	0	0	0	3	0	0	0	0	0	0	12	8	0	2	5
100002201	0	9	2	0	0	3	13	2	0	0	9	0	0	24	0	13	0	0
100002203	15	0	40	0	6	7	17	0	0	9	6	20	7	24	25	24	14	0
100002220	80	74	52	28	65	83	146	26	0	53	158	50	12	85	88	84	18	8
100002223	1	0	29	13	17	1	38	9	0	19	10	14	2	15	14	13	5	0
100002225	51	48	46	35	29	52	106	5	10	36	93	36	23	78	73	49	24	0
100002227	41	42	117	91	51	53	252	15	7	35	142	140	13	66	93	45	46	0
100002236	25	61	99	35	44	15	166	36	9	63	48	85	18	119	58	84	31	3
100002256	0	9	3	22	1	17	99	10	0	0	3	42	0	33	51	31	4	0
100002257	8	0	8	0	1	6	11	0	0	1	19	8	0	17	0	4	6	0
100002261	62	37	138	110	55	96	133	20	18	50	100	86	24	156	106	56	19	24
100002263	53	33	115	40	40	97	107	24	13	43	120	21	17	167	90	72	38	8
100002266	0	1	0	2	4	8	23	2	1	2	17	0	0	27	8	11	27	0
100002268	10	0	15	0	4	4	41	10	12	16	51	8	0	9	27	11	1	0
100002269	301	292	626	331	361	452	926	146	89	269	891	524	99	652	554	416	290	72
100002270	2	12	1	0	5	2	10	1	0	16	32	0	0	20	8	0	0	0
100002292	10	3	60	48	69	81	96	8	7	20	95	26	5	85	76	68	62	0
100002293	14	2	1	1	8	3	14	0	3	0	22	1	1	15	6	6	0	0
100002302	65	104	186	99	112	71	189	30	5	78	187	112	17	129	148	36	47	5
100002307	8	7	0	0	3	8	14	9	0	0	34	29	1	3	18	2	0	0
100002318	0	4	88	21	21	32	48	13	0	27	25	44	3	44	115	68	34	3
100002322	3	15	0	2	15	9	32	0	0	5	7	18	0	7	27	11	0	0
100002334	10	0	3	0	0	0	12	0	0	0	0	5	0	13	12	0	13	0
100002342	6	1	1	1	2	3	41	0	0	4	1	0	1	9	0	3	5	0
100002364	63	33	56	32	19	9	95	39	6	13	38	53	1	57	61	15	16	0
100002370	0	0	0	0	0	23	0	0	0	0	0	0	0	55	28	31	8	0
100002371	6	0	1	0	1	1	11	10	0	3	0	0	0	10	2	5	0	0
100002384	14	5	5	1	0	0	7	14	0	9	1	2	0	14	0	0	11	0
100002391	12	13	10	0	18	28	90	0	43	22	30	29	2	35	18	6	0	2
100002393	5	14	15	0	20	42	47	1	0	12	26	27	8	56	46	12	9	2
100002400	66	57	12	24	61	19	59	11	9	40	55	11	6	24	6	12	21	0
100002407	88	84	97	52	90	96	195	21	0	0	148	112	5	104	170	60	77	0
100002427	31	20	25	0	15	14	29	3	0	2	31	27	5	22	9	6	11	0
100002437	6	5	1	0	0	0	0	0	0	12	2	5	0	10	12	1	1	0
100002445	29	9	42	32	33	29	96	14	6	23	81	69	27	22	38	64	16	11
100002448	21	10	15	25	14	19	71	1	0	39	41	29	31	60	56	49	37	6
100002454	323	107	281	75	86	110	472	106	67	70	324	190	149	118	133	38	40	0
100002455	7	2	23	0	6	0	3	0	0	1	10	14	0	1	6	0	12	0
100002460	1	3	15	6	5	12	45	0	0	10	22	11	11	14	5	14	0	0
100002463	15	26	32	5	27	40	59	27	0	0	73	10	0	34	72	60	18	0
100002502	0	0	0	0	3	29	0	0	0	0	0	18	7	6	14	0	0	0
100002505	139	92	316	180	74	191	472	100	21	105	364	324	50	254	163	197	162	16
100002513	0	4	8	0	11	3	0	0	0	10	10	0	3	20	0	2	0	0
100002532	0	7	0	23	22	0	2	4	3	6	11	0	0	4	39	17	0	0
100002535	1	0	2	0	8	6	12	1	0	0	0	5	0	0	4	8	0	0
100002536	13	12	11	4	16	3	21	0	0	0	13	0	0	4	0	0	0	0
100002553	2	0	5	0	1	0	12	2	0	0	8	0	0	12	0	0	0	0
100002565	7	11	10	0	6	1	25	0	0	10	23	18	0	54	13	21	0	2
100002601	0	15	25	10	4	1	22	1	0	20	9	8	11	23	15	22	7	0
100002610	42	526	92	62	110	103	933	9	8	2	121	73	6	78	61	41	701	5
100002625	143	123	179	98	217	201	316	72	31	46	312	159	17	167	197	111	68	32
100002630	56	43	58	29	21	50	215	25	10	13	146	109	25	95	70	64	11	2
100002633	17	0	14	7	11	15	57	0	0	6	34	9	0	16	22	10	0	0
100002675	1	0	9	6	0	11	18	0	0	0	25	7	0	4	2	1	0	0
100002676	0	43	4	0	17	13	20	3	0	0	33	9	0	32	33	0	0	0
100002679	152	118	389	107	109	201	528	76	56	153	463	299	106	307	335	126	141	2
100002680	6	48	92	5	10	32	63	64	0	16	47	21	0	36	39	18	4	0
100002689	45	19	70	12	38	38	116	60	65	69	142	144	21	174	58	43	151	12
100002706	11	25	11	29	3	10	56	2	0	12	42	6	1	17	118	10	13	0
100002730	0	0	0	3	0	8	13	2	0	0	9	0	0	8	8	3	0	0
100002736	8	0	40	60	0	14	35	0	80	0	32	47	0	38	10	23	18	0
100002737	0	8	11	10	19	16	21	5	1	18	26	27	0	62	44	29	6	0
100002738	8	3	6	8	1	18	57	12	3	1	50	16	1	38	20	46	9	0
100002756	339	157	312	152	254	224	736	169	73	273	586	390	152	411	293	406	280	8
100002762	208	255	402	152	246	297	697	183	54	150	799	431	80	450	469	225	167	42
100002786	0	0	3	0	0	3	0	0	0	0	11	10	0	0	14	0	4	0
100002791	0	1	0	0	9	0	10	0	0	1	23	0	3	22	9	24	13	0
100002795	7	17	137	4	35	41	93	10	1	29	82	67	0	43	19	49	17	0
100002802	39	45	76	79	45	55	104	26	13	26	121	81	8	76	81	78	28	4
100002812	0	4	1	22	1	31	44	5	0	15	8	34	4	28	4	11	11	0
100002814	2	0	12	7	10	0	36	0	0	1	12	24	0	32	31	6	6	0
100002821	13	0	1	0	0	0	12	0	0	2	0	5	0	0	10	13	0	0
100002825	0	0	6	2	5	1	24	0	0	5	3	4	4	6	19	25	2	0
100002838	26	23	27	0	12	6	17	1	0	6	17	10	1	20	14	18	0	0
100002865	0	1	8	2	18	7	19	0	0	9	62	16	14	20	2	2	13	0
100002872	184	162	311	207	260	366	479	64	19	153	509	260	59	215	341	262	111	30
100002875	19	9	55	17	30	28	43	4	89	8	56	158	5	47	30	26	18	5
100002876	23	55	44	9	28	15	133	33	11	18	51	26	7	57	9	41	29	0
100002878	11	1	11	1	5	9	68	0	2	0	5	13	2	7	14	27	3	0
100002885	14	19	9	1	14	6	84	11	4	16	42	30	7	44	11	10	6	0
100002904	0	0	7	0	4	0	14	0	0	0	4	0	0	13	7	5	0	0
100002907	5	0	5	0	0	0	2	0	0	1	8	0	0	0	31	3	0	2
100002916	6	5	10	12	11	1	25	4	0	9	4	0	0	3	0	19	13	0
100002919	12	18	33	8	11	27	24	0	15	0	60	18	0	19	109	2	1	0
100002920	0	0	2	0	5	0	10	0	0	4	0	0	3	15	0	0	0	0
100002928	49	64	69	64	96	102	383	34	27	113	172	101	74	306	188	223	48	18
100002938	19	21	71	25	33	13	191	44	16	25	81	53	13	80	96	36	30	6
100002945	12	26	60	59	82	40	106	5	9	36	156	28	9	44	32	40	19	5
100002948	0	0	13	0	11	0	1	0	0	2	9	5	0	0	1	5	0	0
100002956	35	18	33	27	54	37	78	14	8	37	67	59	11	64	29	43	16	0
100002967	14	34	22	1	19	11	50	19	3	1	63	11	1	5	56	5	0	0
100002993	0	0	9	7	0	0	9	0	2	0	12	1	0	5	24	2	2	0
100003007	58	10	75	53	25	70	78	14	0	0	108	17	9	12	81	15	12	7
100003014	0	0	5	0	2	9	15	0	0	0	0	0	0	4	0	7	2	0
100003020	1	0	0	0	0	9	18	0	7	1	19	1	1	0	0	7	0	0
