	H4	H5	H6	H1	H2	H3	G10	G11	G12	G7	G8	G9	G4	G5	G6	G1	G2	G3
560761	113	50	124	93	307	234	292	108	2	92	272	196	39	134	146	109	51	0
560764	0	5	13	2	2	10	41	7	0	0	0	4	0	10	19	3	20	0
560765	23	47	83	23	61	38	173	29	3	54	153	91	6	118	169	115	83	16
560773	135	132	407	201	252	232	462	106	29	152	457	287	58	404	326	301	133	30
560775	1	33	77	13	49	21	70	14	0	0	19	81	2	31	47	7	9	0
560778	4	5	33	1	7	22	63	16	2	1	28	19	4	71	22	23	42	0
560780	18	3	19	5	10	28	11	0	0	0	18	13	0	4	7	15	1	0
560785	99	94	270	79	152	142	213	72	26	81	209	165	27	213	177	87	58	29
560787	5	27	11	9	8	12	30	15	0	10	43	20	4	26	43	15	17	0
560788	33	48	165	110	82	30	190	3	7	59	218	131	30	220	124	160	44	29
560793	483	883	1045	285	449	381	1450	397	152	347	1326	1580	312	1049	1262	600	489	142
560799	8	14	47	3	47	29	75	6	0	12	15	38	2	59	25	13	8	2
560802	107	64	77	61	45	128	427	8	10	73	176	49	4	132	52	42	74	4
560805	6	34	62	3	22	32	116	7	0	45	96	81	21	40	59	16	24	0
560806	0	0	13	9	0	0	0	0	0	4	1	0	0	7	0	0	2	0
560807	35	47	81	51	31	65	95	17	2	43	106	24	20	54	24	65	120	11
560808	0	0	3	0	0	0	9	3	0	0	6	0	15	0	3	0	0	0
560810	189	79	328	68	143	145	328	30	62	74	364	167	22	231	183	143	77	16
560815	2	1	16	8	37	6	24	2	3	6	39	12	10	11	6	22	16	0
560816	35	50	66	43	74	51	199	28	16	75	102	78	21	168	101	110	47	14
560826	14	4	51	24	7	27	82	20	0	40	61	30	17	26	72	12	5	0
560827	23	1	15	4	4	29	39	7	0	9	36	22	0	38	10	30	16	2
560828	59	206	240	5	122	186	206	42	0	50	274	21	149	305	79	42	118	4
560832	19	49	58	45	83	19	199	3	7	42	246	84	7	124	66	81	42	5
560837	27	42	107	78	64	99	158	27	10	66	162	155	20	85	97	87	39	8
560840	46	91	115	33	121	66	210	15	8	87	172	140	11	131	116	146	48	10
560847	18	17	52	20	14	31	70	6	16	50	83	47	1	10	17	23	0	0
560856	284	162	459	261	346	348	743	145	68	223	583	443	84	486	511	368	207	25
560857	156	121	282	72	161	128	450	18	8	49	439	170	31	234	149	102	92	25
560858	46	58	86	90	50	87	174	11	19	48	191	79	12	99	88	126	30	21
560859	18	14	51	41	43	50	117	23	2	64	48	80	27	165	51	108	20	2
560860	0	0	13	17	1	7	3	3	4	2	11	35	0	9	6	9	0	0
560862	200	117	175	116	167	142	283	71	38	65	281	233	35	181	192	105	64	10
560867	22	5	18	0	20	12	26	7	3	10	31	0	0	70	8	5	0	0
560869	1	4	24	0	0	0	6	5	0	13	8	6	3	13	0	27	2	6
560874	413	299	766	379	408	547	1225	168	92	167	1293	689	118	568	791	504	272	62
560875	198	64	148	36	79	61	316	87	14	26	329	107	16	96	87	189	115	0
560881	11	7	50	38	59	58	72	30	16	17	119	20	7	35	80	39	29	0
560882	23	37	38	31	35	56	127	15	11	63	74	44	4	83	81	26	20	11
560883	162	179	300	207	191	216	766	128	31	89	946	163	29	341	323	429	113	15
560884	44	24	58	42	3	9	49	8	10	13	120	10	2	64	50	3	1	0
560885	65	46	130	62	130	86	250	62	1	48	235	132	56	99	103	83	48	13
560887	111	36	118	94	133	194	305	35	20	57	229	178	54	177	162	134	92	16
560890	46	61	103	60	62	135	347	26	19	53	172	113	60	136	84	79	44	5
560896	0	10	5	0	0	0	8	1	0	0	5	0	0	0	2	6	10	0
560900	31	95	122	96	114	100	206	42	7	56	245	106	42	179	125	66	46	19
560910	29	41	49	19	43	30	105	13	18	22	63	52	29	126	43	99	11	5
560911	0	0	14	6	2	0	43	1	0	9	23	3	20	7	0	4	1	0
560912	206	90	114	127	126	121	512	63	97	43	281	124	8	145	249	81	59	7
560913	17	19	46	43	63	30	91	21	6	29	87	72	8	19	38	30	33	0
560915	2	1	2	0	7	4	31	0	5	2	4	29	0	14	2	2	0	0
560916	37	4	101	50	38	27	115	9	13	51	138	55	8	71	87	38	16	20
560919	45	49	69	18	42	9	97	4	2	5	74	33	11	15	58	49	12	0
560923	137	49	180	108	86	109	228	7	35	42	255	98	53	186	150	49	71	7
560924	33	14	55	41	58	59	122	21	0	37	45	31	15	89	54	35	19	4
560932	17	25	59	37	34	17	78	7	13	8	102	79	8	43	52	15	9	0
560933	98	57	194	148	143	147	303	54	14	153	384	167	36	126	228	151	32	23
560935	0	0	3	2	3	0	0	0	0	5	15	0	0	0	0	8	0	0
560936	0	0	0	6	2	0	54	8	0	0	23	6	0	1	1	25	18	0
560941	47	11	49	22	39	62	45	7	2	14	80	36	21	62	22	60	13	13
560942	0	0	32	40	45	14	0	0	5	0	117	89	0	61	0	0	15	0
560944	70	104	118	56	74	93	172	40	37	51	186	101	18	211	93	95	26	74
560945	106	74	230	103	136	99	322	56	25	109	313	139	42	252	141	237	116	34
560948	41	5	7	14	4	12	8	12	0	14	17	1	3	6	20	21	0	0
560951	59	53	86	37	38	49	128	40	5	21	169	44	20	105	65	39	32	2
560956	33	19	119	67	60	79	233	19	9	67	92	49	37	199	113	140	68	3
560974	24	2	4	11	31	11	43	4	1	17	20	29	0	53	19	37	13	1
560975	3	1	25	0	12	24	40	2	1	2	27	14	7	19	20	22	2	1
560986	117	158	234	49	120	89	246	123	50	320	205	220	148	188	137	341	26	36
561003	4	0	0	0	4	0	21	0	0	14	13	28	0	14	18	0	19	0
561004	0	0	0	9	1	0	4	1	0	0	9	10	0	0	1	3	0	0
561005	106	48	331	89	127	153	334	74	14	171	338	163	36	305	212	199	96	6
561006	15	48	76	83	37	36	232	8	8	105	89	178	24	54	141	81	50	3
561007	18	14	53	9	35	32	152	12	1	18	57	41	37	61	34	97	91	1
561009	110	101	158	114	133	127	257	26	17	78	384	264	58	131	287	130	33	1
561010	30	14	40	26	34	13	58	7	0	5	43	17	8	86	58	68	27	2
561012	161	35	94	82	64	50	171	17	1	32	360	62	11	167	111	160	78	36
561017	31	54	36	29	42	25	57	28	2	4	77	55	2	28	56	18	5	3
561018	22	8	6	8	33	12	46	1	0	5	62	26	18	46	21	30	20	0
561019	0	0	1	4	8	1	5	15	0	0	7	0	0	3	0	1	0	0
561024	0	0	8	0	1	4	0	0	0	1	1	0	0	6	1	33	3	0
