	H4	H5	H6	H1	H2	H3	G10	G11	G12	G7	G8	G9	G4	G5	G6	G1	G2	G3
368418	5.51146238698516	5.0701054514429	6.67998769797296	2.08058125846037	5.80290484109468	5.84723775292427	6.29084946241424	3.04520464923072	4.25424407756138	1.99517560355504	6.45530110127332	4.94956528672192	3.01894620697175	4.69105262634809	5.93918639025728	2.77805928847164	7.53278799057802	4.38727212179702
368419	6.57559272440487	8.24003045288521	6.84045237016621	6.32850877190395	7.20729509617401	7.37448475578913	7.27970890480903	7.68906083900545	4.25424407756138	7.48702869988471	7.78228242388697	5.89298175835556	6.47837782560904	7.80326212993412	8.15802099218054	7.21546460077894	7.46407524049401	5.97223462251818
327272	6.1394936095982	2.26275052938529	6.13684537294643	2.08058125846037	6.57342299497191	6.5146624138374	5.39776466633075	4.63016714995188	4.25424407756138	3.58013810427619	5.26626727688331	6.53452778744308	3.01894620697175	7.70162186805828	5.72506158490443	8.01327575016567	7.93941325004067	4.38727212179702
58093	8.24185532722787	7.81733938106293	8.97910590995224	9.04636554312245	9.38077791702951	8.26756955187262	8.82690236265444	9.81338897400765	7.42416907900369	8.40456653969274	8.53530042333854	8.42903465859577	9.98473049163383	9.0914298189208	8.20014646785322	10.4528400514413	10.4859016029472	8.91083407785404
368645	2.05203076834786	7.12073152451287	6.98484227950138	2.08058125846037	4.88536700128665	1.75977491167393	6.4583062082658	6.74564436737182	4.25424407756138	5.45460722219234	2.20737358782974	5.33658840983117	3.01894620697175	6.58086970859767	4.7816451132708	5.58541421052925	7.53278799057802	4.38727212179702
30670	7.9346738177097	8.8921071494649	9.79219720155899	7.635170110138	9.97753684521452	8.67863814894852	9.47060547321624	9.2740233397266	5.83920657828254	7.1244586205	8.05703931474531	8.65000500486302	7.54250816302876	9.16201049836642	8.20014646785322	8.8004271015001	8.84799022227707	8.63519963524061
566412	8.68138738842747	8.80190934049332	8.5544568158891	8.79482677612649	8.12483293598204	8.47402042934005	8.20511958838835	9.23502920811074	7.42416907900369	8.22399429405092	8.78731801378427	8.36806664130434	6.71938592511284	7.37177410987468	7.84938971990663	7.56813621909741	8.48156266722285	7.55719712323934
30338	5.75247048648895	4.58467862427266	5.53112431205848	7.91347127262511	7.78153119030211	7.59266492583867	4.1753722449943	7.9994009596176	7.95468379570247	6.3874930263338	5.26626727688331	5.33658840983117	3.01894620697175	5.35847728726122	5.72506158490443	7.34284390725517	7.0607195462628	4.38727212179702
559473	8.79349775474901	9.95623748688462	8.14711370840026	9.11400425999782	7.496801713369	8.52795923645085	7.38742272210929	8.40275665384881	9.29863819691984	5.16510060499735	8.16930554699622	8.30440800408202	8.37649821158983	7.47395450468116	7.68111823731684	7.21546460077894	2.10652323587593	7.19462704385463
678619	4.85938569040546	2.26275052938529	1.00756235600147	5.54001287709766	1.71544199984434	1.75977491167393	5.62603365400386	3.04520464923072	4.25424407756138	1.99517560355504	3.79233608855089	2.83408806930199	3.01894620697175	4.69105262634809	4.54063701376701	5.58541421052925	2.10652323587593	4.38727212179702
368410	10.0235743222986	9.31803296488648	7.6074751981886	8.42043126134499	9.01006274873597	8.13481434302085	7.79986310990209	9.64511749141785	10.5580248257385	9.2143441240172	8.34351027581577	8.85645588233044	7.97314251735862	7.80326212993412	8.49905791001561	8.35296812452888	7.53278799057802	8.91083407785404
368688	6.91001176347543	6.78631248544231	5.86554335112904	2.08058125846037	4.52279692190194	5.46021462981502	3.72791326802308	8.25465801485967	5.83920657828254	4.3171036984424	7.61109577388075	3.57105366346819	7.54250816302876	6.43647979926249	6.86256510865437	7.1703767112504	7.66111208755356	4.38727212179702
368686	5.51146238698516	7.39203354633026	5.65141854577619	4.88793618051797	5.17487361848164	5.66666550728245	2.59040974427314	4.63016714995188	4.25424407756138	5.16510060499735	7.28062256986038	4.41905057002314	6.92583680258027	6.33151023966095	6.12559951448816	7.21546460077894	2.10652323587593	5.97223462251818
30726	8.16055522512603	2.26275052938529	8.78234941560264	2.08058125846037	1.71544199984434	9.43925501117937	4.1753722449943	7.29313216267431	4.25424407756138	7.48702869988471	8.28774700429376	9.14999237656158	3.01894620697175	8.70687759350977	8.17923747809024	7.96128111252741	9.30619558071229	4.38727212179702
368631	5.75247048648895	2.26275052938529	7.27434889669637	4.88793618051797	7.54833201400908	7.04517713053618	5.62603365400386	3.04520464923072	4.25424407756138	4.80253052561264	5.66680520646703	6.1071065637084	3.01894620697175	6.02985453979985	7.52414889097844	5.83695297752521	7.31597660150487	4.38727212179702
393929	7.6066196200255	6.78631248544231	7.99624704277363	7.91347127262511	4.88536700128665	8.35968775386105	7.65218594185983	3.04520464923072	7.42416907900369	8.65338708630683	7.72044317006911	6.29351968793929	5.82630112902935	8.02144229998365	7.7394168778815	8.70879662603453	7.77894857784742	10.0596974637685
327216	8.11811995880563	7.99067098394849	6.49941545233114	7.03477756884724	7.82396645662251	7.37448475578913	7.21099615472502	6.21512965067304	9.11222507268895	7.97245552705495	7.22232392929571	6.29351968793929	7.97314251735862	6.66967897555552	7.79545091279583	7.07573983711233	7.5983763322056	4.38727212179702
110631416	8.35581151652496	7.21694683977217	7.87792707558487	9.04636554312245	8.42968751751046	8.44627543885715	7.65218594185983	9.11129383968849	7.06159899961899	7.82806561771978	8.10622686437284	7.81898117691178	5.34087430185911	8.07119533518075	7.45624482647663	7.21546460077894	7.66111208755356	4.38727212179702
567899	5.75247048648895	5.43267553082761	7.19738691488148	8.14667044891814	1.71544199984434	4.56712983373153	6.9827271670519	3.04520464923072	4.25424407756138	1.99517560355504	7.41682695345869	7.17986290614372	9.0413140200002	7.56937406975984	3.40313349001707	5.7166587438075	7.77894857784742	4.38727212179702
368885	7.47829552304996	7.75460362571497	7.11608681277964	6.47289868123913	5.17487361848164	6.6177559068015	7.21099615472502	8.08959876858918	8.64656150034014	8.47090903452144	7.44259004952377	6.67539032328293	8.37649821158983	8.05480089693008	8.54881094521271	8.8004271015001	7.83444369043912	5.97223462251818
