#NAME	B7	B8	B9	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10
#CLASS:DOSE	10000000	10000000	10000000	1000000	1000000	100000	100000	100000	10000	10000	10000	1000	1000	1000	0
ENSDARG00000001303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000001313	32	1	14	25	9	30	7	13	10	4	16	69	59	1	26
ENSDARG00000001354	25	11	1	0	20	11	7	0	0	0	0	5	17	0	6
ENSDARG00000001414	59	0	12	6	0	18	20	9	15	2	11	8	16	0	0
ENSDARG00000001431	2990	638	1324	918	1209	2256	1095	922	1036	806	1037	1699	1429	460	799
ENSDARG00000001437	178	44	87	46	73	59	52	30	23	29	0	57	77	8	44
ENSDARG00000001442	26	17	21	22	37	22	0	3	10	4	33	43	81	35	30
ENSDARG00000001447	75	14	31	19	17	46	28	23	15	6	29	68	73	10	44
ENSDARG00000001452	7	1	6	3	8	25	3	11	5	0	22	0	11	0	0
ENSDARG00000001463	117	21	124	31	102	95	56	71	75	47	35	241	296	44	70
ENSDARG00000001470	70	32	130	47	83	67	71	66	18	22	44	60	63	3	22
ENSDARG00000001498	28	0	0	19	0	0	0	0	3	0	5	0	1	0	0
ENSDARG00000001549	379	32	107	36	91	167	83	81	72	36	50	127	204	24	73
ENSDARG00000001557	21	7	32	2	12	4	24	13	30	10	15	39	28	0	9
ENSDARG00000001558	53	25	34	26	53	67	20	45	24	11	16	94	36	4	16
ENSDARG00000001559	327	732	1017	141	471	530	320	101	442	161	103	765	624	127	167
ENSDARG00000001572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000001578	119	9	88	26	59	71	49	25	31	13	43	30	38	14	45
ENSDARG00000001621	47	11	70	2	28	33	12	9	0	7	38	30	47	1	3
ENSDARG00000001634	323	64	213	50	178	260	92	114	111	114	194	302	353	84	131
ENSDARG00000001656	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSDARG00000001676	379	90	161	93	129	263	110	86	128	42	98	284	181	51	81
ENSDARG00000001686	9	0	21	0	0	9	5	11	0	4	4	39	18	7	4
ENSDARG00000001710	302	70	239	137	131	235	126	112	59	49	155	323	277	51	83
ENSDARG00000001712	3	0	33	0	3	5	0	6	4	0	5	3	11	0	76
ENSDARG00000001721	0	3	32	0	0	0	0	0	0	0	0	6	15	3	0
ENSDARG00000001729	563	90	261	155	263	258	222	138	151	109	160	355	347	122	145
ENSDARG00000001733	61	5	17	41	15	53	23	30	28	5	16	46	64	13	79
ENSDARG00000001734	28	2	21	11	5	53	40	24	11	2	31	37	70	0	7
ENSDARG00000001754	149	31	134	69	33	108	42	30	72	57	0	71	145	10	7
ENSDARG00000001760	177	34	142	49	60	126	89	74	59	20	25	163	74	15	31
ENSDARG00000001767	15	0	8	0	0	13	20	16	7	0	7	5	5	11	2
ENSDARG00000001769	234	39	84	16	95	100	36	25	82	49	61	144	102	23	73
ENSDARG00000001771	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0
ENSDARG00000001776	67	5	42	10	24	18	12	24	7	3	4	22	33	1	13
ENSDARG00000001777	215	24	100	84	125	175	92	80	82	28	113	216	124	21	65
ENSDARG00000001781	3	2	0	0	3	20	7	0	0	0	0	4	28	0	0
ENSDARG00000001782	5	5	1	0	20	8	0	3	2	0	4	4	3	1	13
ENSDARG00000001785	80	37	57	41	27	37	30	24	29	13	34	59	70	30	20
ENSDARG00000001788	287	73	195	85	126	252	134	115	154	25	121	181	231	55	52
ENSDARG00000001803	20	14	13	17	46	22	4	10	9	2	14	49	38	6	34
ENSDARG00000001804	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSDARG00000001807	90	42	58	39	40	88	46	52	17	42	35	78	58	15	38
ENSDARG00000001817	98	1	11	17	35	9	5	23	9	1	40	37	45	0	2
ENSDARG00000001818	220	32	137	129	76	112	112	87	186	51	42	189	101	45	72
ENSDARG00000001825	26	0	6	2	0	5	3	2	3	2	0	7	1	6	0
ENSDARG00000001829	573	93	321	124	256	383	133	187	130	95	138	613	674	242	206
ENSDARG00000001835	119	18	95	26	96	79	73	137	159	15	332	157	410	102	127
ENSDARG00000001857	1178	66	385	135	701	1071	168	499	427	99	202	853	420	281	301
ENSDARG00000001859	2	0	16	0	6	0	2	2	0	0	15	6	13	0	0
ENSDARG00000001870	1278	476	796	1003	955	1139	764	596	863	233	645	1266	1021	216	632
ENSDARG00000001873	75	10	34	10	4	44	25	24	18	4	28	49	35	23	6
ENSDARG00000001879	239	43	125	92	100	177	104	79	49	18	77	211	133	13	73
ENSDARG00000001880	128	11	36	8	26	32	133	46	11	9	19	44	38	8	2
ENSDARG00000001881	63	71	50	12	20	42	7	11	20	9	22	94	61	0	28
ENSDARG00000001882	33	9	31	15	11	47	21	77	45	23	15	96	98	11	15
ENSDARG00000001888	150	32	103	81	70	152	48	49	162	54	74	146	137	35	67
ENSDARG00000001889	761	123	363	161	170	380	194	192	231	64	152	367	297	85	133
ENSDARG00000001890	357	72	163	99	154	188	171	133	128	17	108	169	213	60	126
ENSDARG00000001891	18	8	19	19	11	14	7	18	7	15	13	41	76	4	24
ENSDARG00000001897	77	3	33	31	11	86	23	55	30	5	83	65	51	19	71
ENSDARG00000001898	2	4	1	4	10	23	3	7	3	0	16	40	17	14	3
ENSDARG00000001906	2	0	3	0	1	20	0	0	0	0	3	12	1	0	1
ENSDARG00000001909	5	0	7	8	10	7	0	17	10	0	5	14	4	0	0
ENSDARG00000001910	482	90	235	192	247	285	250	182	93	88	133	435	336	76	167
ENSDARG00000001912	19	0	4	13	14	79	28	4	29	32	6	54	23	10	36
ENSDARG00000001913	107	21	58	43	28	63	67	21	46	37	61	87	72	29	37
ENSDARG00000001929	58	18	42	32	27	63	24	12	6	4	36	20	44	4	19
ENSDARG00000001930	116	0	71	78	15	46	38	46	47	5	72	51	25	44	13
ENSDARG00000001933	54	20	13	12	19	28	10	1	8	9	8	38	4	3	6
ENSDARG00000001937	62	14	15	9	37	25	46	14	0	2	15	38	15	11	5
ENSDARG00000001939	36	2	46	1	47	22	9	22	32	0	27	82	46	7	13
ENSDARG00000001940	167	64	50	13	26	75	75	41	49	8	61	52	69	6	40
ENSDARG00000001950	2151	463	1059	703	901	1670	926	597	589	237	781	1306	1367	287	632
ENSDARG00000001953	18	22	27	54	33	47	24	33	28	22	70	53	26	14	19
ENSDARG00000001968	405	80	195	114	169	238	102	54	89	48	203	292	175	51	152
ENSDARG00000001969	79	13	51	29	21	85	41	45	52	0	14	26	54	2	33
ENSDARG00000001971	28	1	21	23	2	17	5	13	13	3	26	2	2	6	8
ENSDARG00000001975	90	0	29	0	23	10	19	14	20	31	16	39	43	1	20
ENSDARG00000001976	69	25	46	17	32	19	26	26	32	0	5	56	63	8	8
ENSDARG00000001993	147	11	144	126	113	99	28	100	83	12	117	161	118	51	49
ENSDARG00000001994	1160	323	662	427	389	1085	584	542	416	223	439	850	1032	239	442
ENSDARG00000001999	95	21	51	125	154	163	74	22	73	4	290	140	109	14	129
ENSDARG00000002002	1	5	0	0	3	8	11	10	0	0	5	42	32	5	12
ENSDARG00000002006	177	52	104	2	98	64	7	42	80	10	18	169	319	28	143
ENSDARG00000002013	142	23	72	54	44	152	61	56	44	34	41	139	100	54	61
ENSDARG00000002016	36	12	10	6	3	11	0	3	3	9	3	32	11	0	2
ENSDARG00000002020	191	143	58	33	113	123	38	28	38	133	36	137	164	27	74
ENSDARG00000002021	109	31	84	0	4	124	3	0	34	15	18	55	46	0	12
ENSDARG00000002026	196	39	169	41	145	100	76	98	41	18	49	162	293	81	68
ENSDARG00000002031	0	0	41	0	0	0	0	0	0	0	17	64	0	0	0
ENSDARG00000002037	37	8	29	11	18	30	16	14	10	2	9	33	49	0	40
ENSDARG00000002060	3	0	11	10	14	19	4	8	0	0	4	0	11	2	3
ENSDARG00000002071	313	40	121	73	154	177	100	91	73	34	60	143	89	13	69
ENSDARG00000002077	24	6	24	7	14	23	18	10	2	15	20	25	24	18	26
ENSDARG00000002082	220	15	260	147	133	80	158	35	83	44	100	245	205	17	51
ENSDARG00000002084	421	65	289	100	109	279	130	108	175	40	141	190	165	29	70
ENSDARG00000002097	1	3	3	4	0	20	7	0	0	10	0	0	0	1	9
ENSDARG00000002127	253	76	149	69	82	140	120	105	113	32	50	169	162	87	123
ENSDARG00000002128	101	8	26	12	41	55	13	23	21	20	16	88	67	3	22
