#NAME	B7	B8	B9	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10
#CLASS:DOSE	10000000	10000000	10000000	1000000	1000000	100000	100000	100000	10000	10000	10000	1000	1000	1000	0
ENSDARG00000035608	71	45	35	35	60	91	15	34	24	12	39	86	75	31	29
ENSDARG00000035609	52	5	4	9	13	10	2	5	0	1	8	27	22	2	5
ENSDARG00000035610	37	9	40	35	5	33	37	4	27	6	7	6	15	2	52
ENSDARG00000035618	19	1	3	0	12	40	0	0	5	0	11	9	18	1	3
ENSDARG00000035622	256	83	322	91	105	199	81	69	101	46	143	244	160	49	84
ENSDARG00000035625	20	3	28	0	18	12	38	22	14	0	12	10	11	0	10
ENSDARG00000035629	8	1	4	0	0	1	6	8	2	5	0	3	10	1	7
ENSDARG00000035630	158	18	41	48	58	162	66	36	36	20	26	123	153	34	34
ENSDARG00000035631	31	8	22	3	41	19	7	15	1	2	15	6	10	2	1
ENSDARG00000035632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000035633	32	11	8	0	1	7	3	3	0	11	0	23	20	0	13
ENSDARG00000035634	55	30	12	43	14	51	11	7	28	14	22	28	35	2	13
ENSDARG00000035646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000035648	37	3	22	10	18	19	14	16	2	0	10	80	58	2	36
ENSDARG00000035649	105	3	21	4	53	18	11	13	25	31	19	29	51	20	18
ENSDARG00000035650	199	32	119	61	104	93	47	163	92	36	141	154	194	11	60
ENSDARG00000035652	129	39	134	68	81	119	92	78	68	31	130	100	157	26	42
ENSDARG00000035655	222	89	100	63	132	94	66	90	67	9	94	99	138	47	57
ENSDARG00000035657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000035660	273	52	175	101	109	177	125	98	108	44	80	164	265	55	63
ENSDARG00000035663	3	0	6	0	0	4	0	0	1	0	0	0	0	0	0
ENSDARG00000035665	0	0	0	0	0	0	0	2	2	0	0	0	10	0	0
ENSDARG00000035676	141	87	119	101	102	147	81	73	65	51	113	106	121	47	60
ENSDARG00000035677	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSDARG00000035678	37	7	12	2	21	18	18	7	8	1	3	27	17	5	5
ENSDARG00000035679	50	9	36	6	13	3	5	8	4	3	2	12	31	1	25
ENSDARG00000035680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000035682	94	13	69	29	38	33	57	39	43	5	31	69	93	9	35
ENSDARG00000035686	0	0	1	5	0	0	0	0	0	0	0	2	0	0	0
ENSDARG00000035692	287	132	256	119	149	57	100	78	18	63	78	248	245	86	69
ENSDARG00000035694	1001	254	448	299	501	611	650	200	158	208	313	555	519	181	190
ENSDARG00000035695	20	0	10	7	1	27	16	16	7	0	15	30	15	0	0
ENSDARG00000035697	6	0	15	0	0	22	0	2	0	0	0	0	0	4	0
ENSDARG00000035699	70	1	67	10	14	14	9	29	38	17	11	50	55	24	43
ENSDARG00000035700	36	4	11	6	1	4	17	12	18	0	11	28	24	9	0
ENSDARG00000035706	231	51	127	50	73	139	98	55	89	94	114	220	195	28	106
ENSDARG00000035715	920	213	489	248	342	610	291	413	254	159	312	535	569	170	290
ENSDARG00000035718	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSDARG00000035719	1	15	24	4	6	2	0	0	5	5	8	5	9	0	0
ENSDARG00000035732	186	42	57	166	147	160	55	93	36	38	97	188	236	66	157
ENSDARG00000035735	62	5	14	7	12	47	34	20	17	1	17	36	13	8	0
ENSDARG00000035741	381	64	187	81	183	211	156	110	139	52	116	200	196	90	170
ENSDARG00000035751	2202	444	1074	520	789	1285	668	628	694	326	597	1207	1187	341	527
ENSDARG00000035763	19	3	29	5	1	31	0	14	18	3	20	21	23	3	11
ENSDARG00000035765	68	35	51	30	45	54	38	31	24	10	21	35	56	25	35
ENSDARG00000035771	130	9	69	29	50	115	80	31	45	58	61	156	110	20	36
ENSDARG00000035781	64	0	17	6	21	34	26	5	21	3	12	15	26	45	77
ENSDARG00000035796	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSDARG00000035797	16	0	0	0	0	0	0	0	0	0	0	0	1	0	4
ENSDARG00000035798	314	63	110	74	148	155	49	121	120	47	95	159	277	61	85
ENSDARG00000035808	52	27	51	18	17	65	22	43	21	10	28	42	75	11	21
ENSDARG00000035809	6394	1300	3848	1722	2405	4664	2299	2219	2232	1117	2133	3315	3176	785	1482
ENSDARG00000035810	131	13	66	43	52	107	35	35	43	13	31	60	92	24	15
ENSDARG00000035819	36	2	62	17	4	65	5	1	7	12	30	10	58	25	1
ENSDARG00000035820	9	19	0	6	0	26	14	10	0	0	8	16	24	3	4
ENSDARG00000035821	381	105	118	89	214	179	183	97	71	98	151	241	247	130	174
ENSDARG00000035823	103	34	63	41	16	89	41	36	46	25	31	95	157	37	51
ENSDARG00000035832	0	0	0	0	6	2	4	0	5	0	0	0	8	0	2
ENSDARG00000035835	318	85	262	111	113	229	85	111	107	23	94	265	189	37	77
ENSDARG00000035837	36	2	24	12	30	30	11	0	6	8	18	27	10	5	6
ENSDARG00000035852	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0
ENSDARG00000035853	22	2	14	2	5	7	3	12	8	4	14	0	43	0	2
ENSDARG00000035858	164	38	128	72	74	90	29	60	52	81	38	73	159	27	105
ENSDARG00000035859	293	40	159	108	133	187	118	103	85	51	175	319	346	48	61
ENSDARG00000035860	264	37	108	45	103	126	55	87	83	21	78	139	183	20	29
ENSDARG00000035861	84	19	46	5	26	45	22	49	24	1	25	77	99	24	27
ENSDARG00000035862	0	0	0	1	12	0	0	0	7	0	3	0	0	0	0
ENSDARG00000035868	216	13	45	60	64	134	26	46	60	31	51	139	176	24	15
ENSDARG00000035869	810	218	453	251	393	442	312	289	405	175	447	479	673	156	334
ENSDARG00000035870	248	39	84	62	127	143	85	51	99	35	84	224	193	78	110
ENSDARG00000035871	319	116	145	92	164	295	103	159	149	63	169	290	162	88	92
ENSDARG00000035872	128	8	40	29	13	33	22	40	34	5	17	78	69	20	17
ENSDARG00000035873	48	10	2	0	13	2	2	8	0	0	4	5	6	0	2
ENSDARG00000035875	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000035879	24	0	18	21	0	20	0	6	17	22	0	4	14	1	18
ENSDARG00000035880	113	28	60	27	53	35	17	10	37	26	28	70	0	0	0
ENSDARG00000035882	7	1	26	5	13	12	6	0	1	0	10	31	23	0	19
ENSDARG00000035883	32	25	24	0	19	26	13	5	27	15	1	7	18	3	0
ENSDARG00000035887	127	13	83	23	26	80	64	5	41	9	26	258	90	81	25
ENSDARG00000035889	79	14	31	12	29	3	12	13	12	4	5	19	52	31	17
ENSDARG00000035890	82	17	76	25	33	82	47	56	44	20	17	98	50	9	53
ENSDARG00000035891	187	27	112	31	97	106	106	77	14	17	64	145	107	10	53
ENSDARG00000035895	116	18	41	13	26	21	1	27	30	24	11	82	45	15	52
ENSDARG00000035899	73	20	8	9	29	52	30	13	17	11	33	99	80	13	8
ENSDARG00000035904	27	11	9	5	6	15	3	0	6	11	4	4	2	2	0
ENSDARG00000035905	83	21	63	13	21	38	14	15	23	8	12	37	21	0	19
ENSDARG00000035907	368	126	248	150	197	252	133	123	111	67	173	363	381	65	148
ENSDARG00000035909	112	51	48	6	42	62	48	25	37	5	29	39	55	32	21
ENSDARG00000035910	145	29	112	48	38	95	39	57	60	30	59	141	98	13	68
ENSDARG00000035913	57	26	74	24	67	59	16	3	39	0	50	43	40	0	23
ENSDARG00000035914	4	0	0	0	1	6	8	0	2	0	22	3	10	0	11
ENSDARG00000035918	205	27	94	11	22	76	120	15	67	63	15	59	16	24	9
ENSDARG00000035924	214	54	104	49	79	100	50	57	63	28	37	117	121	22	36
ENSDARG00000035942	8	2	24	1	4	12	12	0	1	0	0	5	24	0	1
ENSDARG00000035944	34	0	0	2	6	0	6	0	1	2	3	4	2	4	19
ENSDARG00000035949	167	15	56	64	54	113	33	17	32	10	74	176	98	31	38
ENSDARG00000035952	44	0	10	8	20	4	35	2	1	20	10	30	40	8	9
ENSDARG00000035954	1	8	10	0	5	7	3	0	13	1	12	0	8	14	0
ENSDARG00000035957	11	10	13	1	5	18	3	18	6	0	1	0	2	0	3
ENSDARG00000035958	40	7	6	8	13	65	4	5	27	26	53	32	14	0	15
ENSDARG00000035961	9	8	18	0	0	0	2	1	0	0	17	20	28	0	11
ENSDARG00000035963	0	0	6	0	0	0	0	0	0	0	2	12	0	0	1
ENSDARG00000035966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000035970	182	47	191	58	87	124	99	297	249	48	196	689	167	356	719
ENSDARG00000035978	161	26	65	49	7	59	44	37	40	20	64	55	121	6	64
ENSDARG00000035984	17	0	0	10	0	0	0	0	0	0	0	0	6	0	4
ENSDARG00000035985	96	18	29	39	25	97	74	14	10	0	57	55	55	6	54
ENSDARG00000035986	97	23	37	34	28	44	50	33	33	8	40	60	16	22	10
ENSDARG00000035987	5	11	2	0	6	16	8	2	1	1	7	11	0	1	0
ENSDARG00000035990	250	62	140	38	117	221	87	54	81	44	110	195	161	47	125
ENSDARG00000035993	65	9	4	8	11	22	11	7	7	2	30	43	26	13	21
ENSDARG00000036005	58	19	13	15	13	16	5	1	61	4	14	45	34	12	13
ENSDARG00000036008	109	22	50	29	36	76	58	17	31	4	2	115	55	4	40
ENSDARG00000036028	109	69	121	61	75	89	52	37	27	17	115	126	94	41	50
ENSDARG00000036031	181	22	67	25	43	145	69	42	69	55	36	197	106	45	29
ENSDARG00000036036	254	50	236	95	132	274	73	205	91	53	76	182	191	70	61
ENSDARG00000036038	25	4	21	10	30	14	0	8	5	0	0	1	11	0	5
ENSDARG00000036040	171	41	317	65	149	108	28	44	69	16	52	156	149	43	36
ENSDARG00000036041	41	24	35	35	32	44	44	29	39	19	36	52	32	68	59
ENSDARG00000036043	20	16	13	0	14	25	0	7	4	0	13	9	30	1	0
ENSDARG00000036045	6	0	3	0	2	9	0	16	0	4	6	2	1	1	6
ENSDARG00000036051	47	18	28	10	3	12	15	0	24	0	7	56	37	17	2
ENSDARG00000036055	43	1	2	0	0	7	19	9	5	9	3	24	0	6	4
ENSDARG00000036056	45	10	34	22	7	29	15	12	15	31	10	26	39	6	19
ENSDARG00000036057	1	0	0	0	6	13	0	2	0	0	3	0	0	10	0
ENSDARG00000036058	241	106	151	51	95	167	120	89	110	33	47	168	199	55	90
ENSDARG00000036059	0	0	7	6	0	45	0	10	0	0	5	11	17	5	9
ENSDARG00000036060	12	0	0	0	0	0	0	0	0	0	0	0	8	0	0
ENSDARG00000036061	53	10	3	20	7	5	26	10	35	8	13	51	18	5	1
ENSDARG00000036063	25	1	2	0	12	6	9	1	0	2	2	7	15	1	6
ENSDARG00000036064	33	18	10	7	14	4	12	0	3	7	11	12	7	4	6
ENSDARG00000036065	139	25	75	56	60	83	63	58	49	32	68	146	175	18	39
ENSDARG00000036066	0	0	0	0	0	2	3	0	0	0	3	7	0	0	3
ENSDARG00000036069	64	26	41	16	53	65	36	27	21	3	28	105	91	4	37
ENSDARG00000036070	0	0	0	1	3	6	0	2	0	13	7	0	4	0	7
ENSDARG00000036071	13	0	28	10	39	19	20	5	7	0	4	13	18	4	4
ENSDARG00000036073	280	63	156	127	107	152	112	70	68	68	74	219	111	50	73
ENSDARG00000036074	81	12	45	17	36	33	16	34	3	16	77	19	36	1	23
ENSDARG00000036076	35	29	16	37	5	47	10	14	41	17	3	86	63	2	3
ENSDARG00000036080	1812	399	946	546	905	1424	794	862	599	218	616	1289	876	223	486
ENSDARG00000036082	0	0	0	0	1	10	0	0	0	4	0	20	0	0	1
ENSDARG00000036084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000036086	91	20	65	69	31	113	49	9	32	28	18	75	82	30	45
ENSDARG00000036090	68	10	21	29	36	36	11	35	14	23	37	22	20	17	38
ENSDARG00000036092	11	6	3	0	7	25	0	4	17	3	0	30	21	0	5
ENSDARG00000036094	90	18	42	13	12	53	109	29	41	6	62	75	92	15	20
ENSDARG00000036096	179	21	86	91	143	149	105	71	76	38	96	186	106	34	76
ENSDARG00000036100	154	49	46	48	71	102	57	61	24	43	45	184	126	51	95
ENSDARG00000036102	250	89	170	47	181	209	119	109	96	63	93	300	246	28	106
ENSDARG00000036104	3	3	0	0	3	12	0	2	0	0	2	14	0	0	0
ENSDARG00000036105	29	0	10	0	15	16	10	18	0	1	0	8	1	0	10
ENSDARG00000036106	0	1	4	2	3	0	2	0	0	0	3	13	0	0	0
ENSDARG00000036107	504	79	204	180	293	339	163	103	103	55	133	257	263	101	123
ENSDARG00000036109	34	10	9	4	4	11	11	19	27	0	0	39	16	0	0
ENSDARG00000036116	10	3	237	40	0	25	2	19	9	7	10	35	22	7	16
ENSDARG00000036117	9	22	2	7	0	0	0	0	0	0	3	10	4	0	0
ENSDARG00000036125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000036135	56	21	38	28	18	30	27	27	23	49	11	107	37	17	19
ENSDARG00000036136	4	0	1	0	0	2	0	0	0	1	1	23	0	0	6
ENSDARG00000036139	52	5	67	5	3	17	19	1	10	5	15	39	56	8	5
ENSDARG00000036140	314	75	140	78	69	211	109	66	73	62	145	298	188	41	96
ENSDARG00000036144	51	5	65	36	25	32	50	8	35	6	32	47	35	3	4
ENSDARG00000036147	53	151	44	38	35	320	219	120	102	19	20	171	36	11	56
ENSDARG00000036152	59	1	44	9	21	48	17	15	33	11	5	51	27	3	14
ENSDARG00000036155	15	0	0	23	0	0	20	7	6	0	0	16	1	9	0
ENSDARG00000036156	171	21	120	71	129	119	73	38	61	48	69	130	126	61	59
ENSDARG00000036158	49	0	10	5	15	35	0	0	1	0	0	14	9	8	0
ENSDARG00000036159	16	11	13	0	11	9	6	0	0	0	2	14	4	0	0
ENSDARG00000036161	896	281	377	181	307	606	303	273	262	97	302	757	478	237	178
ENSDARG00000036162	308	100	347	143	170	267	109	181	171	71	176	269	362	103	111
ENSDARG00000036164	126	49	23	35	73	67	19	39	9	9	52	55	42	7	39
ENSDARG00000036168	66	12	35	20	0	48	61	22	6	11	32	52	116	38	9
ENSDARG00000036171	0	0	2	1	9	7	5	1	0	0	0	0	1	0	0
ENSDARG00000036175	608	158	542	147	236	489	230	292	205	23	168	592	895	276	252
ENSDARG00000036179	133	18	60	59	56	105	108	109	65	97	63	76	88	12	34
ENSDARG00000036180	0	0	5	0	1	8	0	6	0	0	1	3	0	0	7
ENSDARG00000036186	277	144	247	112	222	378	178	68	149	66	168	374	325	75	103
ENSDARG00000036189	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSDARG00000036190	244	72	170	36	61	88	68	48	83	32	82	79	110	20	44
ENSDARG00000036194	48	16	24	46	5	20	12	20	31	3	15	49	39	3	17
ENSDARG00000036212	163	41	36	43	26	76	36	39	53	16	40	121	68	10	120
ENSDARG00000036214	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
ENSDARG00000036215	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0
ENSDARG00000036222	10	0	8	11	3	20	0	17	5	0	1	5	27	0	0
ENSDARG00000036227	13	3	1	17	8	20	6	9	7	0	0	4	8	0	3
ENSDARG00000036232	260	34	161	59	81	102	89	72	33	103	59	254	120	79	96
ENSDARG00000036235	29	11	9	13	16	28	19	7	5	9	6	40	9	11	9
ENSDARG00000036237	125	21	169	83	82	101	73	94	143	30	70	271	183	33	68
ENSDARG00000036239	255	66	128	122	166	156	187	122	254	69	153	318	213	125	172
ENSDARG00000036245	13	7	1	2	1	6	4	6	2	5	3	9	2	0	4
ENSDARG00000036247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000036252	102	47	97	22	57	80	68	32	37	16	33	89	55	31	37
ENSDARG00000036254	0	11	1	1	7	7	0	0	0	2	0	5	0	0	1
ENSDARG00000036257	499	165	340	197	298	278	79	122	164	53	163	275	263	88	104
ENSDARG00000036272	0	0	9	0	2	4	5	0	0	0	9	40	4	1	16
ENSDARG00000036279	1119	396	500	311	440	648	368	344	258	130	427	595	559	75	243
ENSDARG00000036281	89	34	130	18	78	178	77	66	34	11	61	125	136	26	21
ENSDARG00000036282	66	45	56	64	4	57	25	35	40	11	1	25	44	22	35
ENSDARG00000036291	35	12	30	30	18	51	23	25	41	17	26	53	37	6	18
ENSDARG00000036292	11	0	1	0	4	0	8	0	0	0	0	0	2	0	0
ENSDARG00000036293	2	0	0	0	0	0	0	0	7	0	0	0	3	0	1
ENSDARG00000036295	240	46	155	70	99	223	90	100	59	48	53	305	262	48	124
ENSDARG00000036298	159	32	82	22	76	113	9	156	175	40	95	140	82	7	53
ENSDARG00000036299	580	114	396	232	347	354	222	237	182	184	265	472	347	139	199
ENSDARG00000036304	0	15	1	0	0	2	0	0	2	0	0	9	0	0	0
ENSDARG00000036305	73	29	51	20	32	79	32	27	14	15	31	24	60	34	11
ENSDARG00000036308	32	7	9	0	0	0	16	5	11	1	8	6	19	0	11
ENSDARG00000036316	235	44	165	71	66	124	76	68	94	47	162	124	114	62	71
ENSDARG00000036329	13	2	18	5	28	7	29	6	2	4	2	16	16	0	1
ENSDARG00000036335	90	11	33	14	26	70	21	21	19	8	3	38	25	2	17
ENSDARG00000036337	13	2	4	6	0	3	0	1	0	1	26	2	6	0	19
ENSDARG00000036338	138	34	85	30	23	39	55	18	17	18	52	83	57	20	37
ENSDARG00000036344	667	172	390	163	310	338	212	177	142	99	177	452	389	156	195
ENSDARG00000036345	22	0	11	11	0	24	0	2	9	6	11	47	11	1	1
ENSDARG00000036359	26	0	16	0	0	21	0	0	31	1	0	15	19	0	29
ENSDARG00000036371	363	103	252	250	261	494	144	147	259	70	218	411	522	54	183
ENSDARG00000036375	491	75	232	111	207	387	160	165	137	129	190	319	248	114	206
ENSDARG00000036376	50	25	40	18	48	36	99	14	1	0	9	32	28	13	39
ENSDARG00000036382	1	0	0	1	1	1	0	0	0	0	4	0	5	0	0
ENSDARG00000036383	92	47	40	34	63	117	43	64	40	43	55	66	78	15	45
ENSDARG00000036386	77	7	27	41	23	20	21	8	7	3	22	8	74	27	28
ENSDARG00000036394	8	8	2	2	0	13	8	0	0	0	6	1	0	0	1
ENSDARG00000036412	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSDARG00000036414	347	56	212	138	94	160	88	53	90	22	161	141	179	107	68
ENSDARG00000036415	31	13	31	0	24	13	21	24	34	2	7	10	20	5	0
ENSDARG00000036420	7	0	0	5	0	3	1	0	0	0	0	1	0	0	0
ENSDARG00000036422	160	90	80	34	63	74	64	57	73	29	63	109	131	8	66
ENSDARG00000036424	111	35	50	19	139	39	34	36	49	8	16	83	44	27	43
ENSDARG00000036426	96	21	13	0	0	35	27	1	8	0	7	24	13	1	14
ENSDARG00000036427	214	86	113	118	150	211	40	108	91	59	105	247	166	60	50
ENSDARG00000036428	5	0	0	0	0	8	0	0	0	0	0	6	0	0	0
ENSDARG00000036430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000036438	299	102	198	96	172	258	142	124	82	69	117	226	235	27	117
ENSDARG00000036442	181	25	163	7	27	268	53	255	173	10	4	154	93	15	4
ENSDARG00000036445	9	0	11	2	0	1	0	2	26	18	0	61	2	0	3
ENSDARG00000036446	100	31	65	34	24	46	33	28	3	15	28	98	53	44	5
ENSDARG00000036456	128	82	162	158	118	171	62	83	46	28	120	198	133	57	80
ENSDARG00000036457	34	4	1	34	50	84	17	6	22	8	27	35	43	7	4
ENSDARG00000036458	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0
ENSDARG00000036460	13	0	0	4	0	7	0	0	0	0	0	0	2	0	0
ENSDARG00000036462	24	12	28	0	11	0	23	6	27	0	0	7	10	0	1
ENSDARG00000036471	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000036473	7	4	6	3	4	16	2	8	16	1	1	17	0	7	26
ENSDARG00000036479	0	0	8	0	5	15	9	0	0	0	3	4	7	0	0
ENSDARG00000036481	64	34	21	18	36	75	29	28	19	19	45	37	26	58	13
ENSDARG00000036482	97	33	100	28	34	64	44	52	26	8	32	84	70	21	27
ENSDARG00000036483	0	0	0	0	0	0	9	3	0	0	0	0	7	0	0
ENSDARG00000036489	75	54	56	137	65	125	42	43	30	54	39	66	101	76	44
ENSDARG00000036493	36	2	5	1	16	8	6	2	2	2	20	2	27	10	7
ENSDARG00000036494	27	1	10	6	12	42	14	24	12	22	4	6	46	22	1
ENSDARG00000036499	0	0	10	3	12	0	0	0	14	5	0	8	0	6	2
ENSDARG00000036500	103	20	56	31	29	43	23	43	21	17	16	66	35	8	12
ENSDARG00000036501	60	15	42	21	52	34	33	23	14	16	33	70	64	29	13
ENSDARG00000036505	148	40	56	88	50	81	60	68	57	21	13	74	110	18	79
ENSDARG00000036510	176	44	99	44	65	113	38	176	58	18	53	247	101	18	69
ENSDARG00000036541	124	11	52	22	130	131	48	21	33	6	50	166	42	62	16
ENSDARG00000036542	99	46	61	7	52	47	73	27	26	9	91	120	111	30	32
ENSDARG00000036545	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
ENSDARG00000036546	48	13	8	33	5	49	4	6	17	1	27	56	49	4	23
ENSDARG00000036548	85	15	38	50	39	17	40	21	33	2	26	53	45	12	24
ENSDARG00000036549	655	112	283	243	282	406	185	107	193	137	227	447	404	87	187
ENSDARG00000036558	842	145	426	174	255	504	214	184	188	102	281	433	458	126	128
ENSDARG00000036560	16	18	6	0	16	6	8	0	14	0	0	0	7	1	0
ENSDARG00000036567	10	1	0	1	0	1	3	0	4	4	2	5	5	0	0
ENSDARG00000036569	70	8	37	34	11	83	59	51	26	9	41	180	123	32	41
ENSDARG00000036571	65	3	21	10	38	93	30	20	27	0	31	9	27	5	23
ENSDARG00000036575	78	23	39	22	32	45	39	18	24	31	32	74	61	17	47
ENSDARG00000036577	704	162	338	164	253	428	231	189	164	100	235	373	413	171	137
ENSDARG00000036584	105	35	62	47	111	102	64	70	29	7	59	133	90	52	133
ENSDARG00000036587	37	3	63	27	16	53	15	31	15	13	18	47	51	20	7
ENSDARG00000036588	99	8	133	45	19	54	28	46	39	2	73	112	26	37	10
ENSDARG00000036592	24	38	45	21	13	28	13	5	13	0	12	65	23	31	21
ENSDARG00000036593	797	114	419	195	308	453	268	249	257	161	228	610	408	120	304
ENSDARG00000036613	70	8	5	1	23	34	8	6	36	16	19	30	49	0	19
ENSDARG00000036616	15	4	16	19	6	6	0	0	0	0	0	11	26	0	9
ENSDARG00000036619	215	74	154	67	82	217	135	112	94	38	82	206	330	64	66
ENSDARG00000036625	336	100	190	63	123	157	130	89	101	23	111	258	175	36	103
ENSDARG00000036626	103	23	89	28	39	40	57	20	39	19	20	145	95	60	33
ENSDARG00000036628	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSDARG00000036629	2332	480	1263	781	746	928	765	790	542	256	704	1321	1482	364	471
ENSDARG00000036630	166	51	83	59	92	111	38	61	72	27	55	61	117	9	37
ENSDARG00000036636	1	3	0	0	0	3	0	0	0	0	0	0	0	2	0
ENSDARG00000036637	15	0	1	1	13	7	1	6	8	0	0	1	9	1	0
ENSDARG00000036645	44	8	0	19	0	11	3	18	16	5	6	41	36	13	0
ENSDARG00000036650	22	1	19	21	14	18	31	33	11	34	17	33	22	8	3
ENSDARG00000036658	543	105	282	171	172	335	201	123	122	90	181	357	333	131	177
ENSDARG00000036670	2	10	14	6	17	16	0	0	0	0	14	9	1	22	0
ENSDARG00000036671	85	33	79	33	52	97	21	27	24	26	48	48	65	13	32
ENSDARG00000036675	263	62	177	94	125	171	86	102	86	18	84	297	120	40	65
ENSDARG00000036678	15	0	5	6	9	10	15	0	6	0	5	10	21	1	3
ENSDARG00000036684	11	0	17	2	17	1	3	4	7	4	11	13	1	8	0
ENSDARG00000036685	177	55	156	46	79	150	66	84	60	29	90	104	188	39	53
ENSDARG00000036687	461	130	265	77	274	281	161	146	208	84	175	347	294	115	192
ENSDARG00000036695	113	138	87	26	66	129	70	46	60	30	47	114	233	43	21
ENSDARG00000036698	837	223	474	192	297	474	274	314	214	133	336	631	541	139	305
ENSDARG00000036700	185	31	82	77	61	123	65	42	94	54	102	120	82	9	61
ENSDARG00000036704	16	0	2	0	1	16	0	4	2	0	7	1	21	0	4
ENSDARG00000036721	38	4	61	24	32	40	7	27	15	12	13	16	7	5	1
ENSDARG00000036722	28	0	0	1	0	20	1	0	0	0	1	5	0	0	0
ENSDARG00000036728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000036743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000036748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000036754	539	124	239	134	173	296	174	129	139	55	111	363	262	130	126
ENSDARG00000036755	48	19	14	12	2	17	0	5	16	10	3	18	18	5	0
ENSDARG00000036764	79	23	55	17	46	51	21	69	42	14	32	67	87	23	23
ENSDARG00000036767	55	9	40	1	17	27	0	0	28	1	39	19	2	5	4
ENSDARG00000036772	122	33	88	49	84	110	82	39	42	58	46	159	137	41	38
ENSDARG00000036773	49	2	15	5	5	26	20	8	5	2	16	27	7	0	4
ENSDARG00000036774	753	122	75	31	45	144	95	78	37	192	78	644	350	199	129
ENSDARG00000036775	11	1	6	0	4	2	4	1	0	1	0	2	0	0	4
ENSDARG00000036776	5	0	0	0	1	1	0	0	0	1	1	0	0	0	0
ENSDARG00000036778	175	63	156	79	56	250	17	126	57	26	41	140	114	30	24
ENSDARG00000036781	0	0	0	0	0	3	1	0	0	0	5	1	3	0	4
ENSDARG00000036784	27	35	0	0	2	13	0	2	11	3	10	0	0	0	14
ENSDARG00000036785	166	33	108	59	20	128	44	77	45	21	102	58	94	31	47
ENSDARG00000036787	0	0	0	0	0	0	0	0	0	2	4	1	0	0	0
ENSDARG00000036791	126	0	41	4	13	50	32	44	46	6	17	16	83	0	15
ENSDARG00000036793	50	12	29	14	6	19	3	12	3	18	11	51	24	26	25
ENSDARG00000036809	188	4	94	31	45	106	49	38	8	25	49	53	41	18	60
ENSDARG00000036811	86	11	52	16	22	126	31	6	10	9	16	90	78	31	18
ENSDARG00000036816	149	40	106	60	100	141	96	55	77	44	30	116	149	27	88
ENSDARG00000036818	0	0	0	0	0	1	0	0	4	0	0	14	1	0	0
ENSDARG00000036820	216	79	114	42	96	103	67	65	65	21	58	114	160	11	54
ENSDARG00000036826	122	0	0	22	69	79	32	89	53	77	58	108	169	0	24
ENSDARG00000036830	8075	1377	5221	2144	3531	5752	2834	2271	2304	1257	2786	3532	3702	629	1836
ENSDARG00000036831	120	13	55	48	17	85	43	21	17	19	49	95	83	11	26
ENSDARG00000036832	3334	577	1360	831	1335	2479	1579	1022	1271	500	970	2223	1019	328	313
ENSDARG00000036833	0	0	0	9	24	0	0	0	9	0	0	29	0	0	11
ENSDARG00000036834	710	197	416	565	520	409	319	466	402	86	453	634	499	57	179
ENSDARG00000036840	389	69	213	158	67	119	162	179	50	14	79	229	186	0	30
ENSDARG00000036844	34	1	3	5	4	20	39	10	9	5	15	20	55	7	12
ENSDARG00000036846	53	18	15	26	38	15	31	6	2	15	21	49	31	7	6
ENSDARG00000036848	112	51	37	49	88	127	56	61	25	11	27	135	108	10	37
ENSDARG00000036852	54	14	52	1	26	6	30	16	4	1	12	48	32	18	20
ENSDARG00000036855	174	35	138	41	49	90	46	96	55	36	94	138	111	59	58
ENSDARG00000036863	113	42	171	90	81	145	111	81	63	41	136	166	146	19	100
ENSDARG00000036864	218	34	97	72	83	103	102	106	110	21	85	214	208	102	65
