	C10	C7	C8	C9	C4	C5	C6	C1	C2	C3	B11	B12	B7	B8	B9
564165	1	11	10	0	4	10	0	11	6	12	10	6	5	0	4
564166	391	924	728	199	356	170	280	738	268	272	336	533	755	205	422
564171	49	212	147	72	51	9	128	117	94	53	70	107	245	32	188
564172	25	23	76	25	15	27	5	54	37	14	28	14	62	17	16
564177	38	90	43	39	108	11	30	96	67	72	21	32	106	85	40
564181	9	5	8	0	5	0	22	5	0	1	0	3	17	1	3
564195	50	168	110	31	51	27	99	104	214	50	36	33	187	19	138
564200	0	4	9	0	10	3	11	8	2	6	0	2	6	18	18
564207	181	365	313	122	146	49	184	316	196	164	102	205	401	73	231
564210	16	72	15	54	10	1	20	36	17	10	20	11	34	24	16
564211	57	122	79	32	31	62	58	84	58	67	36	74	141	48	53
564220	161	322	305	84	81	50	119	199	152	105	110	120	281	66	185
564222	35	63	80	39	27	10	32	61	39	20	24	42	65	30	63
564225	61	141	124	16	44	14	73	159	125	57	43	81	184	14	169
564226	19	27	67	5	9	0	12	31	37	0	1	27	57	7	6
564232	22	180	95	38	31	6	37	95	102	50	49	27	133	12	99
564234	4	78	41	15	14	12	15	8	14	9	10	44	84	3	32
564235	154	208	257	85	30	29	73	163	87	97	99	161	433	62	170
564240	0	5	2	2	0	0	0	0	1	1	0	1	3	0	5
564241	0	7	28	35	0	0	0	3	5	35	1	0	6	21	2
564246	12	40	47	14	25	9	36	32	51	13	31	22	113	30	81
564249	1	2	6	4	0	0	0	4	0	0	4	1	13	0	6
564250	24	87	37	18	18	14	27	69	46	10	4	8	128	9	43
564253	29	161	131	16	78	42	40	146	31	28	40	100	223	78	138
564261	1	8	0	0	0	1	14	1	16	0	0	2	10	0	2
564266	2	0	28	11	39	0	24	26	18	11	0	49	15	18	39
564271	14	27	56	14	6	7	28	25	41	17	22	48	50	6	41
564274	29	106	37	67	86	17	51	102	39	72	37	43	106	18	51
564276	8	16	29	5	2	9	20	16	52	5	1	1	22	4	36
564277	10	31	99	13	10	21	32	31	50	24	6	32	101	5	61
