	C10	C7	C8	C9	C4	C5	C6	C1	C2	C3	B11	B12	B7	B8	B9
368418	7.5758907691896	5.12264585583772	6.93216365058806	6.46746774015374	4.2207351593977	5.1893091463566	1.74646906704468	0.830390694497394	5.34403526667271	1.87084787170947	2.00839924893872	5.37849081017785	0.295031909775164	3.99256236945092	3.89323367928822
64604	8.93688842875555	7.74155568848221	9.31147922763295	9.06837178474392	8.08863162339036	5.67473597352684	8.18941256289341	8.71913394339565	7.00114755314971	8.4707607138966	6.65225543871344	8.61115156696813	7.5711563150494	8.91539450892846	8.46958304970467
327272	5.81035602282662	7.60069315264236	7.16348919669452	6.95289456732398	7.25635906912842	6.95484389271958	6.27003102310169	6.55831114906059	8.01863497987855	7.4254367233871	9.3571274031698	5.8639176373481	6.63488191265979	7.76515187334785	8.07456344400278
368645	7.11291879284705	6.01573065192121	4.73052978941841	7.20443333431994	1.89880706451034	4.4523435521904	1.74646906704468	4.73728129010591	8.05298648466932	5.77773846731799	6.2563267623823	1.47160021456933	6.02295236433836	3.99256236945092	5.3338062706742
30338	5.99092826846844	7.10536786440588	8.02331153864626	8.11516599622286	8.04855418401502	5.67473597352684	6.27003102310169	6.76112803206028	6.5977918589185	5.04077287315178	6.65225543871344	6.51599433392779	6.98153243695838	2.40759986872976	7.0166160947935
559473	8.34640892306683	7.10536786440588	9.047640868008	8.11516599622286	8.27384649585726	7.51123724124396	8.68898357238392	8.37728515438503	7.47648556269636	7.89321568473792	7.50025234526839	8.63147155134772	7.03649889617631	7.45199398808822	8.30504727769278
678619	7.45805427889574	4.63721902866748	3.14556728869726	4.88250523943258	4.2207351593977	6.77427164707776	1.74646906704468	4.73728129010591	1.64359554853162	1.87084787170947	5.70883896707981	5.8639176373481	3.10238683183277	2.40759986872976	5.84076625939408
368410	8.34640892306683	8.60684537962396	8.65018768110081	7.77003051017417	7.62672751907354	8.93347024192701	8.15586000318238	8.56510031472323	8.51396026811503	7.97937232848764	7.05279336829717	7.70041890506522	8.14678095119122	8.94675867983779	7.35266529792552
368688	6.65835292938157	6.88007555256364	8.13652214909425	7.08413910060223	8.61305258217646	2.86738105146924	6.3903252568194	6.03984406012634	5.10302716716892	7.22839987632755	5.91528984454724	6.68105358019828	6.52385060027105	7.89945296505944	5.60944071328763
368686	6.15139294066169	4.97825594650254	7.51013972099311	6.64803998579556	4.2207351593977	2.86738105146924	4.91639406848699	4.73728129010591	6.16715750458864	4.67820279376707	7.21785261456767	5.55906305581967	5.58043412863741	5.57752487017208	7.0166160947935
30726	8.67164975199503	9.08347525855704	9.14105180757476	9.09973595565325	9.38262284177459	6.95484389271958	7.9362936259247	9.60188016399799	7.42495526205628	9.92069642116003	2.00839924893872	9.5214487640199	4.20192250538368	2.40759986872976	1.08587875723062
368631	6.85766173760498	5.48521593522243	7.19867862515682	2.56057714454522	5.59924678265143	5.67473597352684	6.87575208398965	4.28982231313469	6.85304891416057	3.45581037243062	3.59336174965988	5.99516217062635	6.02295236433836	6.31449046433828	7.2356258767353
393929	7.73635544138284	8.13120786934114	8.17236734804097	7.60497126390367	7.25635906912842	8.6487407649939	8.31632467537563	9.10185372240177	8.35784106619775	8.24588730305639	7.68082459091022	6.82915221918742	8.92802710691812	7.61705323435871	8.18391084019114
327216	7.26101743183618	8.246028271343	7.59182351858682	9.06837178474392	8.20258781268744	8.93347024192701	6.60445006217225	6.11579291335964	6.5977918589185	7.48555771582468	6.65225543871344	7.73838675526424	7.69591134605735	6.10803958687086	7.2356258767353
567899	4.7108203492757	7.49851275783589	6.65652920797464	4.14553964526638	5.35823868314764	2.86738105146924	4.91639406848699	4.73728129010591	7.52623859789346	8.37864251190816	5.17832425038103	7.49396802759779	4.54295942321875	6.10803958687086	7.65573436556156
368885	7.73635544138284	7.07017843594358	5.86803331316835	8.75040170342524	10.2431029724262	6.56782076961033	7.67720640460757	8.70690764106239	8.27295216861123	7.84812779520938	5.70883896707981	8.01075902567737	8.38778905069502	5.86703148736706	7.68579159941774
100005963	8.77383014680151	8.85444974488815	8.98854612048558	6.26101686268631	8.49871990669747	8.15278327033149	9.98964305051763	8.31420647176165	8.63228023530379	7.93693706216724	8.27518578963362	9.04902904260508	7.87246073781091	7.89945296505944	8.53708986906295
325221	8.27850485856503	8.64321776928892	8.65018768110081	7.98684189924732	7.78145011387218	9.13416759216414	9.29336352693231	7.57185768089854	7.00114755314971	7.08030123733842	7.73631970350192	8.56963229752986	8.37718095112903	7.69300208759201	7.59367339742931
558950	1.9034654272181	5.12264585583772	3.6309941158675	5.73050214598753	1.89880706451034	2.86738105146924	1.74646906704468	5.22270811727615	6.03591297131038	7.29711262641157	6.65225543871344	5.55906305581967	5.33942602913362	4.72952796361713	2.67084125795177
100148193	1.9034654272181	0.730328433058959	7.0904257345048	8.17528698866043	1.89880706451034	7.62226855363271	5.6533596626532	3.637745616555	7.7933426680363	1.87084787170947	6.65225543871344	6.82915221918742	5.33942602913362	11.3471790830445	5.47819618000938
368448	9.17958983249234	9.31152901498391	8.27485030564222	11.4154455278055	10.3124349935345	8.35923414779892	7.81255825750245	8.82474413135625	8.35784106619775	9.07052021654583	8.87876396852212	10.4228849295363	10.2183593951944	8.91539450892846	9.52467060980888
368635	3.48842792793926	4.43076815120005	0.823639193809894	6.64803998579556	6.42236902056735	2.86738105146924	1.74646906704468	5.22270811727615	1.64359554853162	5.04077287315178	2.00839924893872	1.47160021456933	4.20192250538368	2.40759986872976	6.57773185356029
492339	8.01198988399627	8.4650380532848	7.127419941987	7.08413910060223	8.27384649585726	8.53980639344074	8.28562787815271	8.03006303933376	7.94737629670873	7.59876832627267	7.50025234526839	8.21306720097048	7.2375464151144	7.53688288567473	7.62503756833865
799482	4.7108203492757	4.18976005169626	6.49606453578139	5.73050214598753	1.89880706451034	6.56782076961033	5.44690878518577	4.91785353574773	6.50157654365919	4.19277596659683	5.17832425038103	1.47160021456933	6.48485646865518	4.72952796361713	6.96852180659246
561006	8.44262423832613	8.94464755385972	9.14105180757476	9.06837178474392	9.63351668473618	9.13416759216414	8.94614141188104	8.46701531504104	8.90098339122427	7.75349092107131	8.41779018507642	8.80251709268395	9.59194811665445	9.46288230423095	8.32428349655569
368923	6.29578284999686	7.23812307325765	6.49606453578139	2.56057714454522	4.70616198656794	6.56782076961033	6.70066537743155	6.80767061799731	4.81352054997393	3.45581037243062	5.70883896707981	7.02618906624697	6.31739972280362	2.40759986872976	7.35266529792552
100005300	1.9034654272181	0.730328433058959	3.99356419525221	2.56057714454522	1.89880706451034	2.86738105146924	4.06839716193204	5.58527819666086	1.64359554853162	1.87084787170947	4.33032734382608	4.93103183320663	4.20192250538368	2.40759986872976	1.08587875723062
368916	7.92583324024656	7.03410918123606	7.81232388058206	6.26101686268631	7.10826043013929	8.07683441709819	4.91639406848699	6.03984406012634	8.76253662125513	6.51470406148419	5.46783086757602	7.30449022873408	6.52385060027105	5.21495479078737	5.94385975235819
30117	5.07339042866041	6.40275377503046	6.84600700683835	2.56057714454522	1.89880706451034	7.39094300752625	4.91639406848699	3.637745616555	4.45095047058923	1.87084787170947	4.81575417099632	5.71952772801292	4.3824947510255	8.59742442760978	5.84076625939408
431720	3.48842792793926	7.23812307325765	0.823639193809894	2.56057714454522	7.10826043013929	2.86738105146924	5.44690878518577	7.40024630282834	6.77287856547659	6.62573537387294	2.00839924893872	6.82915221918742	7.08944777612527	6.93116182478678	5.72973494700534
751594	3.48842792793926	3.05225652794632	5.95292221075486	2.56057714454522	6.54266325428506	6.03730605291155	5.99439658048826	3.637745616555	5.55048614414014	1.87084787170947	6.86638024406629	1.47160021456933	4.93888809954989	6.93116182478678	4.99276935283914
777634	1.9034654272181	4.43076815120005	4.52407891195099	6.95289456732398	7.10826043013929	2.86738105146924	1.74646906704468	5.68837168962497	1.64359554853162	5.77773846731799	2.00839924893872	1.47160021456933	3.75446352841246	7.16248737089323	7.62503756833865
368424	8.5616769099699	8.32278547032704	9.15902954850382	9.57180439996847	7.62672751907354	10.006932403868	8.37582568712429	9.19233446823264	7.47648556269636	8.28023880784717	9.92128858516868	9.82474704006742	8.98502988119461	8.2902429180916	8.02839326256986
402922	8.05321254672278	7.98771627575161	9.47827522233786	7.77003051017417	7.96489625496811	9.20723105435387	7.81255825750245	8.90185305705402	9.14344143561483	8.37864251190816	7.56298810061636	8.59054128729284	9.48732472424593	8.85054336457849	7.0166160947935
65237	6.65835292938157	8.246028271343	7.42355203599702	2.56057714454522	7.78145011387218	6.03730605291155	5.99439658048826	6.38497954617503	6.5977918589185	7.36270096803914	5.91528984454724	7.02618906624697	5.90974175389037	6.79991729150852	5.3338062706742
