"plate_id" "is_VC" "endpoint" "dose" "control_median" "endpoint_value_norm"
"1" "DES" 1 "a" "Control" 3.63572997826761 2.7183605024347
"2" "DES" 1 "a" "Control" 3.63572997826761 14.0629736385849
"3" "DES" 1 "a" "Control" 3.63572997826761 0
"4" "DES" 1 "a" "Control" 3.63572997826761 4.20685327072188
"5" "DES" 1 "a" "Control" 3.63572997826761 -4.89739390932153
"6" "DES" 1 "a" "Control" 3.63572997826761 -2.26178766263185
"7" "DES" 1 "a" "Control" 3.63572997826761 -3.88635936194488
"8" "DES" 1 "a" "Control" 3.63572997826761 11.0288923644134
"9" "DES" 1 "a" "Control" 3.63572997826761 -5.12178355546533
"10" "DES" 0 "a" "Dose1" 3.63572997826761 18.3283926306398
"11" "DES" 0 "a" "Dose1" 3.63572997826761 25.0303651208029
"12" "DES" 0 "a" "Dose1" 3.63572997826761 9.80609251392899
"13" "DES" 0 "a" "Dose1" 3.63572997826761 12.1658457898177
"14" "DES" 0 "a" "Dose1" 3.63572997826761 4.25698328353818
"15" "DES" 0 "a" "Dose1" 3.63572997826761 5.82606321931713
"16" "DES" 0 "a" "Dose1" 3.63572997826761 7.00439591463473
"17" "DES" 0 "a" "Dose1" 3.63572997826761 6.82230871107778
"18" "DES" 0 "a" "Dose1" 3.63572997826761 17.9744828737147
"19" "DES" 0 "a" "Dose2" 3.63572997826761 14.7408626536175
"20" "DES" 0 "a" "Dose2" 3.63572997826761 0.865936867147621
"21" "DES" 0 "a" "Dose2" 3.63572997826761 2.97384380363019
"22" "DES" 0 "a" "Dose2" 3.63572997826761 34.3492781157067
"23" "DES" 0 "a" "Dose2" 3.63572997826761 0.687301927422101
"24" "DES" 0 "a" "Dose2" 3.63572997826761 -2.01639158951412
"25" "DES" 0 "a" "Dose2" 3.63572997826761 -4.5495778457215
"26" "DES" 0 "a" "Dose2" 3.63572997826761 -2.46336109358629
"27" "DES" 0 "a" "Dose2" 3.63572997826761 14.5669919093667
"28" "DES" 0 "a" "Dose3" 3.63572997826761 15.1822588089128
"29" "DES" 0 "a" "Dose3" 3.63572997826761 -6.02880991777504
"30" "DES" 0 "a" "Dose3" 3.63572997826761 33.0017188949902
"31" "DES" 0 "a" "Dose3" 3.63572997826761 6.76946777048966
"32" "DES" 0 "a" "Dose3" 3.63572997826761 7.60013480180617
"33" "DES" 0 "a" "Dose3" 3.63572997826761 -1.87086572437098
"34" "DES" 0 "a" "Dose3" 3.63572997826761 11.8576302244397
"35" "DES" 0 "a" "Dose3" 3.63572997826761 -3.77333036233538
"36" "DES" 0 "a" "Dose3" 3.63572997826761 21.3394481995808
"37" "DES" 0 "a" "Dose4" 3.63572997826761 11.4396408894032
"38" "DES" 0 "a" "Dose4" 3.63572997826761 -37.0864951901476
"39" "DES" 0 "a" "Dose4" 3.63572997826761 16.3641591112556
"40" "DES" 0 "a" "Dose4" 3.63572997826761 -4.74134433408122
"41" "DES" 0 "a" "Dose4" 3.63572997826761 4.55429252594728
"42" "DES" 0 "a" "Dose4" 3.63572997826761 -3.27480903341986
"43" "DES" 0 "a" "Dose4" 3.63572997826761 3.01745026017186
"44" "DES" 0 "a" "Dose4" 3.63572997826761 2.86816285206948
"45" "DES" 0 "a" "Dose4" 3.63572997826761 8.61795162718746
"46" "DES" 0 "a" "Dose5" 3.63572997826761 17.0232794170417
"47" "DES" 0 "a" "Dose5" 3.63572997826761 2.71222549971908
"48" "DES" 0 "a" "Dose5" 3.63572997826761 1.21027036618995
"49" "DES" 0 "a" "Dose5" 3.63572997826761 7.65871419379658
"50" "DES" 0 "a" "Dose5" 3.63572997826761 14.1878064438086
"51" "DES" 0 "a" "Dose5" 3.63572997826761 -0.535296037501309
"52" "DES" 0 "a" "Dose5" 3.63572997826761 8.37463255979189
"53" "DES" 0 "a" "Dose5" 3.63572997826761 -3.7820987847792
"54" "DES" 0 "a" "Dose5" 3.63572997826761 13.5552434053367
"55" "DES" 1 "b" "Control" 3.5876660743804 15.7217304255841
"56" "DES" 1 "b" "Control" 3.5876660743804 3.50710670881793
"57" "DES" 1 "b" "Control" 3.5876660743804 4.8510783852751
"58" "DES" 1 "b" "Control" 3.5876660743804 -3.23418371570505
"59" "DES" 1 "b" "Control" 3.5876660743804 -4.1518403637002
"60" "DES" 1 "b" "Control" 3.5876660743804 -1.06283380710179
"61" "DES" 1 "b" "Control" 3.5876660743804 0
"62" "DES" 1 "b" "Control" 3.5876660743804 4.60548046191991
"63" "DES" 1 "b" "Control" 3.5876660743804 -6.24009349995003
"64" "DES" 0 "b" "Dose1" 3.5876660743804 8.68506159901932
"65" "DES" 0 "b" "Dose1" 3.5876660743804 5.76480991801764
"66" "DES" 0 "b" "Dose1" 3.5876660743804 10.0010004807473
"67" "DES" 0 "b" "Dose1" 3.5876660743804 19.7261317860013
"68" "DES" 0 "b" "Dose1" 3.5876660743804 18.8100880734269
"69" "DES" 0 "b" "Dose1" 3.5876660743804 8.56313653792369
"70" "DES" 0 "b" "Dose1" 3.5876660743804 11.2860255210333
"71" "DES" 0 "b" "Dose1" 3.5876660743804 0.683696943969059
"72" "DES" 0 "b" "Dose1" 3.5876660743804 5.48528529240042
"73" "DES" 0 "b" "Dose2" 3.5876660743804 31.9234367468591
"74" "DES" 0 "b" "Dose2" 3.5876660743804 18.241235173807
"75" "DES" 0 "b" "Dose2" 3.5876660743804 23.5289430545087
"76" "DES" 0 "b" "Dose2" 3.5876660743804 -3.36678172824008
"77" "DES" 0 "b" "Dose2" 3.5876660743804 -23.3797908811411
"78" "DES" 0 "b" "Dose2" 3.5876660743804 10.089166761506
"79" "DES" 0 "b" "Dose2" 3.5876660743804 5.77414562180829
"80" "DES" 0 "b" "Dose2" 3.5876660743804 -37.0208451841818
"81" "DES" 0 "b" "Dose2" 3.5876660743804 -22.8532858034078
"82" "DES" 0 "b" "Dose3" 3.5876660743804 20.358936055623
"83" "DES" 0 "b" "Dose3" 3.5876660743804 -37.138138437961
"84" "DES" 0 "b" "Dose3" 3.5876660743804 25.3874835689499
"85" "DES" 0 "b" "Dose3" 3.5876660743804 14.6997766955173
"86" "DES" 0 "b" "Dose3" 3.5876660743804 -24.1019756803509
"87" "DES" 0 "b" "Dose3" 3.5876660743804 -10.276149183131
"88" "DES" 0 "b" "Dose3" 3.5876660743804 13.9012243209617
"89" "DES" 0 "b" "Dose3" 3.5876660743804 -32.8514359335196
"90" "DES" 0 "b" "Dose3" 3.5876660743804 21.9665964910792
"91" "DES" 0 "b" "Dose4" 3.5876660743804 -3.6911992822783
"92" "DES" 0 "b" "Dose4" 3.5876660743804 -5.50836641964572
"93" "DES" 0 "b" "Dose4" 3.5876660743804 1.1058790976656
"94" "DES" 0 "b" "Dose4" 3.5876660743804 16.9691989948953
"95" "DES" 0 "b" "Dose4" 3.5876660743804 -7.35701166506999
