"summary.plate_id" "summary.embryo_id" "summary.is_VC" "summary.endpoint" "summary.endpoint_value"
"122" "DES" "Dose2_3" 0 "b" 6651.05
"123" "DES" "Dose2_3" 0 "c" 7130.55
"124" "DES" "Dose2_3" 0 "d" 2225.05
"125" "DES" "Dose2_3" 0 "e" 5424.5
"126" "DES" "Dose2_3" 0 "f" 3076.2
"127" "DES" "Dose2_4" 0 "a" 9531.85
"128" "DES" "Dose2_4" 0 "b" 3579.95
"129" "DES" "Dose2_4" 0 "c" 9930.5
"130" "DES" "Dose2_4" 0 "d" 5103.75
"131" "DES" "Dose2_4" 0 "e" 10806.95
"132" "DES" "Dose2_4" 0 "f" 2301.2
"133" "DES" "Dose2_5" 0 "a" 4390.4
"134" "DES" "Dose2_5" 0 "b" 2257.75
"135" "DES" "Dose2_5" 0 "c" 5083.95
"136" "DES" "Dose2_5" 0 "d" 4076.65
"137" "DES" "Dose2_5" 0 "e" 6003.6
"138" "DES" "Dose2_5" 0 "f" 5586.7
"139" "DES" "Dose2_6" 0 "a" 4125.35
"140" "DES" "Dose2_6" 0 "b" 4880.55
"141" "DES" "Dose2_6" 0 "c" 5366.65
"142" "DES" "Dose2_6" 0 "d" 3052.35
"143" "DES" "Dose2_6" 0 "e" 4266.5
"144" "DES" "Dose2_6" 0 "f" 2541.95
"145" "DES" "Dose2_7" 0 "a" 3891.55
"146" "DES" "Dose2_7" 0 "b" 4418.85
"147" "DES" "Dose2_7" 0 "c" 6274.2
"148" "DES" "Dose2_7" 0 "d" 3965.4
"149" "DES" "Dose2_7" 0 "e" 5846.4
"150" "DES" "Dose2_7" 0 "f" 2592.3
"151" "DES" "Dose2_8" 0 "a" 4083.1
"152" "DES" "Dose2_8" 0 "b" 1648.9
"153" "DES" "Dose2_8" 0 "c" 3813.9
"154" "DES" "Dose2_8" 0 "d" 799.6
"155" "DES" "Dose2_8" 0 "e" 2914.35
"156" "DES" "Dose2_8" 0 "f" 4217.55
"157" "DES" "Dose2_9" 0 "a" 6044.05
"158" "DES" "Dose2_9" 0 "b" 2285.3
"159" "DES" "Dose2_9" 0 "c" 7058.8
"160" "DES" "Dose2_9" 0 "d" 4797.65
"161" "DES" "Dose2_9" 0 "e" 7085.05
"162" "DES" "Dose2_9" 0 "f" 7993.7
