Probe Id	BMDS Model		Genes	Gene Symbols	BMD	BMDL	BMDU	fitPValue	fitLogLikelihood	AIC	adverseDirection	2BMD/BMDL				
ENSDARG00000039116	Linear		null	null	0.92941	0.637605	1.6728	0.6239	179.635748	-353.271496	-1	1.457657954	TRUE	2.28E-05	-4.11E-06	
ENSDARG00000052176	Exp 2		null	null	0.893079	0.494019	2.20012	0.7163	231.1093	-456.2186	-1	1.807782697	TRUE	-1	6.18E-07	0.249673
ENSDARG00000113599	Poly 2		null	null	0.402665	0.144297	2.85813	0.8902	151.685505	-295.37101	-1	2.790529256	TRUE	1.25E-04	-7.46E-05	3.36E-05
ENSDARG00000115405	Exp 2		null	null	1.08179	0.802083	1.69636	0.6239	179.1477	-352.2953	1	1.348725755	TRUE	1	1.55E-05	0.209216
ENSDARG00000088330	Exp 2		null	null	1.14749	0.850717	1.81851	0.3523	191.289	-376.5779	1	1.34885044	TRUE	1	6.07E-06	0.221419
ENSDARG00000087390	Exp 2		null	null	1.43165	1.05615	2.43348	0.9791	160.2292	-314.4585	1	1.355536619	TRUE	1	3.11E-05	0.258153
ENSDARG00000089124	Poly 2		null	null	0.358191	0.138227	2.85912	0.7737	168.527716	-329.055432	-1	2.591324416	TRUE	3.26E-05	-2.65E-05	1.17E-05
ENSDARG00000079305	Exp 2		null	null	1.06875	0.787027	1.69805	0.6686	147.2024	-288.4049	1	1.357958494	TRUE	1	1.49E-04	0.188409
ENSDARG00000099841	Linear		null	null	1.69065	1.00327	5.27219	0.1332	214.572547	-423.145094	-1	1.685139594	TRUE	1.68E-06	-2.20E-07	
ENSDARG00000103341	Linear		null	null	2.75917	1.34912	90000	6.36E-04	223.277914	-440.555829	1	2.045162773	TRUE	8.75E-07	7.54E-08	
ENSDARG00000074669	Linear		null	null	1.52243	0.933154	4.05583	0.01523	223.853422	-441.706844	-1	1.631488479	TRUE	1.27E-06	-1.32E-07	
ENSDARG00000112895	Linear		null	null	1.67659	0.99761	5.15418	0.03296	223.236329	-440.472658	-1	1.68060665	TRUE	9.98E-07	-1.24E-07	
ENSDARG00000063257	Exp 2		null	null	2.02953	0.917343	15.3538	0.01332	214.8125	-423.625	-1	2.212400378	TRUE	-1	1.55E-06	0.132325
ENSDARG00000077040	Linear		null	null	1.62339	0.975872	4.7375	0.7032	213.888076	-421.776152	-1	1.663527594	TRUE	2.10E-06	-2.40E-07	
ENSDARG00000031664	Linear		null	null	1.7635	1.03204	5.94411	0.1684	200.35032	-394.700639	1	1.708751599	TRUE	5.04E-06	5.44E-07	
ENSDARG00000044528	Linear		null	null	0.631821	0.455654	0.999213	0.3606	165.713446	-325.426892	-1	1.3866245	TRUE	8.16E-05	-1.53E-05	
ENSDARG00000100504	Linear		null	null	1.51912	0.93172	4.03555	0.01613	208.559311	-411.118621	-1	1.630446915	TRUE	2.14E-06	-3.65E-07	
ENSDARG00000059651	Exp 2		null	null	1.07421	0.579915	2.92572	0.791	209.6784	-413.3568	-1	1.852357673	TRUE	-1	2.56E-06	0.209019
ENSDARG00000052099	Linear		null	null	0.813393	0.569553	1.38539	0.3	175.95085	-345.9017	-1	1.428125214	TRUE	4.35E-05	-6.00E-06	
ENSDARG00000038293	Linear		null	null	1.28992	0.826938	2.8736	0.3168	205.48549	-404.97098	-1	1.559875106	TRUE	3.48E-06	-5.28E-07	
ENSDARG00000044441	Linear		null	null	1.10499	0.733835	2.18807	0.5374	180.862453	-355.724907	-1	1.505774459	TRUE	1.94E-05	-3.18E-06	
ENSDARG00000097265	Power		null	null	3.29501	2.41413	30000	1.23E-04	223.35842	-440.716841	1	1.364885072	5.45E-07	9.88E-17	18	TRUE
ENSDARG00000075159	Exp 2		null	null	0.835747	0.519758	1.74495	0.2371	197.1607	-388.3215	-1	1.607954086	TRUE	-1	9.00E-06	0.169205
ENSDARG00000052027	Exp 2		null	null	1.7405	1.16328	4.25376	0.1706	215.6329	-425.2658	1	1.496200399	TRUE	1	1.21E-06	0.144239
ENSDARG00000096908	Power		null	null	2.77699	0.549728	2.85464	0.7923	205.632531	-405.265061	-1	5.051570959	6.78E-06	-7.00E-15	18	TRUE
ENSDARG00000058462	Linear		null	null	0.925277	0.635243	1.66191	0.9194	152.828583	-299.657165	-1	1.456571737	TRUE	1.85E-04	-2.46E-05	
