Probe Id	BMDS Model		Genes	Gene Symbols	BMD	BMDL	BMDU	fitPValue	fitLogLikelihood	AIC	adverseDirection	2BMD/BMDL				
ENSDARG00000029230	Poly 2		null	null	0.3162	0.130904	2.45007	0.4063	168.372097	-328.744194	1	2.415510603	TRUE	7.92E-05	3.00E-05	-1.39E-05
ENSDARG00000079543	Poly 2		null	null	0.436086	0.147753	2.46727	0.3495	185.660293	-363.320587	1	2.951452762	TRUE	2.66E-05	7.38E-06	-3.50E-06
ENSDARG00000095863	Poly 2		null	null	0.372541	0.139092	2.65357	0.3253	164.89144	-321.782881	1	2.67837834	TRUE	1.44E-04	3.37E-05	-1.70E-05
ENSDARG00000099715	Linear		null	null	1.28072	0.822496	2.83513	0.66	225.003882	-444.007764	1	1.557113956	TRUE	7.03E-07	1.45E-07	
ENSDARG00000102175	Poly 2		null	null	0.204442	0.106048	3.04284	0.2451	176.708653	-345.417306	1	1.927825136	TRUE	1.76E-05	2.46E-05	-9.23E-06
ENSDARG00000074665	Exp 2		null	null	2.32415	1.04959	35.8947	0.1077	209.7855	-413.5709	-1	2.214340838	TRUE	-1	2.60E-06	0.094104
ENSDARG00000104243	Exp 2		null	null	17.7848	2.19126	30000	1.80E-04	220.8655	-435.7311	-1	8.116243622	TRUE	-1	7.71E-07	0.021438
ENSDARG00000095751	Linear		null	null	1.18215	0.773668	2.45313	0.5484	190.758611	-375.517223	-1	1.527980994	TRUE	9.71E-06	-1.54E-06	
ENSDARG00000090722	Linear		null	null	1.18526	0.775244	2.4644	0.6817	150.647842	-295.295684	-1	1.528886389	TRUE	1.38E-04	-2.23E-05	
ENSDARG00000037191	Linear		null	null	1.01913	0.687769	1.92241	0.298	169.187447	-332.374895	-1	1.481791125	TRUE	5.39E-05	-7.52E-06	
ENSDARG00000086265	Exp 4		null	null	0.00850825	0.00137474	0.0394588	0.8599	231.0293	-454.0586	-1	6.188988463	TRUE	9.02E-07	47.6974	0.587454
ENSDARG00000090850	Linear		null	null	0.666184	0.477904	1.06722	0.3717	154.49525	-302.9905	-1	1.393970337	TRUE	1.95E-04	-3.06E-05	
ENSDARG00000090286	Linear		null	null	0.870208	0.603333	1.52159	0.4652	150.033013	-294.066026	-1	1.442334499	TRUE	1.96E-04	-3.16E-05	
ENSDARG00000043518	Linear		null	null	0.91232	0.627809	1.62812	0.8487	203.822873	-401.645746	-1	1.453180824	TRUE	6.62E-06	-8.35E-07	
ENSDARG00000017928	Linear		null	null	1.19514	0.780232	2.5005	0.4248	212.383633	-418.767267	1	1.531775164	TRUE	2.86E-06	3.60E-07	
ENSDARG00000052336	Linear		null	null	0.847436	0.589899	1.46601	0.1316	208.835181	-411.670362	-1	1.436578126	TRUE	4.29E-06	-6.43E-07	
ENSDARG00000029388	Poly 2		null	null	0.507143	0.154787	2.48581	0.211	196.490389	-384.980777	1	3.27639272	TRUE	8.20E-06	3.22E-06	-1.53E-06
ENSDARG00000042953	Linear		null	null	0.750302	0.531004	1.24332	0.6147	166.218975	-326.437949	-1	1.412987473	TRUE	8.01E-05	-1.24E-05	
ENSDARG00000021172	Poly 2		null	null	0.220093	0.110234	2.6025	0.1273	166.784018	-325.568036	1	1.996598146	TRUE	7.71E-05	4.49E-05	-1.84E-05
ENSDARG00000042982	Linear		null	null	0.606548	0.439084	0.950526	0.8322	182.000992	-358.001984	-1	1.381393993	TRUE	3.33E-05	-5.38E-06	
ENSDARG00000043004	Linear		null	null	1.20661	0.785999	2.54307	0.5003	214.249757	-422.499515	1	1.53512918	TRUE	1.83E-06	3.15E-07	
ENSDARG00000003977	Linear		null	null	1.18366	0.774434	2.4586	0.496	188.342193	-370.684386	-1	1.528419465	TRUE	1.53E-05	-1.81E-06	
ENSDARG00000095793	Linear		null	null	3.77791	1.57271	90000	0.003671	221.725031	-437.450062	-1	2.402165689	TRUE	7.86E-07	-6.11E-08	
ENSDARG00000022767	Poly 2		null	null	0.281216	0.12438	2.75517	0.4634	128.881699	-249.763398	1	2.260942274	TRUE	0.001122	4.58E-04	-2.06E-04
ENSDARG00000021913	Linear		null	null	1.48346	0.916139	3.82461	0.1694	212.536059	-419.072118	1	1.6192521	TRUE	1.94E-06	2.87E-07	
ENSDARG00000010276	Exp 4		null	null	0.197302	8.26E-04	1.72021	0.06654	198.1326	-388.2651	1	239.0009788	TRUE	4.69E-06	2.38828	1.63158
ENSDARG00000042000	Exp 2		null	null	1.23781	0.902713	2.06939	0.8954	209.87	-413.74	1	1.371211005	TRUE	1	1.83E-06	0.198354
ENSDARG00000029747	Linear		null	null	1.05885	0.709311	2.04178	0.9793	165.408109	-324.816218	-1	1.492786662	TRUE	6.94E-05	-9.31E-06	
ENSDARG00000008029	Linear		null	null	0.826232	0.577263	1.41546	0.7768	166.457503	-326.915005	-1	1.431292149	TRUE	7.99E-05	-1.11E-05	
ENSDARG00000024471	Poly 2		null	null	0.305027	0.129619	2.94013	0.6616	216.994923	-425.989847	-1	2.353258396	TRUE	1.60E-06	-1.19E-06	4.89E-07
ENSDARG00000029907	Linear		null	null	2.30084	1.21875	19.9062	0.2068	228.413785	-450.827571	-1	1.887868718	TRUE	5.55E-07	-6.42E-08	
ENSDARG00000107442	Exp 2		null	null	2.13934	0.999821	18.3165	0.009969	214.931	-423.8621	-1	2.13972301	TRUE	-1	1.88E-06	0.100541
ENSDARG00000041797	Linear		null	null	0.933393	0.639877	1.68334	0.7593	174.118296	-342.236593	-1	1.458706908	TRUE	3.86E-05	-5.91E-06	
ENSDARG00000041787	Linear		null	null	1.07358	0.717199	2.08756	0.4368	175.5396	-345.079201	-1	1.496906716	TRUE	3.96E-05	-4.67E-06	
ENSDARG00000023111	Poly 2		null	null	0.360362	0.13821	2.48399	0.1256	163.72591	-319.451819	1	2.607351132	TRUE	9.64E-05	3.67E-05	-1.68E-05
ENSDARG00000070584	Linear		null	null	0.641462	0.461929	1.01808	0.1841	189.447792	-372.895585	-1	1.388659296	TRUE	2.02E-05	-3.09E-06	
ENSDARG00000059233	Exp 4		null	null	4.76E-04	8.58E-07	0.0020301	0.6968	239.0449	-470.0898	-1	555.0205878	TRUE	5.68E-07	597.976	0.483074
ENSDARG00000094104	Exp 2		null	null	1.00808	0.774954	1.44123	0.2718	213.1687	-420.3374	1	1.300825597	TRUE	1	1.08E-06	0.31905
ENSDARG00000041433	Exp 2		null	null	1.07889	0.807356	1.65612	0.1055	145.1407	-284.2814	1	1.336324992	TRUE	1	1.32E-04	0.234661
ENSDARG00000059227	Linear		null	null	0.75614	0.534617	1.25609	0.9445	150.418105	-294.836211	-1	1.414358316	TRUE	2.68E-04	-3.54E-05	
ENSDARG00000021208	Poly 2		null	null	0.18622	0.100245	2.86664	0.3243	202.049721	-396.099443	1	1.857648761	TRUE	7.05E-06	4.97E-06	-1.99E-06
ENSDARG00000102554	Exp 2		null	null	1.16615	0.852268	1.91439	0.5371	230.941	-455.882	1	1.368290256	TRUE	1	5.05E-07	0.189409
ENSDARG00000088825	Exp 2		null	null	1.81136	0.852574	9.7987	0.1281	197.2123	-388.4247	-1	2.124578042	TRUE	-1	5.27E-06	0.140196
ENSDARG00000057826	Linear		null	null	0.906246	0.624308	1.61245	0.6899	206.003999	-406.007998	-1	1.451600812	TRUE	6.48E-06	-7.26E-07	
ENSDARG00000058053	Poly 2		null	null	0.283052	0.125234	2.61505	0.1818	206.871366	-405.742732	1	2.260184934	TRUE	3.15E-06	2.49E-06	-1.03E-06
ENSDARG00000062297	Poly 2		null	null	0.329225	0.134087	2.99031	0.2633	216.817234	-425.634468	1	2.455308867	TRUE	1.67E-06	1.12E-06	-4.58E-07
ENSDARG00000110838	Exp 4		null	null	0.0112791	0.00241858	0.0681145	0.5104	225.4531	-442.9062	1	4.663521571	TRUE	8.74E-07	43.3155	1.53315
ENSDARG00000094892	Linear		null	null	1.18428	0.77475	2.46086	0.9181	217.32918	-428.65836	1	1.528596321	TRUE	1.72E-06	2.61E-07	
ENSDARG00000015752	Poly 2		null	null	0.172764	0.0964098	0.755251	0.1448	232.012743	-456.025485	-1	1.791975505	TRUE	5.38E-07	-7.07E-07	1.99E-07
ENSDARG00000038643	Exp 2		null	null	1.37114	1.00836	2.3153	0.7656	175.4889	-344.9777	1	1.359772304	TRUE	1	1.28E-05	0.241421
ENSDARG00000056765	Exp 2		null	null	0.928126	0.464279	2.55763	0.8532	142.6814	-279.3629	-1	1.999069525	TRUE	-1	1.92E-04	0.286178
ENSDARG00000056744	Exp 2		null	null	0.907081	0.435491	2.5517	0.8015	157.8285	-309.6571	-1	2.082892643	TRUE	-1	6.72E-05	0.307316
ENSDARG00000092715	Exp 2		null	null	9.3192	1.96336	30000	2.76E-04	219.7688	-433.5376	-1	4.746556923	TRUE	-1	1.30E-06	0.0243108
ENSDARG00000055294	Poly 2		null	null	0.299471	0.127453	2.36141	0.1218	220.280042	-432.560084	-1	2.349658305	TRUE	2.79E-06	-9.94E-07	4.86E-07
ENSDARG00000011521	Linear		null	null	1.1068	0.734786	2.19399	0.3014	186.470748	-366.941496	-1	1.506288906	TRUE	1.74E-05	-2.19E-06	
ENSDARG00000079478	Poly 2		null	null	0.23283	0.113651	2.62153	0.1548	221.986246	-435.972492	1	2.048640135	TRUE	1.23E-06	1.08E-06	-4.38E-07
ENSDARG00000046142	Linear		null	null	0.762548	0.538572	1.27019	0.1973	197.0078	-388.015601	-1	1.415870116	TRUE	1.03E-05	-1.57E-06	
ENSDARG00000099558	Linear		null	null	0.78371	0.551552	1.31741	0.8513	180.848665	-355.69733	-1	1.420917701	TRUE	2.32E-05	-4.49E-06	
ENSDARG00000075332	Linear		null	null	1.73967	1.02274	5.71235	0.4981	223.581441	-441.162882	-1	1.700989499	TRUE	8.06E-07	-1.17E-07	
ENSDARG00000041540	Linear		null	null	0.863049	0.599126	1.50397	0.9793	196.081347	-386.162693	-1	1.440513348	TRUE	8.54E-06	-1.48E-06	
ENSDARG00000018361	Linear		null	null	1.58101	0.958178	4.43552	0.723	186.232677	-366.465355	-1	1.650017011	TRUE	1.50E-05	-1.56E-06	
ENSDARG00000033594	Exp 2		null	null	0.748034	0.452464	1.58751	0.01793	205.6168	-405.2335	-1	1.653245341	TRUE	-1	4.30E-06	0.228393
ENSDARG00000098586	Linear		null	null	1.06051	0.710202	2.04689	0.6227	209.690322	-413.380645	-1	1.493251216	TRUE	3.38E-06	-4.85E-07	
ENSDARG00000024160	Linear		null	null	0.846011	0.589054	1.46258	0.2003	181.563886	-357.127772	-1	1.436219769	TRUE	2.83E-05	-3.97E-06	
ENSDARG00000075766	Exp 2		null	null	0.807104	0.509675	1.63832	0.199	191.5511	-377.1023	-1	1.583565998	TRUE	-1	1.42E-05	0.160666
ENSDARG00000089320	Linear		null	null	2.1389	1.1668	12.5234	0.08311	219.934591	-433.869182	1	1.833133356	TRUE	8.53E-07	1.22E-07	
ENSDARG00000074698	Linear		null	null	0.896197	0.618495	1.58675	0.9563	201.943864	-397.887728	-1	1.448996354	TRUE	6.12E-06	-9.63E-07	
ENSDARG00000056057	Exp 4		null	null	0.00374835	0.00147927	0.0115658	0.06673	238.025	-468.05	-1	2.533918757	TRUE	6.42E-07	87.9059	0.56813
ENSDARG00000097693	Linear		null	null	0.90578	0.624039	1.61125	0.6726	184.652872	-363.305744	-1	1.451479795	TRUE	2.13E-05	-3.02E-06	
ENSDARG00000017773	Linear		null	null	1.02934	0.693346	1.95254	0.1129	194.952107	-383.904213	-1	1.484597878	TRUE	9.74E-06	-1.34E-06	
ENSDARG00000096445	Poly 2		null	null	0.350246	0.13726	2.59088	0.9807	158.670521	-309.341042	1	2.551697508	TRUE	1.24E-04	5.18E-05	-2.21E-05
ENSDARG00000055240	Linear		null	null	0.828592	0.578676	1.42103	0.1103	185.933535	-365.867071	-1	1.431875523	TRUE	2.26E-05	-3.03E-06	
ENSDARG00000098711	Exp 2		null	null	1.734	1.16189	4.18298	0.1199	208.2034	-410.4069	1	1.49239601	TRUE	1	1.98E-06	0.145682
ENSDARG00000117001	Linear		null	null	0.896079	0.618426	1.58645	0.3598	176.976036	-347.952071	-1	1.448967217	TRUE	3.28E-05	-5.09E-06	
ENSDARG00000101667	Linear		null	null	1.31769	0.840234	2.993	0.2811	227.604938	-449.209876	1	1.568241704	TRUE	6.49E-07	1.18E-07	
ENSDARG00000113737	Linear		null	null	1.86359	1.07011	7.07362	0.1256	208.276163	-410.552326	-1	1.741493865	TRUE	3.24E-06	-3.04E-07	
ENSDARG00000079009	Linear		null	null	0.646279	0.465054	1.02757	0.02368	173.124759	-340.249518	-1	1.389685929	TRUE	7.14E-05	-9.12E-06	
ENSDARG00000029890	Poly 2		null	null	0.265371	0.121621	2.68071	0.3272	222.490272	-436.980544	1	2.181950486	TRUE	1.38E-06	9.24E-07	-3.66E-07
ENSDARG00000071876	Exp 2		null	null	1.70109	1.12566	4.16296	0.2845	218.9943	-431.9887	1	1.511193433	TRUE	1	1.19E-06	0.123419
ENSDARG00000104214	Exp 4		null	null	0.00158219	1.98E-06	30000	0.7969	230.4331	-452.8662	-1	800.1608221	TRUE	5.73E-07	348.416	0.468167
ENSDARG00000100360	Linear		null	null	1.6037	0.967694	4.59414	0.07119	230.992567	-455.985134	1	1.657238755	TRUE	3.23E-07	7.76E-08	
ENSDARG00000105416	Linear		null	null	1.03362	0.695678	1.9653	0.8704	186.290341	-366.580682	-1	1.485773591	TRUE	1.85E-05	-2.37E-06	
ENSDARG00000010097	Poly 2		null	null	0.237422	0.115161	3.12978	0.03208	234.469858	-460.939715	1	2.061652816	TRUE	4.11E-07	4.56E-07	-1.70E-07
ENSDARG00000026017	Linear		null	null	0.630018	0.454477	0.995703	0.5451	200.126316	-394.252633	-1	1.386248369	TRUE	1.49E-05	-1.55E-06	
ENSDARG00000088366	Linear		null	null	0.894572	0.617552	1.58262	0.3864	183.64003	-361.280061	-1	1.44857761	TRUE	2.47E-05	-3.27E-06	
ENSDARG00000071429	Poly 2		null	null	0.177491	0.0972869	2.56039	0.01136	174.363345	-340.726689	1	1.824408014	TRUE	6.88E-05	3.30E-05	-1.37E-05
ENSDARG00000113607	Exp 4		null	null	5.38E-04	1.14E-06	0.00401231	0.3887	230.9934	-453.9869	-1	472.7845266	TRUE	7.30E-07	693.15	0.453002
ENSDARG00000059944	Linear		null	null	3.37481	1.49324	90000	0.1047	228.443093	-450.886187	-1	2.260058664	TRUE	6.58E-07	-4.37E-08	
ENSDARG00000105411	Poly 2		null	null	0.17458	0.0965611	2.77981	0.1168	174.274741	-340.549481	1	1.807974433	TRUE	2.85E-05	3.34E-05	-1.23E-05
ENSDARG00000105351	Linear		null	null	0.858367	0.596366	1.49252	0.7766	200.21755	-394.435099	-1	1.439329204	TRUE	6.02E-06	-1.13E-06	
ENSDARG00000098535	Exp 4		null	null	1.30E-04	6.72E-05	0.00256733	0.6306	231.0561	-454.1121	1	1.939638678	TRUE	4.33E-08	2072.93	13.1016
ENSDARG00000068586	Linear		null	null	0.839515	0.585194	1.44699	0.7038	177.518183	-349.036367	-1	1.434592631	TRUE	3.63E-05	-5.24E-06	
ENSDARG00000068515	Linear		null	null	0.870526	0.60352	1.52238	0.6073	164.746789	-323.493579	-1	1.442414502	TRUE	7.90E-05	-1.18E-05	
ENSDARG00000014031	Linear		null	null	0.99829	0.676306	1.86206	0.8977	152.478324	-298.956649	-1	1.476092183	TRUE	1.44E-04	-2.34E-05	
ENSDARG00000031278	Poly 2		null	null	0.433416	0.148518	2.59886	0.8417	202.806419	-397.612839	1	2.918272533	TRUE	4.41E-06	2.31E-06	-9.97E-07
ENSDARG00000076487	Linear		null	null	0.793987	0.557812	1.34071	0.8577	187.981129	-369.962257	-1	1.423395337	TRUE	1.96E-05	-2.76E-06	
ENSDARG00000092071	Poly 2		null	null	0.231266	0.113255	2.625	0.1071	210.992805	-413.98561	1	2.041993731	TRUE	3.39E-06	2.25E-06	-9.15E-07
ENSDARG00000017165	Linear		null	null	0.760306	0.537189	1.26525	0.7685	194.108207	-382.216414	-1	1.415341714	TRUE	1.58E-05	-1.91E-06	
ENSDARG00000063078	Linear		null	null	1.02651	0.691803	1.94415	0.4622	203.287465	-400.57493	-1	1.48381837	TRUE	4.78E-06	-7.69E-07	
ENSDARG00000091211	Linear		null	null	1.55814	0.948489	4.28242	0.505	213.801902	-421.603803	-1	1.642760222	TRUE	1.56E-06	-2.51E-07	
ENSDARG00000016412	Power		null	null	2.82849	0.713006	2.92968	0.4523	180.548634	-355.097269	-1	3.966993265	2.53E-05	-2.68E-14	18	TRUE
ENSDARG00000039423	Linear		null	null	1.0088	0.6821	1.8923	0.9593	177.707845	-349.41569	-1	1.478962029	TRUE	3.26E-05	-4.30E-06	
ENSDARG00000075225	Linear		null	null	1.39439	0.876077	3.3503	0.4046	209.945754	-413.891508	1	1.591629503	TRUE	2.09E-06	3.63E-07	
ENSDARG00000017254	Exp 4		null	null	0.207606	0.0343512	30000	0.09805	212.0993	-416.1987	-1	6.043631664	TRUE	2.30E-06	4.04622	0.663952
ENSDARG00000002509	Linear		null	null	1.42753	0.891175	3.51864	0.245	219.746613	-433.493226	1	1.601851488	TRUE	9.85E-07	1.84E-07	
ENSDARG00000002197	Linear		null	null	0.799359	0.561073	1.35299	0.2195	172.499403	-338.998807	-1	1.424696965	TRUE	4.41E-05	-7.69E-06	
ENSDARG00000009160	Linear		null	null	0.567829	0.413368	0.878	0.2669	197.126458	-388.252916	-1	1.373664628	TRUE	1.68E-05	-2.10E-06	
ENSDARG00000007561	Exp 4		null	null	0.00563214	0.00178296	0.0346955	0.01811	227.0076	-446.0153	1	3.158870642	TRUE	6.22E-07	101.785	1.5981
ENSDARG00000039747	Linear		null	null	1.22025	0.792809	2.59454	0.3497	219.812743	-433.625485	-1	1.539147512	TRUE	1.03E-06	-2.15E-07	
ENSDARG00000109262	Exp 2		null	null	0.822341	0.47922	1.8648	0.4474	232.1945	-458.389	-1	1.715998915	TRUE	-1	6.59E-07	0.232758
ENSDARG00000059891	Poly 2		null	null	0.159726	0.0912811	2.7821	0.765	212.415381	-416.830761	1	1.749825539	TRUE	2.63E-06	2.86E-06	-1.05E-06
ENSDARG00000109902	Poly 2		null	null	0.102584	0.066629	0.220205	0.00195	207.332238	-406.664477	1	1.539629891	TRUE	9.43E-06	6.12E-06	-2.36E-06
ENSDARG00000104569	Linear		null	null	0.816859	0.571638	1.39347	0.7391	194.351392	-382.702784	-1	1.428979529	TRUE	7.27E-06	-1.75E-06	
ENSDARG00000101629	Linear		null	null	0.545029	0.398038	0.836398	0.6445	166.776811	-327.553623	-1	1.369288862	TRUE	8.80E-05	-1.65E-05	
ENSDARG00000098315	Linear		null	null	0.954456	0.651822	1.73987	0.8128	180.852658	-355.705317	-1	1.464289331	TRUE	2.99E-05	-3.69E-06	
ENSDARG00000077231	Poly 2		null	null	0.142961	0.0850304	0.440772	0.01794	217.641862	-427.283725	-1	1.681292808	TRUE	1.21E-06	-2.22E-06	6.91E-07
ENSDARG00000117675	Exp 2		null	null	1.84864	1.18272	5.35725	0.318	216.2312	-426.4624	1	1.563041126	TRUE	1	1.53E-06	0.106799
ENSDARG00000013775	Linear		null	null	1.22248	0.793919	2.60305	0.3518	210.46078	-414.92156	-1	1.539804438	TRUE	2.94E-06	-4.00E-07	
ENSDARG00000041569	Poly 2		null	null	0.362378	0.137686	2.357	0.3261	145.487572	-282.975145	1	2.631916099	TRUE	3.55E-04	1.25E-04	-6.29E-05
ENSDARG00000030872	Poly 2		null	null	0.334075	0.134937	2.65762	0.4187	188.485086	-368.970172	1	2.475784996	TRUE	1.14E-05	7.33E-06	-2.98E-06
ENSDARG00000041083	Linear		null	null	0.857472	0.595838	1.49034	0.5821	183.54618	-361.092361	-1	1.439102575	TRUE	2.65E-05	-3.43E-06	
ENSDARG00000093393	Exp 2		null	null	3.57366	1.69378	30000	0.002014	225.9133	-445.8266	1	2.109872593	TRUE	1	6.86E-07	0.0634146
ENSDARG00000060879	Linear		null	null	0.691344	0.49399	1.11841	0.3199	188.551367	-371.102734	-1	1.399510112	TRUE	1.47E-05	-3.05E-06	
ENSDARG00000093977	Exp 2		null	null	1.4149	1.01662	2.55218	0.8636	235.5246	-465.0492	1	1.391768803	TRUE	1	2.80E-07	0.200503
ENSDARG00000100719	Linear		null	null	1.47849	0.913945	3.79621	0.2609	209.172826	-412.345652	-1	1.617701284	TRUE	3.37E-06	-3.60E-07	
ENSDARG00000100451	Linear		null	null	1.43589	0.894947	3.56256	0.3047	229.136373	-452.272747	-1	1.60444138	TRUE	5.60E-07	-9.81E-08	
ENSDARG00000099773	Exp 2		null	null	0.997197	0.569086	2.45915	0.1849	237.5687	-469.1373	-1	1.752278215	TRUE	-1	4.63E-07	0.19072
ENSDARG00000104016	Linear		null	null	1.46458	0.907783	3.71806	0.5972	206.55465	-407.109301	1	1.61335914	TRUE	2.85E-06	4.33E-07	
ENSDARG00000112431	Linear		null	null	1.73828	1.02219	5.69916	0.1715	215.169244	-424.338487	-1	1.700544908	TRUE	2.14E-06	-2.06E-07	
ENSDARG00000037359	Exp 2		null	null	1.20206	0.681505	3.22811	0.4097	218.3926	-430.7852	-1	1.76383152	TRUE	-1	1.85E-06	0.14119
ENSDARG00000099525	Poly 2		null	null	0.235197	0.114054	2.79352	0.5405	184.052252	-360.104505	1	2.062154769	TRUE	2.10E-05	1.35E-05	-5.77E-06
ENSDARG00000079166	Linear		null	null	1.09996	0.731187	2.1717	0.9983	149.369998	-292.739997	-1	1.504348409	TRUE	1.60E-04	-2.61E-05	
ENSDARG00000031616	Linear		null	null	1.12658	0.745127	2.25955	0.2463	186.748334	-367.496668	-1	1.511930181	TRUE	1.42E-05	-2.11E-06	
ENSDARG00000002968	Linear		null	null	0.784869	0.55226	1.32003	0.3717	189.22056	-372.441121	-1	1.421194727	TRUE	1.38E-05	-2.57E-06	
ENSDARG00000076980	Linear		null	null	1.33179	0.846922	3.05557	0.006697	212.083585	-418.16717	-1	1.572506087	TRUE	2.95E-06	-3.30E-07	
ENSDARG00000096722	Linear		null	null	0.773873	0.545534	1.29533	0.4523	206.746673	-407.493346	-1	1.41856053	TRUE	4.66E-06	-8.10E-07	
ENSDARG00000045144	Exp 2		null	null	1.37896	0.979035	2.53558	0.6865	219.2534	-432.5069	1	1.408488971	TRUE	1	1.02E-06	0.172098
ENSDARG00000045143	Exp 2		null	null	1.17267	0.848065	1.97395	0.5266	153.1696	-300.3393	1	1.382759576	TRUE	1	1.03E-04	0.167587
ENSDARG00000071592	Exp 2		null	null	0.516493	0.353993	0.8841	0.7894	186.8979	-367.7959	-1	1.459048625	TRUE	-1	2.59E-05	0.184622
ENSDARG00000071306	Poly 2		null	null	0.133313	0.0808538	0.38299	0.09047	222.232865	-436.465731	1	1.648815516	TRUE	8.60E-07	1.76E-06	-6.34E-07
ENSDARG00000019492	Linear		null	null	0.996608	0.675375	1.85725	0.6543	183.378767	-360.757534	-1	1.475636498	TRUE	2.39E-05	-2.99E-06	
ENSDARG00000096739	Linear		null	null	1.14966	0.757075	2.33824	0.6655	172.01941	-338.03882	-1	1.518554965	TRUE	3.63E-05	-5.52E-06	
ENSDARG00000045070	Exp 2		null	null	2.06324	0.913732	17.5355	0.01595	230.1411	-454.2823	-1	2.258036273	TRUE	-1	5.43E-07	0.134747
ENSDARG00000096808	Linear		null	null	1.38494	0.871731	3.30394	0.2567	206.183836	-406.367672	1	1.588724044	TRUE	4.34E-06	4.70E-07	
ENSDARG00000075931	Exp 2		null	null	0.553333	0.362603	1.01582	0.8705	166.8847	-327.7694	-1	1.526002267	TRUE	-1	7.30E-05	0.236096
ENSDARG00000057498	Poly 2		null	null	0.180453	0.0984524	2.70011	0.02082	192.769286	-377.538572	1	1.832895897	TRUE	1.25E-05	9.47E-06	-3.65E-06
ENSDARG00000061011	Exp 4		null	null	8.92E-04	1.14E-06	30000	0.5145	209.2506	-410.5012	-1	783.9457887	TRUE	3.96E-06	627.349	0.687254
ENSDARG00000045038	Exp 2		null	null	1.13521	0.803505	1.98727	0.3002	225.9502	-445.9004	1	1.412822571	TRUE	1	1.25E-06	0.114667
ENSDARG00000104566	Exp 4		null	null	0.195448	0.00129316	30000	0.4953	229.1504	-450.3007	1	151.1398435	TRUE	4.38E-07	3.43432	1.65635
ENSDARG00000089369	Poly 2		null	null	0.458946	0.150772	2.88086	0.3864	203.846267	-399.692533	1	3.043973682	TRUE	7.69E-06	2.09E-06	-9.49E-07
ENSDARG00000091560	Linear		null	null	0.72704	0.516514	1.19318	0.9253	163.794307	-321.588613	-1	1.407590114	TRUE	7.71E-05	-1.51E-05	
ENSDARG00000117378	Poly 2		null	null	0.218338	0.109782	2.61761	0.6553	214.180276	-420.360553	1	1.988832413	TRUE	2.41E-06	1.92E-06	-7.80E-07
ENSDARG00000063215	Exp 2		null	null	2.57491	0.9469	30000	0.01205	219.1065	-432.213	-1	2.719305101	TRUE	-1	8.74E-07	0.146699
ENSDARG00000023082	Exp 4		null	null	0.130769	0.0166433	0.649189	0.7334	171.9964	-335.9927	-1	7.857155732	TRUE	5.74E-05	3.08495	0.666403
ENSDARG00000075958	Poly 2		null	null	0.300172	0.128738	2.95415	0.1598	225.250405	-442.500811	1	2.331650329	TRUE	1.14E-06	6.93E-07	-2.83E-07
ENSDARG00000070960	Linear		null	null	0.78355	0.551455	1.31705	0.1267	196.873425	-387.74685	-1	1.420877497	TRUE	8.82E-06	-1.54E-06	
ENSDARG00000040004	Poly 2		null	null	0.127398	0.0784682	0.331318	0.3837	197.070924	-386.141848	1	1.623562156	TRUE	7.02E-06	9.76E-06	-3.00E-06
ENSDARG00000035882	Linear		null	null	0.799477	0.561144	1.35326	0.3926	176.257135	-346.514271	-1	1.424726986	TRUE	4.90E-05	-5.98E-06	
ENSDARG00000095638	Linear		null	null	0.647686	0.465966	1.03035	0.7121	217.499976	-428.999952	1	1.389985535	TRUE	1.18E-06	4.72E-07	
ENSDARG00000101785	Linear		null	null	1.45716	0.90448	3.67714	0.06134	213.171924	-420.343849	1	1.611047232	TRUE	2.34E-06	2.80E-07	
ENSDARG00000099981	Exp 2		null	null	1.83155	1.22456	4.70917	0.5635	216.374	-426.748	1	1.495680081	TRUE	1	9.69E-07	0.159898
ENSDARG00000068493	Exp 2		null	null	0.744901	0.423673	1.69211	0.2471	213.8829	-421.7657	-1	1.75819795	TRUE	-1	2.05E-06	0.283026
ENSDARG00000101324	Poly 2		null	null	0.368199	0.139206	2.76774	0.08641	111.720883	-215.441766	1	2.64499375	TRUE	0.00382846	0.0011592	-5.42E-04
ENSDARG00000090943	Poly 2		null	null	0.235138	0.114345	2.66771	0.7819	194.163164	-380.326328	1	2.056390747	TRUE	8.71E-06	6.80E-06	-2.70E-06
ENSDARG00000070038	Linear		null	null	1.00791	0.681614	1.88974	0.9382	145.78563	-285.571259	-1	1.478710825	TRUE	2.83E-04	-3.62E-05	
ENSDARG00000042379	Linear		null	null	0.895245	0.617944	1.58434	0.7335	198.366818	-390.733637	-1	1.448747783	TRUE	8.84E-06	-1.22E-06	
ENSDARG00000069744	Poly 2		null	null	0.199658	0.104587	2.73724	0.7459	227.386088	-446.772175	1	1.909013549	TRUE	6.59E-07	8.57E-07	-3.25E-07
ENSDARG00000056314	Linear		null	null	0.919038	0.631668	1.64558	0.03643	170.907103	-335.814205	-1	1.454938354	TRUE	5.19E-05	-7.43E-06	
ENSDARG00000041645	Linear		null	null	1.00789	0.681601	1.88968	0.7225	169.915578	-333.831157	-1	1.478709685	TRUE	4.37E-05	-7.24E-06	
ENSDARG00000078757	Linear		null	null	0.624191	0.45067	0.984398	0.1023	181.944279	-357.888558	-1	1.385028957	TRUE	3.33E-05	-5.24E-06	
