Probe Id	BMDS Model		Genes	Gene Symbols	BMD	BMDL	BMDU	fitPValue	fitLogLikelihood	AIC	adverseDirection	2BMD/BMDL	Flagged Hill					
ENSDARG00000055359	Exp 4		null	null	0.11962	0.0157996	0.511159	0.1266	240.5052	-473.0104	1	7.571077749	TRUE	3.41E-07	3.05026	1.63279		
ENSDARG00000038011	Exp 2		null	null	1.43626	0.738164	5.01646	0.08639	224.6158	-443.2316	-1	1.945719379	TRUE	-1	9.47E-07	0.156199		
ENSDARG00000030157	Linear		null	null	2.80601	1.36123	90000	0.3121	188.185596	-370.371191	1	2.061378312	TRUE	9.84E-06	7.70E-07			
ENSDARG00000096714	Exp 4		null	null	0.0014958	5.05E-04	0.0152124	0.5052	217.6113	-427.2226	-1	2.963276998	TRUE	3.18E-06	223.355	0.664247		
ENSDARG00000097646	Linear		null	null	2.35276	1.23471	24.0582	0.002604	231.923577	-457.847154	1	1.905516275	TRUE	4.54E-07	4.97E-08			
ENSDARG00000099195	Exp 4		null	null	0.140569	0.0613092	0.589346	0.08767	182.2641	-356.5281	1	2.292788032	TRUE	1.81E-05	2.03051	1.71443		
ENSDARG00000100972	Exp 4		null	null	0.0244156	0.007083	0.235873	0.8508	231.8642	-455.7285	1	3.44707045	TRUE	3.42E-07	18.6505	1.93948		
ENSDARG00000052741	Linear		null	null	2.55383	1.29353	89.4646	0.03976	206.479265	-406.95853	1	1.974310607	TRUE	2.71E-06	2.50E-07			
ENSDARG00000100947	Exp 4		null	null	0.014597	0.00163346	0.101898	0.7774	213.2187	-418.4374	1	8.936245761	TRUE	1.54E-06	31.4618	1.71556		
ENSDARG00000099873	Exp 2		null	null	1.75892	1.23024	3.85949	0.7676	216.1667	-426.3335	1	1.429737287	TRUE	1	7.33E-07	0.213634		
ENSDARG00000104829	Linear		null	null	2.50736	1.28034	56.2243	0.1425	202.57359	-399.147179	1	1.958354812	TRUE	3.17E-06	3.30E-07			
ENSDARG00000102720	Exp 2		null	null	2.86279	1.59242	30000	0.1296	214.7973	-423.5947	1	1.797760641	TRUE	1	9.82E-07	0.110734		
ENSDARG00000101037	Linear		null	null	7.41338	2.00191	90000	2.89E-04	201.18455	-396.3691	1	3.703153488	TRUE	4.75E-06	1.22E-07			
ENSDARG00000088331	Exp 4		null	null	0.0132227	3.38E-05	0.777022	0.3325	214.6156	-421.2312	1	390.8838023	TRUE	2.06E-06	50.7731	1.36743		
ENSDARG00000097714	Exp 4		null	null	1.63E-04	1.92E-06	0.00123066	0.6394	218.373	-428.7459	-1	84.93411313	TRUE	2.55E-06	1416.92	0.450886		
ENSDARG00000101393	Exp 2		null	null	11.8266	2.37051	30000	1.00E-04	192.3685	-378.737	1	4.989052989	TRUE	1	4.92E-06	0.0242482		
ENSDARG00000052103	Exp 4		null	null	2.56E-04	3.54E-07	9.27E-04	0.169	213.2776	-418.5553	-1	722.4889306	TRUE	4.62E-06	843.587	0.54764		
ENSDARG00000103066	Exp 2		null	null	1.57062	0.798406	6.06954	0.6438	219.2434	-432.4869	-1	1.967194635	TRUE	-1	1.39E-06	0.138954		
ENSDARG00000039217	Poly 2		null	null	0.224888	0.112137	2.96713	1.06E-04	201.863429	-395.726857	-1	2.005475445	TRUE	5.71E-06	-4.18E-06	1.42E-06		
ENSDARG00000074002	Linear		null	null	109.471	2.69182	90000	0.002432	206.287517	-406.575034	1	40.66802386	TRUE	3.32E-06	5.90E-09			
ENSDARG00000087071	Exp 2		null	null	1.51577	1.0228	3.26644	0.2676	236.9254	-467.8508	1	1.481980837	TRUE	1	4.37E-07	0.115827		
ENSDARG00000030896	Linear		null	null	1.68283	1.00013	5.20614	0.7678	174.959131	-343.918262	1	1.682611261	TRUE	1.18E-05	3.10E-06			
ENSDARG00000077288	Poly 2		null	null	0.132569	0.080673	0.366133	0.09687	229.735381	-451.470761	1	1.643288337	TRUE	5.20E-07	1.07E-06	-3.41E-07		
ENSDARG00000020746	Exp 4		null	null	0.0213079	3.29E-04	0.275328	0.2162	224.0368	-440.0736	1	64.78140581	TRUE	1.31E-06	24.8542	1.36607		
ENSDARG00000058229	Linear		null	null	4.61209	1.70918	90000	0.01558	199.029006	-392.058012	1	2.698422635	TRUE	5.78E-06	2.27E-07			
ENSDARG00000030722	Exp 4		null	null	0.00660481	0.00119468	0.0346632	0.5266	190.5143	-373.0286	1	5.528518097	TRUE	1.04E-05	67.7354	1.4931		
ENSDARG00000017494	Poly 2		null	null	0.152165	0.0885848	0.54667	0.001605	211.905128	-415.810256	1	1.717732613	TRUE	2.37E-06	3.07E-06	-1.02E-06		
ENSDARG00000079782	Linear		null	null	2.33955	1.23068	22.8645	0.3453	178.956925	-351.91385	1	1.901022199	TRUE	1.28E-05	1.71E-06			
