Probe Id	BMDS Model		Genes	Gene Symbols	BMD	BMDL	BMDU	fitPValue	fitLogLikelihood	AIC	adverseDirection	2BMD/BMDL	Flagged Hill					
ENSDARG00000096714	Poly 2		null	null	0.135366	0.0818108	0.389836	0.004559	217.197241	-426.394482	-1	1.654622617	TRUE	2.53E-06	-2.42E-06	8.08E-07		
ENSDARG00000027182	Linear		null	null	17.6375	2.38408	90000	0.001013	167.430146	-328.860292	-1	7.398031945	TRUE	5.37E-05	-4.88E-07			
ENSDARG00000099164	Exp 2		null	null	4.76827	1.59725	30000	1.00E-04	211.2071	-416.4142	-1	2.985299734	TRUE	-1	3.02E-06	0.0351339		
ENSDARG00000053953	Linear		null	null	1.49444	0.920966	3.8882	0.6767	216.763954	-427.527908	1	1.622687482	TRUE	1.31E-06	2.15E-07			
ENSDARG00000016750	Linear		null	null	1.80485	1.04797	6.3778	0.3485	213.257351	-420.514701	1	1.722234415	TRUE	2.31E-06	2.25E-07			
ENSDARG00000074723	Exp 2		null	null	3.44167	1.6811	30000	0.003749	202.0533	-398.1066	1	2.047272619	TRUE	1	3.09E-06	0.0710309		
ENSDARG00000043360	Linear		null	null	1.17298	0.769009	2.42018	0.1145	226.960105	-447.920211	1	1.525313748	TRUE	9.28E-07	1.39E-07			
ENSDARG00000091465	Exp 4		null	null	2.89E-04	1.03E-06	0.00137094	0.1899	226.1749	-444.3498	-1	280.9299342	TRUE	1.87E-06	898.255	0.599366		
ENSDARG00000096954	Exp 4		null	null	4.27E-05	2.79E-05	5.81E-04	0.2816	215.975	-423.9501	1	1.532144973	TRUE	7.87E-07	3101.45	4.47119		
ENSDARG00000099958	Exp 2		null	null	0.696166	0.379047	1.61441	0.0974	236.7694	-467.5389	-1	1.836621844	TRUE	-1	4.30E-07	0.31534		
ENSDARG00000030896	Linear		null	null	6.73837	1.94735	90000	9.00E-05	184.879975	-363.759951	1	3.460276786	TRUE	1.54E-05	3.99E-07			
ENSDARG00000114182	Poly 2		null	null	0.124681	0.0772549	0.316421	0.04973	217.093651	-426.187302	-1	1.613891158	TRUE	2.34E-06	-2.62E-06	8.15E-07		
ENSDARG00000091266	Exp 2		null	null	1.88368	1.2332	5.30964	0.03995	234.3623	-462.7246	1	1.52747324	TRUE	1	3.25E-07	0.141779		
ENSDARG00000092780	Linear		null	null	1.88037	1.07633	7.29222	0.2872	212.771061	-419.542123	1	1.747019966	TRUE	1.27E-06	2.23E-07			
ENSDARG00000035859	Linear		null	null	1.01596	0.686032	1.91313	0.07154	157.234362	-308.468725	1	1.480922173	TRUE	1.41E-04	1.67E-05			
ENSDARG00000061292	Exp 4		null	null	0.00115478	3.75E-05	0.0304063	0.6461	217.0987	-426.1974	1	30.75755235	TRUE	1.26E-06	383.319	1.69498		
ENSDARG00000038700	Exp 2		null	null	1.9127	0.955295	10.3434	0.03503	221.9647	-437.9295	-1	2.002208742	TRUE	-1	1.40E-06	0.0928856		
ENSDARG00000023933	Exp 4		null	null	3.82E-05	1.20E-06	9.04E-04	0.026	203.387	-398.774	-1	31.6617979	TRUE	1.24E-05	3738.3	0.525943		
ENSDARG00000092552	Poly 2		null	null	0.188746	0.101494	3.03643	5.07E-04	230.652181	-453.304362	-1	1.859676434	TRUE	3.36E-07	-7.19E-07	2.38E-07		
ENSDARG00000010384	Linear		null	null	1.2345	0.799884	2.6494	0.7817	228.906796	-451.813593	-1	1.543348786	TRUE	8.04E-07	-1.16E-07			
ENSDARG00000061636	Exp 4		null	null	2.17E-04	1.44E-06	0.0011226	0.1789	227.5757	-447.1514	-1	150.6757226	TRUE	1.58E-06	1087.43	0.529019		
ENSDARG00000022668	Linear		null	null	1.85628	1.06738	6.98132	0.1461	214.185393	-422.370787	-1	1.739099477	TRUE	1.64E-06	-2.06E-07			
ENSDARG00000074379	Linear		null	null	1.66636	0.993473	5.07057	9.00E-05	217.855197	-429.710395	1	1.677307788	TRUE	1.81E-06	1.79E-07			
ENSDARG00000034773	Exp 2		null	null	6.94132	2.08544	30000	0.001512	194.2582	-382.5163	1	3.328467853	TRUE	1	7.10E-06	0.0266066		
ENSDARG00000070050	Exp 4		null	null	9.05E-04	1.54E-06	0.00567233	0.5982	212.1642	-416.3284	-1	586.3736249	TRUE	4.32E-06	384.667	0.656034		
ENSDARG00000019715	Linear		null	null	5.49917	1.82366	90000	4.92E-04	202.269364	-398.538729	-1	3.015457925	TRUE	4.69E-06	-1.54E-07			
ENSDARG00000095065	Linear		null	null	1.72346	1.01634	5.5615	9.00E-05	223.820515	-441.641029	-1	1.695751422	TRUE	8.71E-07	-1.16E-07			
ENSDARG00000117231	Linear		null	null	1.09825	0.730288	2.16617	0.08427	223.960582	-441.921165	1	1.503858752	TRUE	7.69E-07	1.81E-07			
ENSDARG00000099025	Exp 2		null	null	1.64	1.09676	3.81128	0.01695	238.1239	-470.2477	1	1.495313469	TRUE	1	3.32E-07	0.127662		
ENSDARG00000015076	Hill		null	null	2.13E-05	2.13E-05	2.13E-05	0.0288	200.646208	-391.292415	-1	1.000004693	0	1.54E-05	-1.05E-05	1.301	1.27E-04	TRUE
ENSDARG00000099538	Exp 4		null	null	4.96E-05	3.19E-05	7.92E-04	0.2472	222.9383	-437.8766	1	1.554585194	TRUE	3.56E-07	2942.76	5.40635		
ENSDARG00000112056	Linear		null	null	4.78113	1.7331	90000	0.006084	212.530234	-419.060469	1	2.758715596	TRUE	1.04E-06	8.91E-08			
ENSDARG00000104727	Exp 2		null	null	1.00844	0.740943	1.59594	0.2467	223.505	-441.01	1	1.361022373	TRUE	1	1.10E-06	0.169289		
ENSDARG00000109373	Linear		null	null	2.53259	1.28753	70.5735	0.03469	214.273333	-422.546665	1	1.967014361	TRUE	1.44E-06	1.50E-07			
ENSDARG00000036833	Exp 4		null	null	4.93E-05	3.08E-05	6.25E-04	0.1972	182.6031	-357.2063	1	1.601939538	TRUE	8.27E-06	2957.88	3.79432		
ENSDARG00000092033	Exp 4		null	null	5.84E-05	3.68E-05	6.96E-04	0.2006	178.9452	-349.8904	1	1.587886913	TRUE	5.79E-06	2708.63	5.71608		
ENSDARG00000057029	Exp 2		null	null	2.72038	1.46932	30000	0.02026	227.3641	-448.7282	1	1.851455095	TRUE	1	7.73E-07	0.0685886		
ENSDARG00000010317	Poly 2		null	null	0.388687	0.141743	2.73252	0.4221	231.197687	-454.395375	-1	2.742195382	TRUE	8.69E-07	-3.89E-07	1.87E-07		
ENSDARG00000012609	Linear		null	null	1.22493	0.795138	2.61243	0.8688	167.290668	-328.581337	1	1.540525041	TRUE	1.09E-05	7.10E-06			
ENSDARG00000102898	Exp 2		null	null	5.13094	1.90626	30000	0.002346	212.0743	-418.1486	1	2.691626536	TRUE	1	2.18E-06	0.0357704		
ENSDARG00000058248	Exp 2		null	null	5.82625	1.98639	30000	0.00119	204.4171	-402.8343	1	2.933084641	TRUE	1	3.54E-06	0.0322276		
ENSDARG00000105420	Exp 4		null	null	4.77E-04	2.57E-05	0.00662972	0.2297	203.4672	-398.9343	1	18.5306105	TRUE	3.92E-06	895.303	1.5723		
ENSDARG00000101145	Exp 4		null	null	5.65E-04	2.49E-06	0.00245954	0.9943	210.057	-412.1139	-1	226.4381507	TRUE	5.00E-06	517.73	0.60386		
ENSDARG00000044685	Exp 2		null	null	0.642048	0.406931	1.25277	0.05909	192.3334	-378.6668	-1	1.577781	TRUE	-1	1.21E-05	0.226679		
ENSDARG00000031540	Exp 4		null	null	3.34E-05	9.24E-07	8.18E-04	0.8279	214.8182	-421.6365	-1	36.16745007	TRUE	5.77E-06	3452.64	0.417874		
ENSDARG00000077029	Exp 2		null	null	10.4086	2.27911	30000	0.004023	192.2165	-378.4329	1	4.566958155	TRUE	1	7.33E-06	0.0195125		
ENSDARG00000062335	Exp 2		null	null	5.61409	1.95843	30000	1.00E-04	204.6474	-403.2949	1	2.86662786	TRUE	1	3.74E-06	0.0313952		
ENSDARG00000091633	Linear		null	null	9.01169	2.10588	90000	2.16E-04	207.659149	-409.318298	-1	4.279298915	TRUE	1.87E-06	-6.54E-08			
ENSDARG00000042390	Poly 2		null	null	0.226658	0.112811	3.24491	2.44E-04	211.501421	-415.002842	-1	2.009183502	TRUE	2.62E-06	-2.17E-06	6.88E-07		
ENSDARG00000005595	Poly 2		null	null	0.226609	0.113204	1.86229	0.3132	213.117927	-418.235853	1	2.001775556	TRUE	2.82E-06	1.93E-06	-5.18E-07		
ENSDARG00000094104	Linear		null	null	1.32787	0.845066	3.03803	0.4116	213.054898	-420.109796	1	1.571321057	TRUE	1.41E-06	3.10E-07			
ENSDARG00000088117	Linear		null	null	7.10939	1.97827	90000	9.00E-05	212.111738	-418.223476	1	3.593740996	TRUE	1.97E-06	6.16E-08			
ENSDARG00000074638	Linear		null	null	4.69029	1.72038	90000	0.0155	202.511696	-399.023391	1	2.726310466	TRUE	4.09E-06	1.77E-07			
ENSDARG00000060766	Exp 4		null	null	2.50E-05	9.31E-07	5.52E-04	0.152	214.0151	-420.0303	-1	26.80756611	TRUE	5.80E-06	3996.18	0.299131		
ENSDARG00000038974	Exp 2		null	null	4.87138	1.86558	30000	0.002888	188.5605	-371.1211	1	2.611187942	TRUE	1	1.12E-05	0.0353637		
ENSDARG00000043646	Exp 2		null	null	3.45113	1.63283	30000	0.001142	187.8718	-369.7437	1	2.113588065	TRUE	1	1.17E-05	0.0500895		
ENSDARG00000086708	Linear		null	null	9.36608	2.12519	90000	0.00186	228.178916	-450.357831	1	4.407173006	TRUE	7.22E-07	1.60E-08			
ENSDARG00000074170	Poly 2		null	null	0.277471	0.124877	2.93037	0.003991	214.95153	-421.90306	1	2.221954403	TRUE	1.49E-06	1.45E-06	-5.00E-07		
ENSDARG00000075375	Exp 2		null	null	3.39512	1.65777	30000	0.01856	222.3796	-438.7592	1	2.048004247	TRUE	1	8.85E-07	0.0656303		
ENSDARG00000003181	Linear		null	null	4.42206	1.68092	90000	4.29E-04	205.007583	-404.015165	-1	2.630737929	TRUE	3.22E-06	-1.59E-07			
ENSDARG00000104973	Linear		null	null	1.56976	0.953422	4.35935	0.01387	226.886946	-447.773892	1	1.646448267	TRUE	5.80E-07	1.04E-07			
ENSDARG00000014717	Exp 4		null	null	3.99E-05	1.54E-06	0.00113516	0.2616	176.8461	-345.6922	-1	25.85097699	TRUE	6.54E-05	3555.9	0.468725		
ENSDARG00000076241	Linear		null	null	5.54228	1.82859	90000	9.00E-05	140.954944	-275.909888	-1	3.030903592	TRUE	3.12E-04	-9.08E-06			
ENSDARG00000091585	Linear		null	null	2.19789	1.18612	14.5813	0.006307	232.579564	-459.159129	1	1.853008127	TRUE	5.42E-07	5.09E-08			
ENSDARG00000079068	Exp 4		null	null	4.46E-05	1.52E-06	0.0011619	0.264	219.4645	-430.929	-1	29.39907743	TRUE	2.97E-06	3469.8	0.368912		
ENSDARG00000038968	Exp 2		null	null	1.28305	0.958492	2.04586	0.2777	231.9498	-457.8997	1	1.338613155	TRUE	1	2.89E-07	0.264182		
ENSDARG00000041952	Exp 2		null	null	1.99871	0.900786	14.5898	0.1024	207.0687	-408.1375	-1	2.218851092	TRUE	-1	2.56E-06	0.136959		
ENSDARG00000102490	Linear		null	null	7.33888	1.99625	90000	5.09E-04	168.512137	-331.024273	-1	3.676333125	TRUE	4.10E-05	-1.09E-06			
