sample,chemical,dose
Pool-ID-1_S1 A01 expression values.csv,BPA,1000
Pool-ID-1_S1 A02 expression values.csv,BPA,1000
Pool-ID-1_S1 A03 expression values.csv,BPA,1000
Pool-ID-1_S1 A04 expression values.csv,BPA,100
Pool-ID-1_S1 A05 expression values.csv,BPA,100
Pool-ID-1_S1 A06 expression values.csv,BPA,100
Pool-ID-1_S1 A07 expression values.csv,BPA,10
Pool-ID-1_S1 A08 expression values.csv,BPA,10
Pool-ID-1_S1 A09 expression values.csv,BPA,10
Pool-ID-1_S1 A10 expression values.csv,BPA,1
Pool-ID-1_S1 A11 expression values.csv,BPA,1
Pool-ID-1_S1 A12 expression values.csv,BPA,1
Pool-ID-1_S1 B01 expression values.csv,BPA,0.1
Pool-ID-1_S1 B02 expression values.csv,BPA,0.1
Pool-ID-1_S1 B03 expression values.csv,BPA,0.1
Pool-ID-1_S1 B04 expression values.csv,BPA,0
Pool-ID-1_S1 B05 expression values.csv,BPA,0
Pool-ID-1_S1 B06 expression values.csv,BPA,0
Pool-ID-2_S2 B07 expression values.csv,BPAF,1000
Pool-ID-2_S2 B08 expression values.csv,BPAF,1000
Pool-ID-2_S2 B09 expression values.csv,BPAF,1000
Pool-ID-2_S2 B10 expression values.csv,BPAF,100
Pool-ID-2_S2 B11 expression values.csv,BPAF,100
Pool-ID-2_S2 B12 expression values.csv,BPAF,100
Pool-ID-2_S2 C01 expression values.csv,BPAF,10
Pool-ID-2_S2 C02 expression values.csv,BPAF,10
Pool-ID-2_S2 C03 expression values.csv,BPAF,10
Pool-ID-2_S2 C04 expression values.csv,BPAF,1
Pool-ID-2_S2 C05 expression values.csv,BPAF,1
Pool-ID-2_S2 C06 expression values.csv,BPAF,1
Pool-ID-2_S2 C07 expression values.csv,BPAF,0.1
Pool-ID-2_S2 C08 expression values.csv,BPAF,0.1
Pool-ID-2_S2 C09 expression values.csv,BPAF,0.1
Pool-ID-2_S2 C10 expression values.csv,BPAF,0
Pool-ID-2_S2 C11 expression values.csv,BPAF,0
Pool-ID-2_S2 C12 expression values.csv,BPAF,0
Pool-ID-3_S3 D01 expression values.csv,DES,100
Pool-ID-3_S3 D02 expression values.csv,DES,100
Pool-ID-3_S3 D03 expression values.csv,DES,100
Pool-ID-3_S3 D04 expression values.csv,DES,10
Pool-ID-3_S3 D05 expression values.csv,DES,10
Pool-ID-3_S3 D06 expression values.csv,DES,10
Pool-ID-3_S3 D07 expression values.csv,DES,1
Pool-ID-3_S3 D08 expression values.csv,DES,1
Pool-ID-3_S3 D09 expression values.csv,DES,1
Pool-ID-3_S3 D10 expression values.csv,DES,0.1
Pool-ID-3_S3 D11 expression values.csv,DES,0.1
Pool-ID-3_S3 D12 expression values.csv,DES,0.1
Pool-ID-3_S3 E01 expression values.csv,DES,0.01
Pool-ID-3_S3 E02 expression values.csv,DES,0.01
Pool-ID-3_S3 E03 expression values.csv,DES,0.01
Pool-ID-3_S3 E04 expression values.csv,DES,0
Pool-ID-3_S3 E05 expression values.csv,DES,0
Pool-ID-3_S3 E06 expression values.csv,DES,0
Pool-ID-4_S4 E07 expression values.csv,EE2,1
Pool-ID-4_S4 E08 expression values.csv,EE2,1
Pool-ID-4_S4 E09 expression values.csv,EE2,1
Pool-ID-4_S4 E10 expression values.csv,EE2,0.1
Pool-ID-4_S4 E11 expression values.csv,EE2,0.1
Pool-ID-4_S4 E12 expression values.csv,EE2,0.1
Pool-ID-4_S4 F01 expression values.csv,EE2,0.01
Pool-ID-4_S4 F02 expression values.csv,EE2,0.01
Pool-ID-4_S4 F03 expression values.csv,EE2,0.01
Pool-ID-4_S4 F04 expression values.csv,EE2,0.001
Pool-ID-4_S4 F05 expression values.csv,EE2,0.001
Pool-ID-4_S4 F06 expression values.csv,EE2,0.001
Pool-ID-4_S4 F07 expression values.csv,EE2,0.0001
Pool-ID-4_S4 F08 expression values.csv,EE2,0.0001
Pool-ID-4_S4 F09 expression values.csv,EE2,0.0001
Pool-ID-4_S4 F10 expression values.csv,EE2,0
Pool-ID-4_S4 F11 expression values.csv,EE2,0
Pool-ID-4_S4 F12 expression values.csv,EE2,0
Pool-ID-5_S5 G01 expression values.csv,TGSH,1000
Pool-ID-5_S5 G02 expression values.csv,TGSH,1000
Pool-ID-5_S5 G03 expression values.csv,TGSH,1000
Pool-ID-5_S5 G04 expression values.csv,TGSH,100
Pool-ID-5_S5 G05 expression values.csv,TGSH,100
Pool-ID-5_S5 G06 expression values.csv,TGSH,100
Pool-ID-5_S5 G07 expression values.csv,TGSH,10
Pool-ID-5_S5 G08 expression values.csv,TGSH,10
Pool-ID-5_S5 G09 expression values.csv,TGSH,10
Pool-ID-5_S5 G10 expression values.csv,TGSH,1
Pool-ID-5_S5 G11 expression values.csv,TGSH,1
Pool-ID-5_S5 G12 expression values.csv,TGSH,1
Pool-ID-5_S5 H01 expression values.csv,TGSH,0.1
Pool-ID-5_S5 H02 expression values.csv,TGSH,0.1
Pool-ID-5_S5 H03 expression values.csv,TGSH,0.1
Pool-ID-5_S5 H04 expression values.csv,TGSH,0
Pool-ID-5_S5 H05 expression values.csv,TGSH,0
Pool-ID-5_S5 H06 expression values.csv,TGSH,0
