"chemical","sample","dose","row_sum","genecount","nCovN","nSig80"
"BPA","BPA_0ugL_A.csv","0",68307,6308,924,310
"BPA","BPA_0ugL_B.csv","0",12280,2797,358,689
"BPA","BPA_0ugL_C.csv","0",165874,8657,1904,274
"BPA","BPA_0.1ugL_A.csv","0.1",49668,5551,880,462
"BPA","BPA_0.1ugL_B.csv","0.1",191805,10877,2745,427
"BPA","BPA_0.1ugL_C.csv","0.1",155687,10039,2164,386
"BPA","BPA_1ugL_A.csv","1",29517,3721,535,338
"BPA","BPA_1ugL_B.csv","1",141428,9728,2125,439
"BPA","BPA_1ugL_C.csv","1",68355,5829,984,313
"BPA","BPA_10ugL_A.csv","10",9420,2049,244,396
"BPA","BPA_10ugL_B.csv","10",506577,16043,8171,1287
"BPA","BPA_10ugL_C.csv","10",75011,6098,1067,318
"BPA","BPA_100ugL_A.csv","100",242788,11932,3800,632
"BPA","BPA_100ugL_B.csv","100",97241,7821,1595,507
"BPA","BPA_100ugL_C.csv","100",272918,11649,3590,418
"BPA","BPA_1000ugL_A.csv","1000",258801,12013,3865,588
"BPA","BPA_1000ugL_B.csv","1000",464577,15162,6884,868
"BPA","BPA_1000ugL_C.csv","1000",259319,10871,2945,312
"BPAF","BPAF_0ugL_A.csv","0",558233,16042,8277,987
"BPAF","BPAF_0ugL_B.csv","0",925975,17526,10409,903
"BPAF","BPAF_0ugL_C.csv","0",975829,17873,10778,985
"BPAF","BPAF_0.1ugL_A.csv","0.1",904542,17604,10309,926
"BPAF","BPAF_0.1ugL_B.csv","0.1",616936,16112,8250,790
"BPAF","BPAF_0.1ugL_C.csv","0.1",1479243,18867,12325,875
"BPAF","BPAF_1ugL_A.csv","1",1599084,19416,13029,1111
"BPAF","BPAF_1ugL_B.csv","1",1372600,18675,12237,996
"BPAF","BPAF_1ugL_C.csv","1",745220,17026,9952,1176
"BPAF","BPAF_10ugL_A.csv","10",400331,15037,6859,1099
"BPAF","BPAF_10ugL_B.csv","10",661714,16643,9110,1038
"BPAF","BPAF_10ugL_C.csv","10",1078296,18036,11062,902
"BPAF","BPAF_100ugL_A.csv","100",225053,13289,4826,1363
"BPAF","BPAF_100ugL_B.csv","100",912465,18206,10978,1270
"BPAF","BPAF_100ugL_C.csv","100",869295,17544,10496,1100
"BPAF","BPAF_1000ugL_A.csv","1000",1056427,18674,11427,1140
"BPAF","BPAF_1000ugL_B.csv","1000",598141,16151,8538,972
"BPAF","BPAF_1000ugL_C.csv","1000",958279,18267,11208,1235
"DES","DES_0ugL_A.csv","0",172986,12052,3716,1217
"DES","DES_0ugL_B.csv","0",492791,16136,8248,1437
"DES","DES_0ugL_C.csv","0",245397,13022,4786,1116
"DES","DES_0.01ugL_A.csv","0.01",367623,14653,6589,1245
"DES","DES_0.01ugL_B.csv","0.01",227186,13366,4922,1409
"DES","DES_0.01ugL_C.csv","0.01",776675,17648,10543,1507
"DES","DES_0.1ugL_A.csv","0.1",589028,16647,9133,1495
"DES","DES_0.1ugL_B.csv","0.1",635451,16942,9070,1197
"DES","DES_0.1ugL_C.csv","0.1",396997,15214,7002,1262
"DES","DES_1ugL_A.csv","1",133376,10722,2939,1174
"DES","DES_1ugL_B.csv","1",359669,14573,6403,1256
"DES","DES_1ugL_C.csv","1",323592,14275,6092,1251
"DES","DES_10ugL_A.csv","10",209256,12496,4410,1287
"DES","DES_10ugL_B.csv","10",200899,12526,4324,1317
"DES","DES_10ugL_C.csv","10",302160,13881,5756,1253
"DES","DES_100ugL_A.csv","100",318271,14074,5833,1151
"DES","DES_100ugL_B.csv","100",304872,14113,5795,1235
"DES","DES_100ugL_C.csv","100",360177,14821,6731,1341
"EE2","EE2_0ugL_A.csv","0",990688,18041,11124,1146
"EE2","EE2_0ugL_B.csv","0",562983,16029,8337,1028
"EE2","EE2_0ugL_C.csv","0",602674,16343,8758,1068
"EE2","EE2_0.0001ugL_A.csv","0.0001",630648,16534,8949,1059
"EE2","EE2_0.0001ugL_B.csv","0.0001",864309,17611,10555,1177
"EE2","EE2_0.0001ugL_C.csv","0.0001",321745,14484,6041,1218
"EE2","EE2_0.001ugL_A.csv","0.001",469201,16006,7825,1179
"EE2","EE2_0.001ugL_B.csv","0.001",222148,13155,4593,1215
"EE2","EE2_0.001ugL_C.csv","0.001",617202,16497,8852,1092
"EE2","EE2_0.01ugL_A.csv","0.01",870717,18540,11180,1436
"EE2","EE2_0.01ugL_B.csv","0.01",431770,16044,7562,1281
"EE2","EE2_0.01ugL_C.csv","0.01",580193,16949,9056,1318
"EE2","EE2_0.1ugL_A.csv","0.1",263868,13687,5219,1240
"EE2","EE2_0.1ugL_B.csv","0.1",536954,15864,8025,1004
"EE2","EE2_0.1ugL_C.csv","0.1",240272,13241,4843,1194
"EE2","EE2_1ugL_A.csv","1",504330,15811,8046,1161
"EE2","EE2_1ugL_B.csv","1",252178,13517,5004,1162
"EE2","EE2_1ugL_C.csv","1",315200,14669,6140,1318
"TGSH","TGSH_0ugL_A.csv","0",267362,12512,3830,462
"TGSH","TGSH_0ugL_B.csv","0",889649,17279,9971,819
"TGSH","TGSH_0ugL_C.csv","0",305223,12606,4298,497
"TGSH","TGSH_0.1ugL_A.csv","0.1",2820990,20638,14757,819
"TGSH","TGSH_0.1ugL_B.csv","0.1",702731,16561,8680,731
"TGSH","TGSH_0.1ugL_C.csv","0.1",852830,17298,9997,862
"TGSH","TGSH_1ugL_A.csv","1",1233119,18504,11710,880
"TGSH","TGSH_1ugL_B.csv","1",1068203,18108,11132,944
"TGSH","TGSH_1ugL_C.csv","1",1260507,18303,11393,784
"TGSH","TGSH_10ugL_A.csv","10",1358537,18993,12312,1007
"TGSH","TGSH_10ugL_B.csv","10",579312,15677,7586,602
"TGSH","TGSH_10ugL_C.csv","10",746491,16842,9247,814
"TGSH","TGSH_100ugL_A.csv","100",380016,14686,6394,969
"TGSH","TGSH_100ugL_B.csv","100",606394,16846,9015,1195
"TGSH","TGSH_100ugL_C.csv","100",1263190,18531,11879,912
"TGSH","TGSH_1000ugL_A.csv","1000",407701,15398,7085,1193
