chemical	first_mode	10th_percentile	20th_gene
Analine	-0.216580912640386	-0.449726384808299	-0.349857676207566
Decanol	-1.3653185880281	-1.84470071208437	-2.55344419407818
EE2	-4.37880062182482	-4.58995282597421	-4.67246329673129
Fadrozole	-0.994738890329045	-1.14495816418846	-1.31438543427639
Fenitrothion	-1.28363306642985	-1.46560832617657	-1.50485684163754
Glyphosate	-1.14468114256424	-1.22732997036615	-0.896534955582437
Malathion	-1.27791380667174	-1.29033240058661	-1.36690742225909
Prochloraz	-1.21520048297592	-1.45798979540009	-2.0400975543162
Trenbolone	-2.34508744526835	-2.47120281139206	-2.36506147400673
