chemical	first_mode	10th_percentile	20th_gene
Analine	NA	0.348736994959797	NA
Decanol	-2.8377951790963	-2.79915825352318	-2.69707194822038
EE2	-4.56013993470374	-4.83511228012866	-4.58366243966206
Fadrozole	-1.54284474076926	-1.56688009435506	NA
Fenitrothion	-1.3670899418764	-1.51208257411134	-1.4762600346515
Glyphosate	NA	NA	NA
Malathion	-1.18165163241984	-1.30641716580599	-1.16545977050926
Prochloraz	-1.19388279942806	-2.04834338715649	-1.39160662834698
Trenbolone	-4.15826569691998	-2.49082894162868	-1.65545840185054
