plate_id,Cycle,Dose,diff,lwr.ci,upr.ci,pval,se,value
17betaestradiol,Light_1,Dose5,27.7533333333333,-198.437972343938,253.944639010605,0.9997245763528679,65.75638944685466,717.2444444444444
17betaestradiol,Light_1,Dose4,272.3,46.1086943227285,498.491305677272,0.17405973211181758,64.33154408111801,961.7911111111111
17betaestradiol,Light_1,Dose3,27.0533333333334,-199.137972343938,253.244639010605,0.9997245763528679,66.01242571702706,716.5444444444445
17betaestradiol,Light_1,Dose2,53.4543434343435,-174.018509641154,280.927196509841,0.9997245763528679,73.40425747445269,742.9454545454546
17betaestradiol,Light_1,Dose1,108.331111111111,-117.86019456616,334.522416788383,0.9997245763528679,53.79825584729489,797.8222222222222
17betaestradiol,Dark_1,Dose5,154.770858585859,-3.6485068065017,313.190223978219,0.3939680893195159,32.905497046809046,1467.5886363636364
17betaestradiol,Dark_1,Dose4,130.015555555555,-27.5112992677312,287.542410378842,0.5353222267518125,35.24739792674149,1442.8333333333333
17betaestradiol,Dark_1,Dose3,-150.873333333333,-308.40018815662,6.65352148995325,0.3939680893195159,46.619520508906554,1161.9444444444443
17betaestradiol,Dark_1,Dose2,65.4772222222223,-96.8977431047152,227.85218754916,0.9997245763528679,48.75363614973259,1378.295
17betaestradiol,Dark_1,Dose1,-68.5377777777778,-226.064632601065,88.9890770455089,0.9997245763528679,55.9430748370361,1244.28
17betaestradiol,Light_2,Dose5,79.9466666666667,-129.000880177939,288.894213511273,0.9997245763528679,58.7924253483299,945.1555555555556
17betaestradiol,Light_2,Dose4,-119.855555555555,-328.803102400161,89.0919912890504,0.9997245763528679,54.40046221208869,745.3533333333334
17betaestradiol,Light_2,Dose3,-174.602222222222,-383.549769066828,34.3453246223838,0.5353222267518125,57.49708647866737,690.6066666666667
17betaestradiol,Light_2,Dose2,-27.2679797979798,-237.399374908648,182.863415312689,0.9997245763528679,68.36088235183615,837.940909090909
17betaestradiol,Light_2,Dose1,-116.817777777778,-325.765324622384,92.1297690668281,0.9997245763528679,57.44764070392002,748.3911111111111
17betaestradiol,Dark_2,Dose5,29.9962626262627,-122.664059268686,182.656584521211,0.9997245763528679,38.2350935141142,1342.5318181818182
17betaestradiol,Dark_2,Dose4,35.4000000000001,-116.400256899536,187.200256899536,0.9997245763528679,35.12670099487553,1347.9355555555555
17betaestradiol,Dark_2,Dose3,-61.6799999999998,-213.480256899536,90.1202568995363,0.9997245763528679,45.087274017608834,1250.8555555555556
17betaestradiol,Dark_2,Dose2,-27.1471834625322,-180.702414929658,126.408048004593,0.9997245763528679,51.71757041667766,1285.3883720930232
17betaestradiol,Dark_2,Dose1,-132.684444444444,-284.484701343981,19.1158124550918,0.5353222267518125,45.174829813838976,1179.851111111111
17betaestradiol,Light_3,Dose5,39.4088888888889,-165.410587468079,244.228365245856,0.9997245763528679,54.68257352541588,764.3222222222222
17betaestradiol,Light_3,Dose4,-124.357777777778,-329.177254134745,80.4616985791897,0.9997245763528679,35.85954891010085,600.5555555555555
17betaestradiol,Light_3,Dose3,-281.077777777778,-485.897254134745,-76.2583014208103,0.0853420493588275,55.31016182919073,443.8355555555556
17betaestradiol,Light_3,Dose2,18.140325203252,-191.615268314486,227.89591872099,0.9997245763528679,79.8652872714164,743.0536585365853
17betaestradiol,Light_3,Dose1,-67,-271.819476356967,137.819476356967,0.9997245763528679,60.022096739198446,657.9133333333333
17betaestradiol,Dark_3,Dose5,155.88,19.9177734263471,291.842226573653,0.17926984085814612,42.19486143522216,1383.868888888889
17betaestradiol,Dark_3,Dose4,20.4066666666668,-115.555559906986,156.36889324032,0.9997245763528679,35.28408889065999,1248.3955555555556
17betaestradiol,Dark_3,Dose3,-11.2044444444443,-147.166671018097,124.757782129209,0.9997245763528679,35.95773388040037,1216.7844444444445
17betaestradiol,Dark_3,Dose2,27.6511111111113,-112.495544203222,167.797766425444,0.9997245763528679,39.894985675536745,1255.64
17betaestradiol,Dark_3,Dose1,-59.8288888888887,-195.791115462542,76.1333376847643,0.9997245763528679,39.112056757966386,1168.16
17betaestradiol,Light_1,Control,NA,NA,NA,1,55.31190163835202,689.4911111111111
