G2,Counts
ENSDARG00000000001,21
ENSDARG00000000002,20
ENSDARG00000000018,16
ENSDARG00000000019,87
ENSDARG00000000068,28
ENSDARG00000000069,166
ENSDARG00000000086,117
ENSDARG00000000103,217
ENSDARG00000000142,21
ENSDARG00000000151,53
ENSDARG00000000161,41
ENSDARG00000000175,15
ENSDARG00000000183,119
ENSDARG00000000189,163
ENSDARG00000000212,186
ENSDARG00000000229,0
ENSDARG00000000241,39
ENSDARG00000000349,0
ENSDARG00000000369,0
ENSDARG00000000370,192
ENSDARG00000000380,21
ENSDARG00000000394,72
ENSDARG00000000423,23
ENSDARG00000000442,0
ENSDARG00000000460,0
ENSDARG00000000472,73
ENSDARG00000000474,0
ENSDARG00000000476,18
ENSDARG00000000489,25
ENSDARG00000000503,520
ENSDARG00000000516,0
ENSDARG00000000529,22
ENSDARG00000000540,23
ENSDARG00000000542,25
ENSDARG00000000551,26
ENSDARG00000000563,25766
ENSDARG00000000567,73
ENSDARG00000000568,34
ENSDARG00000000588,4
ENSDARG00000000606,0
ENSDARG00000000631,75
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,40
ENSDARG00000000690,0
ENSDARG00000000729,50
ENSDARG00000000730,3
ENSDARG00000000747,8
ENSDARG00000000760,24
ENSDARG00000000767,1
ENSDARG00000000779,43
ENSDARG00000000796,0
ENSDARG00000000804,15
ENSDARG00000000830,13
ENSDARG00000000837,98
ENSDARG00000000853,6
ENSDARG00000000857,10
ENSDARG00000000861,286
ENSDARG00000000887,0
ENSDARG00000000906,0
ENSDARG00000000935,9
ENSDARG00000000943,0
ENSDARG00000000966,540
ENSDARG00000001014,210
ENSDARG00000001015,110
ENSDARG00000001057,53
ENSDARG00000001127,36
ENSDARG00000001129,115
ENSDARG00000001154,76
ENSDARG00000001162,56
ENSDARG00000001169,0
ENSDARG00000001210,11
ENSDARG00000001220,189
ENSDARG00000001234,46
ENSDARG00000001241,97
ENSDARG00000001244,277
ENSDARG00000001249,4
ENSDARG00000001259,9
ENSDARG00000001303,0
ENSDARG00000001313,2
ENSDARG00000001354,3
ENSDARG00000001414,6
ENSDARG00000001431,689
ENSDARG00000001437,77
ENSDARG00000001442,0
ENSDARG00000001447,16
ENSDARG00000001452,3
ENSDARG00000001463,41
ENSDARG00000001470,28
ENSDARG00000001498,0
ENSDARG00000001549,44
ENSDARG00000001557,38
ENSDARG00000001558,13
ENSDARG00000001559,81
ENSDARG00000001572,0
ENSDARG00000001578,12
ENSDARG00000001621,9
ENSDARG00000001634,68
ENSDARG00000001656,0
ENSDARG00000001676,60
ENSDARG00000001686,8
ENSDARG00000001710,50
ENSDARG00000001712,5
ENSDARG00000001721,0
ENSDARG00000001729,125
ENSDARG00000001733,3
ENSDARG00000001734,10
ENSDARG00000001754,27
ENSDARG00000001760,46
ENSDARG00000001767,0
ENSDARG00000001769,55
ENSDARG00000001771,0
