G12,Counts
ENSDARG00000002467,0
ENSDARG00000002479,0
ENSDARG00000002483,0
ENSDARG00000002487,4
ENSDARG00000002494,0
ENSDARG00000002506,0
ENSDARG00000002507,3
ENSDARG00000002508,6
ENSDARG00000002509,0
ENSDARG00000002510,0
ENSDARG00000002523,0
ENSDARG00000002533,0
ENSDARG00000002536,4
ENSDARG00000002538,0
ENSDARG00000002546,2
ENSDARG00000002549,4
ENSDARG00000002552,8
ENSDARG00000002564,14
ENSDARG00000002571,6
ENSDARG00000002576,4
ENSDARG00000002582,5
ENSDARG00000002587,58
ENSDARG00000002589,46
ENSDARG00000002591,28
ENSDARG00000002593,0
ENSDARG00000002597,0
ENSDARG00000002600,19
ENSDARG00000002601,0
ENSDARG00000002607,9
ENSDARG00000002609,0
ENSDARG00000002613,0
ENSDARG00000002632,0
ENSDARG00000002634,0
ENSDARG00000002635,53
ENSDARG00000002642,1
ENSDARG00000002644,4
ENSDARG00000002656,87
ENSDARG00000002659,13
ENSDARG00000002663,0
ENSDARG00000002666,0
ENSDARG00000002670,2
ENSDARG00000002682,7
ENSDARG00000002685,0
ENSDARG00000002690,0
ENSDARG00000002696,140
ENSDARG00000002701,0
ENSDARG00000002707,0
ENSDARG00000002710,153
ENSDARG00000002720,6
ENSDARG00000002722,0
ENSDARG00000002728,0
ENSDARG00000002731,13
ENSDARG00000002732,0
ENSDARG00000002745,10
ENSDARG00000002748,5
ENSDARG00000002750,3
ENSDARG00000002754,0
ENSDARG00000002758,178
ENSDARG00000002760,0
ENSDARG00000002764,0
ENSDARG00000002768,70
ENSDARG00000002771,13
ENSDARG00000002779,0
ENSDARG00000002787,28
ENSDARG00000002790,36
ENSDARG00000002791,172
ENSDARG00000002792,13
ENSDARG00000002795,0
ENSDARG00000002797,0
ENSDARG00000002798,0
ENSDARG00000002816,0
ENSDARG00000002826,0
ENSDARG00000002830,0
ENSDARG00000002831,6
ENSDARG00000002840,20
ENSDARG00000002847,0
ENSDARG00000002872,0
ENSDARG00000002877,20
ENSDARG00000002880,7
ENSDARG00000002894,0
ENSDARG00000002897,1
ENSDARG00000002909,0
ENSDARG00000002912,0
ENSDARG00000002916,13
ENSDARG00000002917,0
ENSDARG00000002933,9
ENSDARG00000002937,2
ENSDARG00000002945,13
ENSDARG00000002947,0
ENSDARG00000002949,12
ENSDARG00000002952,13
ENSDARG00000002956,1
ENSDARG00000002959,1
ENSDARG00000002967,8
ENSDARG00000002968,0
ENSDARG00000002970,5
ENSDARG00000002971,2
ENSDARG00000002986,4
ENSDARG00000002988,4
ENSDARG00000002991,2
ENSDARG00000002994,9
ENSDARG00000003008,10
ENSDARG00000003017,18
ENSDARG00000003020,7
ENSDARG00000003021,1
ENSDARG00000003022,0
ENSDARG00000003027,0
ENSDARG00000003032,227
ENSDARG00000003035,93
ENSDARG00000003041,3
ENSDARG00000003046,11
ENSDARG00000003054,7
ENSDARG00000003058,2
ENSDARG00000003061,0
ENSDARG00000003068,8
ENSDARG00000003069,4
ENSDARG00000003077,0
ENSDARG00000003081,326
ENSDARG00000003084,0
ENSDARG00000003085,6
ENSDARG00000003087,23
ENSDARG00000003090,0
ENSDARG00000003091,0
ENSDARG00000003098,11
ENSDARG00000003109,1
ENSDARG00000003113,4
ENSDARG00000003127,12
ENSDARG00000003132,3
ENSDARG00000003142,7
ENSDARG00000003144,1
ENSDARG00000003146,0
ENSDARG00000003151,22
ENSDARG00000003153,0
ENSDARG00000003157,10
ENSDARG00000003165,29
ENSDARG00000003167,10
ENSDARG00000003169,121
ENSDARG00000003175,1
ENSDARG00000003181,0
ENSDARG00000003189,32
ENSDARG00000003193,0
ENSDARG00000003197,0
ENSDARG00000003200,1
ENSDARG00000003203,2
ENSDARG00000003205,0
ENSDARG00000003206,0
ENSDARG00000003207,17
ENSDARG00000003208,3
ENSDARG00000003210,20
ENSDARG00000003213,35
ENSDARG00000003216,11
ENSDARG00000003217,0
ENSDARG00000003219,4
ENSDARG00000003229,0
ENSDARG00000003235,0
ENSDARG00000003244,1
ENSDARG00000003250,0
ENSDARG00000003251,10
ENSDARG00000003257,0
ENSDARG00000003259,0
ENSDARG00000003269,61
ENSDARG00000003270,8
ENSDARG00000003281,12
ENSDARG00000003287,2
ENSDARG00000003290,10
ENSDARG00000003293,3
ENSDARG00000003303,0
ENSDARG00000003307,1
ENSDARG00000003308,12
ENSDARG00000003311,23
ENSDARG00000003313,0
ENSDARG00000003320,26
ENSDARG00000003326,0
ENSDARG00000003328,2
ENSDARG00000003344,0
ENSDARG00000003373,0
ENSDARG00000003375,0
ENSDARG00000003380,0
ENSDARG00000003381,10
ENSDARG00000003382,12
ENSDARG00000003383,7
ENSDARG00000003395,5
ENSDARG00000003398,0
ENSDARG00000003399,0
ENSDARG00000003403,53
ENSDARG00000003411,5
ENSDARG00000003414,0
ENSDARG00000003420,0
ENSDARG00000003421,11
ENSDARG00000003429,8
ENSDARG00000003444,0
ENSDARG00000003446,0
ENSDARG00000003449,46
ENSDARG00000003462,4
ENSDARG00000003469,2
ENSDARG00000003475,0
ENSDARG00000003486,24
ENSDARG00000003487,2
ENSDARG00000003495,1236
ENSDARG00000003512,21
ENSDARG00000003517,0
ENSDARG00000003519,4
ENSDARG00000003520,5
ENSDARG00000003523,0
ENSDARG00000003526,0
ENSDARG00000003527,0
ENSDARG00000003531,11
ENSDARG00000003533,0
ENSDARG00000003544,8
ENSDARG00000003553,0
ENSDARG00000003564,0
ENSDARG00000003570,0
ENSDARG00000003573,6
ENSDARG00000003576,0
ENSDARG00000003584,1
ENSDARG00000003592,0
ENSDARG00000003599,309
ENSDARG00000003607,0
ENSDARG00000003615,0
ENSDARG00000003616,7
ENSDARG00000003631,14
ENSDARG00000003632,0
ENSDARG00000003635,3
ENSDARG00000003641,0
ENSDARG00000003642,8
ENSDARG00000003655,86
ENSDARG00000003675,0
ENSDARG00000003680,45
ENSDARG00000003681,64
ENSDARG00000003684,0
ENSDARG00000003693,1
ENSDARG00000003695,41
ENSDARG00000003697,0
ENSDARG00000003699,17
ENSDARG00000003701,0
ENSDARG00000003705,17
ENSDARG00000003706,16
ENSDARG00000003732,9
ENSDARG00000003749,1
ENSDARG00000003750,0
ENSDARG00000003751,9
ENSDARG00000003754,17
ENSDARG00000003757,6
ENSDARG00000003769,14
ENSDARG00000003776,22
ENSDARG00000003779,26
ENSDARG00000003789,42
ENSDARG00000003795,62
ENSDARG00000003797,0
ENSDARG00000003803,0
ENSDARG00000003808,10
ENSDARG00000003811,19
ENSDARG00000003818,8
ENSDARG00000003820,98
ENSDARG00000003822,0
ENSDARG00000003827,0
ENSDARG00000003829,14
ENSDARG00000003835,42
ENSDARG00000003841,0
ENSDARG00000003845,5
ENSDARG00000003846,0
ENSDARG00000003854,9
