E9,Counts
ENSDARG00000000001,2
ENSDARG00000000002,140
ENSDARG00000000018,77
ENSDARG00000000019,252
ENSDARG00000000068,30
ENSDARG00000000069,539
ENSDARG00000000086,445
ENSDARG00000000103,827
ENSDARG00000000142,4
ENSDARG00000000151,84
ENSDARG00000000161,106
ENSDARG00000000175,39
ENSDARG00000000183,249
ENSDARG00000000189,411
ENSDARG00000000212,983
ENSDARG00000000229,54
ENSDARG00000000241,154
ENSDARG00000000349,2
ENSDARG00000000369,18
ENSDARG00000000370,481
ENSDARG00000000380,91
ENSDARG00000000394,245
ENSDARG00000000423,39
ENSDARG00000000442,3
ENSDARG00000000460,0
ENSDARG00000000472,54
ENSDARG00000000474,0
ENSDARG00000000476,12
ENSDARG00000000489,95
ENSDARG00000000503,1546
ENSDARG00000000516,0
ENSDARG00000000529,30
ENSDARG00000000540,81
ENSDARG00000000542,5
ENSDARG00000000551,79
ENSDARG00000000563,98691
ENSDARG00000000567,129
ENSDARG00000000568,69
ENSDARG00000000588,14
ENSDARG00000000606,34
ENSDARG00000000631,131
ENSDARG00000000638,0
ENSDARG00000000651,14
ENSDARG00000000656,0
ENSDARG00000000666,91
ENSDARG00000000690,12
ENSDARG00000000729,137
ENSDARG00000000730,66
ENSDARG00000000747,29
ENSDARG00000000760,28
ENSDARG00000000767,13
ENSDARG00000000779,146
ENSDARG00000000796,58
ENSDARG00000000804,20
ENSDARG00000000830,5
ENSDARG00000000837,208
ENSDARG00000000853,145
ENSDARG00000000857,37
ENSDARG00000000861,1445
ENSDARG00000000887,8
ENSDARG00000000906,17
ENSDARG00000000935,73
ENSDARG00000000943,111
ENSDARG00000000966,1048
ENSDARG00000001014,1043
ENSDARG00000001015,233
ENSDARG00000001057,140
ENSDARG00000001127,145
ENSDARG00000001129,448
ENSDARG00000001154,147
ENSDARG00000001162,168
ENSDARG00000001169,1
ENSDARG00000001210,12
ENSDARG00000001220,731
ENSDARG00000001234,98
ENSDARG00000001241,172
ENSDARG00000001244,476
ENSDARG00000001249,27
ENSDARG00000001259,14
ENSDARG00000001303,0
ENSDARG00000001313,15
ENSDARG00000001354,8
ENSDARG00000001414,28
ENSDARG00000001431,2579
ENSDARG00000001437,71
ENSDARG00000001442,32
ENSDARG00000001447,46
ENSDARG00000001452,29
ENSDARG00000001463,121
ENSDARG00000001470,85
ENSDARG00000001498,3
ENSDARG00000001549,100
ENSDARG00000001557,14
ENSDARG00000001558,65
ENSDARG00000001559,457
ENSDARG00000001572,0
ENSDARG00000001578,62
ENSDARG00000001621,4
ENSDARG00000001634,302
ENSDARG00000001656,0
ENSDARG00000001676,207
ENSDARG00000001686,10
ENSDARG00000001710,308
ENSDARG00000001712,14
ENSDARG00000001721,6
ENSDARG00000001729,336
ENSDARG00000001733,74
ENSDARG00000001734,42
ENSDARG00000001754,95
ENSDARG00000001760,134
ENSDARG00000001767,21
ENSDARG00000001769,95
ENSDARG00000001771,0
ENSDARG00000001776,24
ENSDARG00000001777,185
ENSDARG00000001781,3
ENSDARG00000001782,1
ENSDARG00000001785,43
ENSDARG00000001788,366
ENSDARG00000001803,27
ENSDARG00000001804,1
ENSDARG00000001807,73
ENSDARG00000001817,35
ENSDARG00000001818,373
ENSDARG00000001825,16
ENSDARG00000001829,492
ENSDARG00000001835,137
ENSDARG00000001857,623
ENSDARG00000001859,26
ENSDARG00000001870,3350
ENSDARG00000001873,34
ENSDARG00000001879,152
ENSDARG00000001880,56
ENSDARG00000001881,19
ENSDARG00000001882,100
ENSDARG00000001888,118
ENSDARG00000001889,335
ENSDARG00000001890,279
ENSDARG00000001891,18
ENSDARG00000001897,93
ENSDARG00000001898,16
ENSDARG00000001906,0
ENSDARG00000001909,6
ENSDARG00000001910,299
ENSDARG00000001912,14
ENSDARG00000001913,49
ENSDARG00000001929,30
ENSDARG00000001930,16
ENSDARG00000001933,16
ENSDARG00000001937,28
ENSDARG00000001939,26
ENSDARG00000001940,49
ENSDARG00000001950,1922
ENSDARG00000001953,72
ENSDARG00000001968,288
ENSDARG00000001969,64
ENSDARG00000001971,14
ENSDARG00000001975,41
ENSDARG00000001976,63
ENSDARG00000001993,330
ENSDARG00000001994,1053
ENSDARG00000001999,63
ENSDARG00000002002,24
ENSDARG00000002006,32
ENSDARG00000002013,99
ENSDARG00000002016,22
ENSDARG00000002020,78
ENSDARG00000002021,77
ENSDARG00000002026,127
ENSDARG00000002031,0
ENSDARG00000002037,28
ENSDARG00000002060,13
ENSDARG00000002071,223
ENSDARG00000002077,26
ENSDARG00000002082,196
ENSDARG00000002084,386
ENSDARG00000002097,14
ENSDARG00000002127,149
ENSDARG00000002128,37
ENSDARG00000002131,415
ENSDARG00000002165,7
ENSDARG00000002167,196
ENSDARG00000002168,14
ENSDARG00000002172,54
ENSDARG00000002174,28
ENSDARG00000002184,62
ENSDARG00000002190,158
ENSDARG00000002192,66
ENSDARG00000002193,2482
ENSDARG00000002194,0
ENSDARG00000002196,89
ENSDARG00000002197,187
ENSDARG00000002204,40
ENSDARG00000002210,50
ENSDARG00000002213,54
ENSDARG00000002215,48
ENSDARG00000002216,44
ENSDARG00000002217,325
ENSDARG00000002219,15
ENSDARG00000002220,28
ENSDARG00000002230,212
ENSDARG00000002231,65
ENSDARG00000002235,231
ENSDARG00000002240,87
ENSDARG00000002241,5
ENSDARG00000002249,56
ENSDARG00000002255,93
ENSDARG00000002259,0
ENSDARG00000002264,58
ENSDARG00000002267,44
ENSDARG00000002271,299
ENSDARG00000002285,94
