G7,Counts
ENSDARG00000002467,32
ENSDARG00000002479,17
ENSDARG00000002483,0
ENSDARG00000002487,32
ENSDARG00000002494,24
ENSDARG00000002506,10
ENSDARG00000002507,0
ENSDARG00000002508,22
ENSDARG00000002509,0
ENSDARG00000002510,0
ENSDARG00000002523,39
ENSDARG00000002533,9
ENSDARG00000002536,62
ENSDARG00000002538,33
ENSDARG00000002546,2
ENSDARG00000002549,2
ENSDARG00000002552,55
ENSDARG00000002564,65
ENSDARG00000002571,50
ENSDARG00000002576,2
ENSDARG00000002582,35
ENSDARG00000002587,135
ENSDARG00000002589,225
ENSDARG00000002591,51
ENSDARG00000002593,4
ENSDARG00000002597,0
ENSDARG00000002600,86
ENSDARG00000002601,0
ENSDARG00000002607,8
ENSDARG00000002609,2
ENSDARG00000002613,0
ENSDARG00000002632,28
ENSDARG00000002634,2
ENSDARG00000002635,78
ENSDARG00000002642,0
ENSDARG00000002644,50
ENSDARG00000002656,121
ENSDARG00000002659,59
ENSDARG00000002663,29
ENSDARG00000002666,0
ENSDARG00000002670,37
ENSDARG00000002682,56
ENSDARG00000002685,0
ENSDARG00000002690,9
ENSDARG00000002696,274
ENSDARG00000002701,4
ENSDARG00000002707,0
ENSDARG00000002710,300
ENSDARG00000002720,10
ENSDARG00000002722,0
ENSDARG00000002728,0
ENSDARG00000002731,108
ENSDARG00000002732,0
ENSDARG00000002745,192
ENSDARG00000002748,63
ENSDARG00000002750,29
ENSDARG00000002754,0
ENSDARG00000002758,778
ENSDARG00000002760,5
ENSDARG00000002764,8
ENSDARG00000002768,1512
ENSDARG00000002771,7
ENSDARG00000002779,0
ENSDARG00000002787,155
ENSDARG00000002790,183
ENSDARG00000002791,719
ENSDARG00000002792,45
ENSDARG00000002795,2
ENSDARG00000002797,0
ENSDARG00000002798,0
ENSDARG00000002816,63
ENSDARG00000002826,23
ENSDARG00000002830,0
ENSDARG00000002831,0
ENSDARG00000002840,113
ENSDARG00000002847,25
ENSDARG00000002872,3
ENSDARG00000002877,77
ENSDARG00000002880,85
ENSDARG00000002894,1
ENSDARG00000002897,8
ENSDARG00000002909,51
ENSDARG00000002912,4
ENSDARG00000002916,57
ENSDARG00000002917,0
ENSDARG00000002933,37
ENSDARG00000002937,59
ENSDARG00000002945,12
ENSDARG00000002947,7
ENSDARG00000002949,96
ENSDARG00000002952,35
ENSDARG00000002956,0
ENSDARG00000002959,0
ENSDARG00000002967,36
ENSDARG00000002968,101
ENSDARG00000002970,21
ENSDARG00000002971,17
ENSDARG00000002986,4
ENSDARG00000002988,134
ENSDARG00000002991,6
ENSDARG00000002994,30
ENSDARG00000003008,89
ENSDARG00000003017,16
ENSDARG00000003020,13
ENSDARG00000003021,21
ENSDARG00000003022,0
ENSDARG00000003027,0
ENSDARG00000003032,447
ENSDARG00000003035,88
ENSDARG00000003041,0
ENSDARG00000003046,13
ENSDARG00000003054,0
ENSDARG00000003058,1
ENSDARG00000003061,0
ENSDARG00000003068,48
ENSDARG00000003069,14
ENSDARG00000003077,0
ENSDARG00000003081,3268
ENSDARG00000003084,1
ENSDARG00000003085,33
ENSDARG00000003087,81
ENSDARG00000003090,0
ENSDARG00000003091,16
ENSDARG00000003098,140
ENSDARG00000003109,35
ENSDARG00000003113,79
ENSDARG00000003127,60
ENSDARG00000003132,18
ENSDARG00000003142,54
ENSDARG00000003144,3
ENSDARG00000003146,9
ENSDARG00000003151,193
ENSDARG00000003153,0
ENSDARG00000003157,48
ENSDARG00000003165,31
ENSDARG00000003167,7
ENSDARG00000003169,239
ENSDARG00000003175,12
ENSDARG00000003181,3
ENSDARG00000003189,101
ENSDARG00000003193,8
ENSDARG00000003197,0
ENSDARG00000003200,0
ENSDARG00000003203,126
ENSDARG00000003205,5
ENSDARG00000003206,13
ENSDARG00000003207,7
ENSDARG00000003208,1
ENSDARG00000003210,46
ENSDARG00000003213,51
ENSDARG00000003216,54
ENSDARG00000003217,35
ENSDARG00000003219,10
ENSDARG00000003229,0
ENSDARG00000003235,0
ENSDARG00000003244,0
ENSDARG00000003250,18
ENSDARG00000003251,15
ENSDARG00000003257,2
ENSDARG00000003259,0
ENSDARG00000003269,94
ENSDARG00000003270,21
ENSDARG00000003281,96
ENSDARG00000003287,8
ENSDARG00000003290,48
ENSDARG00000003293,92
ENSDARG00000003303,0
ENSDARG00000003307,32
ENSDARG00000003308,9
ENSDARG00000003311,53
ENSDARG00000003313,10
ENSDARG00000003320,84
ENSDARG00000003326,3
ENSDARG00000003328,71
ENSDARG00000003344,0
ENSDARG00000003373,9
ENSDARG00000003375,6
ENSDARG00000003380,0
ENSDARG00000003381,40
ENSDARG00000003382,18
ENSDARG00000003383,8
