H4,Counts
ENSDARG00000000001,5
ENSDARG00000000002,11
ENSDARG00000000018,43
ENSDARG00000000019,149
ENSDARG00000000068,8
ENSDARG00000000069,36
ENSDARG00000000086,196
ENSDARG00000000103,237
ENSDARG00000000142,0
ENSDARG00000000151,29
ENSDARG00000000161,49
ENSDARG00000000175,6
ENSDARG00000000183,79
ENSDARG00000000189,102
ENSDARG00000000212,127
ENSDARG00000000229,53
ENSDARG00000000241,68
ENSDARG00000000349,10
ENSDARG00000000369,3
ENSDARG00000000370,203
ENSDARG00000000380,125
ENSDARG00000000394,150
ENSDARG00000000423,14
ENSDARG00000000442,5
ENSDARG00000000460,0
ENSDARG00000000472,34
ENSDARG00000000474,0
ENSDARG00000000476,6
ENSDARG00000000489,23
ENSDARG00000000503,454
ENSDARG00000000516,0
ENSDARG00000000529,33
ENSDARG00000000540,39
ENSDARG00000000542,6
ENSDARG00000000551,21
ENSDARG00000000563,20242
ENSDARG00000000567,43
ENSDARG00000000568,19
ENSDARG00000000588,7
ENSDARG00000000606,6
ENSDARG00000000631,41
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,8
ENSDARG00000000690,0
ENSDARG00000000729,15
ENSDARG00000000730,4
ENSDARG00000000747,0
ENSDARG00000000760,9
ENSDARG00000000767,4
ENSDARG00000000779,66
ENSDARG00000000796,41
ENSDARG00000000804,0
ENSDARG00000000830,16
ENSDARG00000000837,24
ENSDARG00000000853,46
ENSDARG00000000857,10
ENSDARG00000000861,575
ENSDARG00000000887,0
ENSDARG00000000906,1
ENSDARG00000000935,16
ENSDARG00000000943,0
ENSDARG00000000966,434
ENSDARG00000001014,199
ENSDARG00000001015,51
ENSDARG00000001057,8
ENSDARG00000001127,87
ENSDARG00000001129,167
ENSDARG00000001154,124
ENSDARG00000001162,117
ENSDARG00000001169,0
ENSDARG00000001210,0
ENSDARG00000001220,473
ENSDARG00000001234,66
ENSDARG00000001241,113
ENSDARG00000001244,497
ENSDARG00000001249,5
ENSDARG00000001259,0
ENSDARG00000001303,0
ENSDARG00000001313,9
ENSDARG00000001354,0
ENSDARG00000001414,6
ENSDARG00000001431,458
ENSDARG00000001437,39
ENSDARG00000001442,3
ENSDARG00000001447,23
ENSDARG00000001452,4
ENSDARG00000001463,60
ENSDARG00000001470,8
ENSDARG00000001498,0
ENSDARG00000001549,50
ENSDARG00000001557,26
ENSDARG00000001558,29
ENSDARG00000001559,195
ENSDARG00000001572,0
ENSDARG00000001578,25
ENSDARG00000001621,29
ENSDARG00000001634,72
ENSDARG00000001656,0
ENSDARG00000001676,115
ENSDARG00000001686,6
ENSDARG00000001710,56
ENSDARG00000001712,1
ENSDARG00000001721,0
ENSDARG00000001729,112
ENSDARG00000001733,21
ENSDARG00000001734,21
ENSDARG00000001754,38
ENSDARG00000001760,31
ENSDARG00000001767,2
ENSDARG00000001769,78
ENSDARG00000001771,0
ENSDARG00000001776,1
ENSDARG00000001777,52
ENSDARG00000001781,0
ENSDARG00000001782,0
ENSDARG00000001785,40
ENSDARG00000001788,29
ENSDARG00000001803,21
ENSDARG00000001804,0
ENSDARG00000001807,33
ENSDARG00000001817,12
ENSDARG00000001818,56
ENSDARG00000001825,0
ENSDARG00000001829,253
ENSDARG00000001835,273
ENSDARG00000001857,84
ENSDARG00000001859,2
ENSDARG00000001870,367
ENSDARG00000001873,45
ENSDARG00000001879,14
ENSDARG00000001880,48
ENSDARG00000001881,7
ENSDARG00000001882,11
ENSDARG00000001888,69
ENSDARG00000001889,111
ENSDARG00000001890,95
ENSDARG00000001891,3
ENSDARG00000001897,50
ENSDARG00000001898,12
ENSDARG00000001906,0
ENSDARG00000001909,1
ENSDARG00000001910,93
ENSDARG00000001912,3
ENSDARG00000001913,54
ENSDARG00000001929,12
ENSDARG00000001930,36
ENSDARG00000001933,0
ENSDARG00000001937,0
ENSDARG00000001939,18
ENSDARG00000001940,25
ENSDARG00000001950,290
ENSDARG00000001953,30
ENSDARG00000001968,21
ENSDARG00000001969,11
ENSDARG00000001971,0
ENSDARG00000001975,14
ENSDARG00000001976,31
ENSDARG00000001993,15
ENSDARG00000001994,314
ENSDARG00000001999,41
ENSDARG00000002002,9
ENSDARG00000002006,7
ENSDARG00000002013,64
ENSDARG00000002016,5
ENSDARG00000002020,70
ENSDARG00000002021,31
ENSDARG00000002026,49
ENSDARG00000002031,0
ENSDARG00000002037,37
ENSDARG00000002060,0
ENSDARG00000002071,21
ENSDARG00000002077,4
ENSDARG00000002082,155
ENSDARG00000002084,28
ENSDARG00000002097,11
ENSDARG00000002127,81
ENSDARG00000002128,9
ENSDARG00000002131,217
ENSDARG00000002165,0
ENSDARG00000002167,51
ENSDARG00000002168,21
ENSDARG00000002172,7
ENSDARG00000002174,6
ENSDARG00000002184,7
ENSDARG00000002190,19
ENSDARG00000002192,0
ENSDARG00000002193,1574
ENSDARG00000002194,0
ENSDARG00000002196,16
ENSDARG00000002197,37
ENSDARG00000002204,9
ENSDARG00000002210,40
ENSDARG00000002213,33
ENSDARG00000002215,0
ENSDARG00000002216,26
ENSDARG00000002217,103
ENSDARG00000002219,0
ENSDARG00000002220,0
ENSDARG00000002230,58
ENSDARG00000002231,0
ENSDARG00000002235,15
ENSDARG00000002240,21
ENSDARG00000002241,21
ENSDARG00000002249,28
ENSDARG00000002255,116
ENSDARG00000002259,0
ENSDARG00000002264,23
ENSDARG00000002267,23
ENSDARG00000002271,94
ENSDARG00000002285,40
ENSDARG00000002293,0
ENSDARG00000002295,2
ENSDARG00000002298,3
ENSDARG00000002299,1
ENSDARG00000002300,0
ENSDARG00000002304,0
ENSDARG00000002305,103
ENSDARG00000002311,0
ENSDARG00000002330,0
ENSDARG00000002332,71
ENSDARG00000002333,44
ENSDARG00000002336,118
ENSDARG00000002339,0
ENSDARG00000002344,200
ENSDARG00000002347,0
ENSDARG00000002353,2
ENSDARG00000002355,2
ENSDARG00000002362,37
ENSDARG00000002365,4
ENSDARG00000002369,42
ENSDARG00000002377,31
ENSDARG00000002385,34
ENSDARG00000002391,0
ENSDARG00000002394,0
ENSDARG00000002396,27
ENSDARG00000002401,0
ENSDARG00000002402,19
ENSDARG00000002403,23
ENSDARG00000002405,15
ENSDARG00000002406,0
ENSDARG00000002411,14
ENSDARG00000002445,27
ENSDARG00000002463,0
ENSDARG00000002467,24
ENSDARG00000002479,13
ENSDARG00000002483,0
ENSDARG00000002487,43
ENSDARG00000002494,25
ENSDARG00000002506,0
ENSDARG00000002507,18
ENSDARG00000002508,51
ENSDARG00000002509,6
ENSDARG00000002510,1
ENSDARG00000002523,12
ENSDARG00000002533,9
ENSDARG00000002536,72
ENSDARG00000002538,23
ENSDARG00000002546,8
ENSDARG00000002549,9
ENSDARG00000002552,80
ENSDARG00000002564,108
ENSDARG00000002571,31
ENSDARG00000002576,18
ENSDARG00000002582,7
ENSDARG00000002587,248
ENSDARG00000002589,122
ENSDARG00000002591,26
ENSDARG00000002593,0
ENSDARG00000002597,0
ENSDARG00000002600,59
ENSDARG00000002601,0
ENSDARG00000002607,5
ENSDARG00000002609,39
ENSDARG00000002613,0
ENSDARG00000002632,10
ENSDARG00000002634,1
ENSDARG00000002635,139
ENSDARG00000002642,0
ENSDARG00000002644,19
ENSDARG00000002656,138
ENSDARG00000002659,106
ENSDARG00000002663,14
ENSDARG00000002666,0
ENSDARG00000002670,24
ENSDARG00000002682,185
ENSDARG00000002685,0
ENSDARG00000002690,22
ENSDARG00000002696,626
ENSDARG00000002701,2
ENSDARG00000002707,0
ENSDARG00000002710,360
ENSDARG00000002720,10
ENSDARG00000002722,0
ENSDARG00000002728,5
ENSDARG00000002731,72
ENSDARG00000002732,7
ENSDARG00000002745,81
ENSDARG00000002748,28
ENSDARG00000002750,22
ENSDARG00000002754,0
ENSDARG00000002758,812
ENSDARG00000002760,0
ENSDARG00000002764,0
ENSDARG00000002768,656
ENSDARG00000002771,24
ENSDARG00000002779,4
ENSDARG00000002787,49
ENSDARG00000002790,115
ENSDARG00000002791,665
ENSDARG00000002792,31
ENSDARG00000002795,3
ENSDARG00000002797,0
ENSDARG00000002798,1
ENSDARG00000002816,67
ENSDARG00000002826,2
ENSDARG00000002830,4
ENSDARG00000002831,25
ENSDARG00000002840,131
ENSDARG00000002847,0
ENSDARG00000002872,21
ENSDARG00000002877,96
ENSDARG00000002880,52
ENSDARG00000002894,14
ENSDARG00000002897,36
ENSDARG00000002909,30
ENSDARG00000002912,31
ENSDARG00000002916,53
ENSDARG00000002917,6
ENSDARG00000002933,27
ENSDARG00000002937,59
ENSDARG00000002945,29
ENSDARG00000002947,39
ENSDARG00000002949,55
ENSDARG00000002952,11
ENSDARG00000002956,0
ENSDARG00000002959,0
ENSDARG00000002967,28
ENSDARG00000002968,24
ENSDARG00000002970,23
ENSDARG00000002971,7
ENSDARG00000002986,7
ENSDARG00000002988,54
ENSDARG00000002991,46
ENSDARG00000002994,27
ENSDARG00000003008,68
ENSDARG00000003017,33
ENSDARG00000003020,16
ENSDARG00000003021,2
ENSDARG00000003022,10
ENSDARG00000003027,6
ENSDARG00000003032,350
ENSDARG00000003035,133
ENSDARG00000003041,22
ENSDARG00000003046,47
ENSDARG00000003054,16
ENSDARG00000003058,24
ENSDARG00000003061,0
ENSDARG00000003068,15
ENSDARG00000003069,36
ENSDARG00000003077,23
ENSDARG00000003081,1747
ENSDARG00000003084,10
ENSDARG00000003085,14
ENSDARG00000003087,87
ENSDARG00000003090,0
ENSDARG00000003091,0
ENSDARG00000003098,123
ENSDARG00000003109,1
ENSDARG00000003113,23
ENSDARG00000003127,108
ENSDARG00000003132,0
ENSDARG00000003142,79
ENSDARG00000003144,0
ENSDARG00000003146,0
ENSDARG00000003151,161
ENSDARG00000003153,10
ENSDARG00000003157,25
ENSDARG00000003165,30
ENSDARG00000003167,8
ENSDARG00000003169,296
ENSDARG00000003175,1
ENSDARG00000003181,9
ENSDARG00000003189,74
ENSDARG00000003193,0
ENSDARG00000003197,0
ENSDARG00000003200,2
ENSDARG00000003203,26
ENSDARG00000003205,17
ENSDARG00000003206,34
ENSDARG00000003207,0
ENSDARG00000003208,4
ENSDARG00000003210,12
ENSDARG00000003213,91
ENSDARG00000003216,8
ENSDARG00000003217,16
ENSDARG00000003219,2
ENSDARG00000003229,0
ENSDARG00000003235,8
ENSDARG00000003244,1
ENSDARG00000003250,39
ENSDARG00000003251,17
ENSDARG00000003257,13
ENSDARG00000003259,2
ENSDARG00000003269,117
ENSDARG00000003270,15
ENSDARG00000003281,53
ENSDARG00000003287,10
ENSDARG00000003290,38
ENSDARG00000003293,113
ENSDARG00000003303,0
ENSDARG00000003307,53
ENSDARG00000003308,37
ENSDARG00000003311,89
ENSDARG00000003313,0
ENSDARG00000003320,74
ENSDARG00000003326,0
ENSDARG00000003328,27
ENSDARG00000003344,8
ENSDARG00000003373,13
ENSDARG00000003375,7
ENSDARG00000003380,0
ENSDARG00000003381,6
ENSDARG00000003382,29
ENSDARG00000003383,7
ENSDARG00000003395,11
ENSDARG00000003398,40
ENSDARG00000003399,9
ENSDARG00000003403,219
ENSDARG00000003411,3
ENSDARG00000003414,0
ENSDARG00000003420,16
ENSDARG00000003421,67
ENSDARG00000003429,140
ENSDARG00000003444,8
ENSDARG00000003446,3
ENSDARG00000003449,44
ENSDARG00000003462,30
ENSDARG00000003469,54
ENSDARG00000003475,0
ENSDARG00000003486,104
ENSDARG00000003487,75
ENSDARG00000003495,135
ENSDARG00000003512,244
ENSDARG00000003517,4
ENSDARG00000003519,12
ENSDARG00000003520,55
ENSDARG00000003523,0
ENSDARG00000003526,11
ENSDARG00000003527,27
ENSDARG00000003531,25
ENSDARG00000003533,0
ENSDARG00000003544,91
ENSDARG00000003553,0
