	DMSO_A	DMSO_B	DMSO_C	DMSO_D	P1400_10-5_A	P1400_10-5_B	P1400_10-5_C	P1400_10-4_A	P1400_10-4_B	P1400_10-4_C	P1400_10-3_A	P1400_10-3_B	P1400_10-3_C	P1400_10-2_A	P1400_10-2_B	P1400_10-2_C	P1400_10-1_B	P1400_10-1_C	P1400_3uM_A	P1400_3uM_B	P1400_3uM_C
100000104	1.95908224	1.705861073	1.437386259	2.133981443	0.898921686	1.765473735	1.609532006	1.761122115	1.499820758	1.402346482	1.811646827	1.576649914	1.511558778	1.965051151	1.723421011	1.587921066	1.660327275	1.956703269	1.501740622	1.497533724	1.0831997
100000119	3.425446152	3.69318296	3.694567437	3.690537566	3.459904196	3.564222905	3.53097823	3.369665542	3.330144459	3.41902451	3.221328306	3.409148846	3.586880007	3.08849211	3.446093288	3.327274358	3.37911981	3.348269316	3.307699488	3.553638121	3.395857501
100000122	4.43889543	4.394826794	4.650946987	4.523569088	4.250761726	4.325764984	4.36886865	4.157262858	4.251363851	4.283276612	4.131545362	4.290022337	4.195311437	4.208407662	4.258512252	4.41324604	4.539195894	4.289827945	4.103309283	4.273634771	4.280384224
100000125	4.959339448	5.016252141	5.123282932	5.026773078	5.092851299	5.19394905	5.11397037	5.017434221	4.988422419	4.958805914	4.961990117	5.171035596	5.143745272	4.873016635	5.141592891	5.031710847	5.020371025	5.071393211	5.131412268	5.138581597	5.071437476
100000131	2.381611834	2.862310995	2.898938909	2.574464893	2.651996404	2.914117768	2.34904594	2.650818622	2.376274755	2.370476667	2.442321203	2.612435053	2.674228509	2.236056213	2.948977497	2.329013952	2.04311583	2.714623015	2.30353417	2.0134189	2.232389595
100000132	1.265878696	1.378991889	1.785021489	1.419600781	1.112512237	1.368774594	1.381675377	1.350726226	0.962361668	1.16741226	1.225802147	1.461293106	1.238426509	0.350118089	1.251802156	1.091864069	0.678186801	1.112946975	0.764244281	1.355991814	1.192324534
100000133	3.127516885	3.11034123	3.129310758	3.215191104	2.934625499	3.164789381	3.044877916	2.734052391	2.79724158	3.104624529	2.777741552	2.934222184	2.96598237	2.681300531	3.016199436	3.039228348	2.696547752	2.576574727	2.205654804	2.859282045	2.896461746
100000135	3.342344228	3.547783582	3.448618503	3.850932509	2.852100942	3.460923628	3.012033778	2.914383344	3.062282358	3.092460005	2.74209507	2.890296276	3.236186083	2.350366671	3.264484147	3.03331226	2.782970871	3.249009902	2.495250265	3.036759661	3.063779226
100000140	0.265403294	1.101766843	0.301494885	0.675946813	0.648120374	1.90975186	0.424975775	0.959256248	1.836013119	-0.079982635	0.059016966	2.123681331	1.153994566	0.733899789	2.198903458	0.702105821	1.163780213	-0.091069242	0.976970701	0.537538648	-0.068855597
100000148	3.107523584	1.489308551	3.576827771	2.902025919	3.197836681	2.022882319	3.449916528	3.114034189	1.485730226	3.623071466	2.174608813	1.399960614	3.243014586	2.591170739	1.997394912	3.669979825	2.084542165	3.850934102	2.319220729	2.750351295	3.500363593
100000151	4.595430257	4.458597106	4.624215855	4.583737597	4.388889524	4.492192666	4.345330447	4.327731081	4.095396546	4.366452316	4.398078428	4.273018524	4.54390664	4.322690256	4.205495186	4.168032291	4.189680555	4.539660416	4.433845004	4.158978839	4.390406371
100000156	2.742996909	2.447056615	1.64311176	2.398032218	1.884581574	2.241242822	0.50269046	2.127203103	1.858058212	1.120260027	1.86233372	1.782908116	1.31818918	2.432520298	2.804338045	1.398409228	1.985962776	0.867346832	1.821076077	0.686893564	0.163331955
100000160	5.51045481	5.502773298	5.704600069	5.617776548	5.544321305	5.408683532	5.537442674	5.551170399	5.251480068	5.434050568	5.326324836	5.345190467	5.377359411	5.357115929	5.501138978	5.354718681	5.348340613	5.458206383	5.515311135	5.462451676	5.389106573
100000165	4.791963986	5.032741925	4.978837033	5.002732013	4.522964816	4.865237129	4.779270142	4.434238804	4.36156386	4.411213881	4.625412455	4.406349228	4.897678315	4.119436534	4.602669503	4.37399352	4.257659702	4.953870378	4.609972538	4.285395796	4.590580259
100000175	7.945360158	8.777607591	8.461820512	8.942351362	8.374730403	8.623318948	8.329912929	8.136009939	7.91306298	7.838233377	8.287385343	8.019226931	8.461474282	7.434175698	8.339921883	7.583707545	7.370856502	8.518737829	8.361576155	7.267455829	7.81130828
100000190	4.738798904	4.537752477	4.594227995	4.415145679	5.21179825	4.839727058	4.361065176	5.187658501	4.599336963	4.256269102	5.210458572	4.59831897	4.478868083	5.227338834	4.653698575	4.408683144	4.856655354	4.618253862	5.124732814	4.664353893	4.415946106
100000219	2.087114813	1.234410493	2.201403239	1.790242052	2.142436767	1.652801223	1.851520769	1.981520695	1.779379991	1.992564937	1.667071241	1.860844707	2.227782795	0.834028305	2.510015012	1.75540439	1.971313597	1.54504456	1.501740622	2.255864105	1.87130674
100000223	5.022986295	5.074045633	4.882872194	4.8321515	5.257401924	5.169583908	4.544507589	5.393690284	4.904849387	5.0496941	5.107413074	4.951719376	4.948694108	5.280436714	5.001400721	4.93189536	5.058986366	4.968345114	4.941769551	4.667353233	4.839461963
100000230	8.167820287	8.084311427	7.899395262	7.822711227	8.239236819	8.075217523	8.043609689	8.280805068	8.401828681	8.309298826	8.416487876	8.204014859	7.93993996	8.756852878	8.202822642	8.081201724	8.44031831	7.969793762	8.164001251	8.414941473	7.975134224
100000242	6.083960349	6.074115855	5.995910067	5.820169516	5.929528993	5.844154548	6.066665376	6.04346535	5.906246306	6.259947786	6.137823678	5.951649739	6.210782975	6.18016643	5.774227154	6.183420155	5.937085008	6.261141442	6.257394414	5.887167625	6.347013502
100000252	5.801349554	6.139018718	6.143452055	6.092838443	5.847769062	6.15357048	5.913252146	5.751736801	5.767544718	5.798440873	5.791667781	5.917407199	6.038000699	5.44088307	5.904128193	5.922035612	5.774677141	6.032288559	5.704873567	5.682991749	5.856238724
100000256	7.639068193	8.618899111	8.154664908	8.679507137	8.1210828	8.370473298	8.030140072	7.861920193	7.633644313	7.549065598	8.080619271	7.832127337	8.102703755	7.167430206	8.112111697	7.209442083	7.050757119	8.185188352	8.112885206	7.02536956	7.402042892
100000285	2.217198544	1.489308551	1.765583466	1.684302447	1.570387603	1.478634026	2.00628822	1.592939468	1.568280201	1.534107614	1.568753535	1.420695842	1.488758217	1.338967197	1.575266741	1.487647132	1.660327275	1.381620671	1.607730418	1.955706789	1.36543526
100000319	3.254161314	2.870488602	3.399019721	3.104537748	2.885679321	3.088864579	2.828035248	2.744126918	3.145301349	2.951408592	2.846496296	2.976850097	2.684297902	2.870027983	3.080428141	2.663712791	2.978775139	2.798023446	2.782316685	2.644744889	2.77890495
100000322	3.672256644	3.30391767	3.663397683	3.096299452	3.122381853	3.123103138	3.108404701	3.129488787	3.421802022	3.38950024	3.368860144	3.439946321	3.069488042	3.738435151	3.243597802	3.097092022	3.506506695	3.547793067	3.167418359	2.530793104	3.127001493
100000325	2.266116338	1.89411066	2.142341587	2.574464893	2.114386374	1.929233781	1.951910716	1.74114066	1.847077772	1.569644419	2.004512366	1.717378028	1.74112093	1.559759575	1.763099184	1.905451162	1.848435699	2.004306066	1.864487573	1.385432947	1.640430895
100000326	3.100797102	3.210373705	2.853630496	3.407245426	3.492961144	3.181132362	3.353578406	2.958317006	3.215287592	3.134594529	3.113864047	3.129498371	3.187459592	3.143191993	3.325387977	3.045120275	3.239385927	3.116654012	3.369273327	3.046007477	3.252012463
100000332	2.179389985	2.795165818	2.127190491	2.574464893	3.562087351	1.849676058	2.146049557	1.700327846	1.953293389	2.298171112	1.776838388	1.845590573	2.227782795	2.333359263	1.529983832	3.579501542	2.422756865	2.607729139	2.61447132	2.656868	2.660441099
