	DMSO_A	DMSO_B	DMSO_C	DMSO_D	P1400_10-5_A	P1400_10-5_B	P1400_10-5_C	P1400_10-4_A	P1400_10-4_B	P1400_10-4_C	P1400_10-3_A	P1400_10-3_B	P1400_10-3_C	P1400_10-2_A	P1400_10-2_B	P1400_10-2_C	P1400_10-1_B	P1400_10-1_C	P1400_3uM_A	P1400_3uM_B	P1400_3uM_C
431717	9.2015546465	9.4708943745	9.5225597585	9.6046446205	9.2905199095	9.4462782445	9.3375395505	9.1380519045	9.2068886415	9.1570246865	9.1434359945	9.1573306605	9.4314471265	8.9311171315	9.3814484735	9.1919405585	8.9007207695	9.4307664855	9.2792396865	8.9349176785	9.1750510545
553410	10.7758711455	11.0900674315	11.0267917885	11.1476481895	10.8017297385	11.0998104335	10.8717554075	10.7071674905	10.5665052145	10.6341997695	10.7728603645	10.7375046315	11.0495988675	10.3484307745	10.8194080845	10.8142461105	10.3651535345	11.1253885455	10.8567662105	10.2905221305	10.9175090575
100006088	6.6925158025	6.9389529215	6.7490520035	6.6755475415	6.9225287355	6.6783655505	6.5379901485	6.8801824125	6.7593831225	6.5705695605	6.8835337535	6.7620064795	6.6113873715	6.9310749935	6.8529344755	6.6134271595	7.1908680605	6.8817863915	6.5017230485	6.8152641535	6.7816497905
566781	8.4645680495	8.4094948195	8.5811358255	8.1945592845	8.2483837095	8.5255812915	8.3735680835	8.3811932585	8.2273112895	8.5032109195	8.5286317605	8.2616634395	8.3306564535	8.7184034345	8.3433347175	8.3873031875	8.7412897665	8.5240237575	8.3183000965	8.4434240415	8.2016183275
352938	5.0230980435	5.4665375855	5.3559538195	5.7046512685	3.8473850075	4.9602661735	4.3202907345	3.8978636025	3.8747389055	3.6348444355	4.0202244275	3.7747015615	4.5268283035	3.6921961085	4.1476781395	3.8469902155	4.2343673375	5.2817359975	3.7601389165	4.3912658685	4.3361792895
368211	10.1644308505	10.2018905945	10.3638720435	10.4446859665	9.7319838985	10.2107155075	9.8418035105	9.7186794725	9.6853331425	9.7279998265	9.7301887475	9.6906965215	9.9095902475	9.3369326545	10.0282416215	9.8065096995	9.5657593575	10.2642420685	9.8191272955	9.4584213735	9.8151828355
566221	8.4350410115	8.3602829875	8.4909782835	8.2178527945	8.5136700825	8.3643735085	8.2389821985	8.5244282535	8.2779456285	8.2379373455	8.6843707385	8.4292947955	8.2776803335	8.4469262245	8.3366821175	8.4426775845	8.2444193065	8.6386026835	8.7525347885	8.1962755965	8.5236075935
566537	10.7461235825	10.9041239045	10.9530015055	10.8692310025	10.8205607625	10.9500793125	10.7910979185	10.7169277645	10.5643819735	10.6745876095	10.5034178885	10.7484635335	10.8883367255	10.3387397545	10.7776532455	10.6665309115	10.5848051005	10.9210795235	10.6529304235	10.6462796055	10.6582887985
566151	7.1870398065	7.3717824305	7.4811050935	7.3939039435	7.1979951725	7.1851382025	7.2479848905	7.0462901995	6.7593831225	6.9984502175	6.9244298045	6.7702233245	7.1864110775	7.1139002405	7.2212443065	6.8365548315	7.1649875535	7.4475817915	7.0983916295	7.0195127735	7.0912911245
503532	9.2730837185	9.0402816815	9.0012943755	9.0982246525	9.2936946195	8.9619167455	9.2416613985	9.4011822495	9.1400279005	9.3507432945	9.1978262045	9.3870708785	9.3679213165	9.4462676645	9.2459998265	9.2239023235	9.2659091455	9.1562100735	9.4057071815	9.3734265065	9.3131815395
403080	8.1806481415	8.2115222375	8.4758941795	8.4121235345	7.8982582645	8.2032914215	8.1651538775	7.8953772825	7.9846970955	8.2210371225	7.8588607275	8.2990575795	8.2977750295	7.8126745525	8.3986764855	8.1638754545	8.2810236625	8.2712378105	7.9091498595	8.4183644665	8.3191543015
447910	8.0017916245	7.8286824495	7.9115891275	7.9288775635	7.6384469165	7.8768463915	7.7542886775	7.6512007455	7.5001727265	7.6005051245	7.6745689325	7.7451050845	7.8166997055	7.5128678615	7.7428983555	7.7092688845	7.7080349625	7.8529393945	7.3514475385	7.5345494225	7.8469767175
100535437	5.6462284005	5.8983255145	6.1167512515	5.6599967665	4.9192705075	5.6963995185	5.3389565185	4.7554983585	4.9622139295	4.9069829435	5.5891023565	5.2189205385	5.7420459865	5.0779545015	5.2997767355	5.2005327235	5.7344581525	5.3280056745	4.8297218255	5.7650815565	5.1861561765
100034578	6.5890728845	6.6519341145	6.8366793555	6.7413247875	6.0621261505	6.5048662085	6.2257100445	6.3349857925	6.0915683565	5.9182311925	6.4626700245	6.0925358135	6.1335443805	6.4448611055	6.0827963765	6.2285308665	6.5767042285	6.7689127195	5.8632939245	5.8098168185	6.3984570975
