sample,chemical,dose
Pool-ID-6_S6 A01 expression values.csv,BPA,1000
Pool-ID-6_S6 A02 expression values.csv,BPA,1000
Pool-ID-6_S6 A03 expression values.csv,BPA,1000
Pool-ID-6_S6 A04 expression values.csv,BPA,100
Pool-ID-6_S6 A05 expression values.csv,BPA,100
Pool-ID-6_S6 A06 expression values.csv,BPA,100
Pool-ID-6_S6 A07 expression values.csv,BPA,10
Pool-ID-6_S6 A08 expression values.csv,BPA,10
Pool-ID-6_S6 A09 expression values.csv,BPA,10
Pool-ID-6_S6 A10 expression values.csv,BPA,1
Pool-ID-6_S6 A11 expression values.csv,BPA,1
Pool-ID-6_S6 A12 expression values.csv,BPA,1
Pool-ID-6_S6 B01 expression values.csv,BPA,0.1
Pool-ID-6_S6 B02 expression values.csv,BPA,0.1
Pool-ID-6_S6 B03 expression values.csv,BPA,0.1
Pool-ID-6_S6 B04 expression values.csv,BPA,0
Pool-ID-6_S6 B05 expression values.csv,BPA,0
Pool-ID-6_S6 B06 expression values.csv,BPA,0
Pool-ID-7_S7 B07 expression values.csv,BPAF,1000
Pool-ID-7_S7 B08 expression values.csv,BPAF,1000
Pool-ID-7_S7 B09 expression values.csv,BPAF,1000
Pool-ID-7_S7 B10 expression values.csv,BPAF,100
Pool-ID-7_S7 B11 expression values.csv,BPAF,100
Pool-ID-7_S7 B12 expression values.csv,BPAF,100
Pool-ID-7_S7 C01 expression values.csv,BPAF,10
Pool-ID-7_S7 C02 expression values.csv,BPAF,10
Pool-ID-7_S7 C03 expression values.csv,BPAF,10
Pool-ID-7_S7 C04 expression values.csv,BPAF,1
Pool-ID-7_S7 C05 expression values.csv,BPAF,1
Pool-ID-7_S7 C06 expression values.csv,BPAF,1
Pool-ID-7_S7 C07 expression values.csv,BPAF,0.1
Pool-ID-7_S7 C08 expression values.csv,BPAF,0.1
Pool-ID-7_S7 C09 expression values.csv,BPAF,0.1
Pool-ID-7_S7 C10 expression values.csv,BPAF,0
Pool-ID-7_S7 C11 expression values.csv,BPAF,0
Pool-ID-7_S7 C12 expression values.csv,BPAF,0
Pool-ID-8_S8 D01 expression values.csv,DES,100
Pool-ID-8_S8 D02 expression values.csv,DES,100
Pool-ID-8_S8 D03 expression values.csv,DES,100
Pool-ID-8_S8 D04 expression values.csv,DES,10
Pool-ID-8_S8 D05 expression values.csv,DES,10
Pool-ID-8_S8 D06 expression values.csv,DES,10
Pool-ID-8_S8 D07 expression values.csv,DES,1
Pool-ID-8_S8 D08 expression values.csv,DES,1
Pool-ID-8_S8 D09 expression values.csv,DES,1
Pool-ID-8_S8 D10 expression values.csv,DES,0.1
Pool-ID-8_S8 D11 expression values.csv,DES,0.1
Pool-ID-8_S8 D12 expression values.csv,DES,0.1
Pool-ID-8_S8 E01 expression values.csv,DES,0.01
Pool-ID-8_S8 E02 expression values.csv,DES,0.01
Pool-ID-8_S8 E03 expression values.csv,DES,0.01
Pool-ID-8_S8 E04 expression values.csv,DES,0
Pool-ID-8_S8 E05 expression values.csv,DES,0
Pool-ID-8_S8 E06 expression values.csv,DES,0
Pool-ID-9_S9 E07 expression values.csv,EE2,1
Pool-ID-9_S9 E08 expression values.csv,EE2,1
Pool-ID-9_S9 E09 expression values.csv,EE2,1
Pool-ID-9_S9 E10 expression values.csv,EE2,0.1
Pool-ID-9_S9 E11 expression values.csv,EE2,0.1
Pool-ID-9_S9 E12 expression values.csv,EE2,0.1
Pool-ID-9_S9 F01 expression values.csv,EE2,0.01
Pool-ID-9_S9 F02 expression values.csv,EE2,0.01
Pool-ID-9_S9 F03 expression values.csv,EE2,0.01
Pool-ID-9_S9 F04 expression values.csv,EE2,0.001
Pool-ID-9_S9 F05 expression values.csv,EE2,0.001
Pool-ID-9_S9 F06 expression values.csv,EE2,0.001
Pool-ID-9_S9 F07 expression values.csv,EE2,0.0001
Pool-ID-9_S9 F08 expression values.csv,EE2,0.0001
Pool-ID-9_S9 F09 expression values.csv,EE2,0.0001
Pool-ID-9_S9 F10 expression values.csv,EE2,0
Pool-ID-9_S9 F11 expression values.csv,EE2,0
Pool-ID-9_S9 F12 expression values.csv,EE2,0
Pool-ID-10_S10 G01 expression values.csv,TGSH,1000
Pool-ID-10_S10 G02 expression values.csv,TGSH,1000
Pool-ID-10_S10 G03 expression values.csv,TGSH,1000
Pool-ID-10_S10 G04 expression values.csv,TGSH,100
Pool-ID-10_S10 G05 expression values.csv,TGSH,100
Pool-ID-10_S10 G06 expression values.csv,TGSH,100
Pool-ID-10_S10 G07 expression values.csv,TGSH,10
Pool-ID-10_S10 G08 expression values.csv,TGSH,10
Pool-ID-10_S10 G09 expression values.csv,TGSH,10
Pool-ID-10_S10 G10 expression values.csv,TGSH,1
Pool-ID-10_S10 G11 expression values.csv,TGSH,1
Pool-ID-10_S10 G12 expression values.csv,TGSH,1
Pool-ID-10_S10 H01 expression values.csv,TGSH,0.1
Pool-ID-10_S10 H02 expression values.csv,TGSH,0.1
Pool-ID-10_S10 H03 expression values.csv,TGSH,0.1
Pool-ID-10_S10 H04 expression values.csv,TGSH,0
Pool-ID-10_S10 H05 expression values.csv,TGSH,0
Pool-ID-10_S10 H06 expression values.csv,TGSH,0
