B11,Counts
ENSDARG00000002467,14
ENSDARG00000002479,24
ENSDARG00000002483,13
ENSDARG00000002487,45
ENSDARG00000002494,13
ENSDARG00000002506,23
ENSDARG00000002507,39
ENSDARG00000002508,52
ENSDARG00000002509,1
ENSDARG00000002510,3
ENSDARG00000002523,8
ENSDARG00000002533,7
ENSDARG00000002536,30
ENSDARG00000002538,28
ENSDARG00000002546,59
ENSDARG00000002549,16
ENSDARG00000002552,70
ENSDARG00000002564,29
ENSDARG00000002571,20
ENSDARG00000002576,25
ENSDARG00000002582,11
ENSDARG00000002587,178
ENSDARG00000002589,369
ENSDARG00000002591,50
ENSDARG00000002593,0
ENSDARG00000002597,0
ENSDARG00000002600,92
ENSDARG00000002601,7
ENSDARG00000002607,8
ENSDARG00000002609,59
ENSDARG00000002613,0
ENSDARG00000002632,109
ENSDARG00000002634,9
ENSDARG00000002635,86
ENSDARG00000002642,14
ENSDARG00000002644,28
ENSDARG00000002656,215
ENSDARG00000002659,44
ENSDARG00000002663,26
ENSDARG00000002666,0
ENSDARG00000002670,25
ENSDARG00000002682,72
ENSDARG00000002685,0
ENSDARG00000002690,0
ENSDARG00000002696,252
ENSDARG00000002701,0
ENSDARG00000002707,0
ENSDARG00000002710,438
ENSDARG00000002720,17
ENSDARG00000002722,0
ENSDARG00000002728,0
ENSDARG00000002731,101
ENSDARG00000002732,3
ENSDARG00000002745,153
ENSDARG00000002748,77
ENSDARG00000002750,58
ENSDARG00000002754,0
ENSDARG00000002758,845
ENSDARG00000002760,12
ENSDARG00000002764,3
ENSDARG00000002768,1988
ENSDARG00000002771,2
ENSDARG00000002779,1
ENSDARG00000002787,70
ENSDARG00000002790,117
ENSDARG00000002791,821
ENSDARG00000002792,49
ENSDARG00000002795,21
ENSDARG00000002797,0
ENSDARG00000002798,9
ENSDARG00000002816,20
ENSDARG00000002826,5
ENSDARG00000002830,4
ENSDARG00000002831,14
ENSDARG00000002840,72
ENSDARG00000002847,17
ENSDARG00000002872,12
ENSDARG00000002877,137
ENSDARG00000002880,80
ENSDARG00000002894,9
ENSDARG00000002897,20
ENSDARG00000002909,35
ENSDARG00000002912,16
ENSDARG00000002916,49
ENSDARG00000002917,2
ENSDARG00000002933,21
ENSDARG00000002937,40
ENSDARG00000002945,17
ENSDARG00000002947,14
ENSDARG00000002949,111
ENSDARG00000002952,35
ENSDARG00000002956,7
ENSDARG00000002959,0
ENSDARG00000002967,40
ENSDARG00000002968,101
ENSDARG00000002970,66
ENSDARG00000002971,45
ENSDARG00000002986,23
ENSDARG00000002988,82
ENSDARG00000002991,52
ENSDARG00000002994,18
ENSDARG00000003008,94
ENSDARG00000003017,17
ENSDARG00000003020,24
ENSDARG00000003021,9
ENSDARG00000003022,2
ENSDARG00000003027,3
ENSDARG00000003032,439
ENSDARG00000003035,146
ENSDARG00000003041,3
ENSDARG00000003046,37
ENSDARG00000003054,3
ENSDARG00000003058,20
ENSDARG00000003061,2
ENSDARG00000003068,48
ENSDARG00000003069,22
ENSDARG00000003077,4
ENSDARG00000003081,4069
ENSDARG00000003084,14
ENSDARG00000003085,13
ENSDARG00000003087,98
ENSDARG00000003090,0
ENSDARG00000003091,21
ENSDARG00000003098,291
ENSDARG00000003109,27
ENSDARG00000003113,191
ENSDARG00000003127,43
ENSDARG00000003132,27
ENSDARG00000003142,0
ENSDARG00000003144,0
ENSDARG00000003146,4
ENSDARG00000003151,120
ENSDARG00000003153,12
ENSDARG00000003157,19
ENSDARG00000003165,27
ENSDARG00000003167,21
ENSDARG00000003169,493
ENSDARG00000003175,20
ENSDARG00000003181,4
ENSDARG00000003189,192
ENSDARG00000003193,14
ENSDARG00000003197,0
ENSDARG00000003200,33
ENSDARG00000003203,41
ENSDARG00000003205,25
ENSDARG00000003206,28
ENSDARG00000003207,16
ENSDARG00000003208,17
ENSDARG00000003210,22
ENSDARG00000003213,232
ENSDARG00000003216,63
ENSDARG00000003217,23
ENSDARG00000003219,49
ENSDARG00000003229,0
ENSDARG00000003235,0
ENSDARG00000003244,2
ENSDARG00000003250,20
ENSDARG00000003251,10
ENSDARG00000003257,12
ENSDARG00000003259,30
ENSDARG00000003269,209
ENSDARG00000003270,53
ENSDARG00000003281,42
ENSDARG00000003287,9
ENSDARG00000003290,24
ENSDARG00000003293,80
ENSDARG00000003303,0
ENSDARG00000003307,26
ENSDARG00000003308,37
ENSDARG00000003311,42
ENSDARG00000003313,5
ENSDARG00000003320,54
ENSDARG00000003326,0
ENSDARG00000003328,16
ENSDARG00000003344,0
ENSDARG00000003373,16
ENSDARG00000003375,4
ENSDARG00000003380,11
ENSDARG00000003381,15
ENSDARG00000003382,33
ENSDARG00000003383,38
ENSDARG00000003395,14
ENSDARG00000003398,19
ENSDARG00000003399,3
ENSDARG00000003403,103
ENSDARG00000003411,37
ENSDARG00000003414,0
ENSDARG00000003420,4
ENSDARG00000003421,122
ENSDARG00000003429,70
ENSDARG00000003444,8
ENSDARG00000003446,32
ENSDARG00000003449,103
ENSDARG00000003462,80
ENSDARG00000003469,24
ENSDARG00000003475,0
ENSDARG00000003486,133
ENSDARG00000003487,23
ENSDARG00000003495,77
ENSDARG00000003512,109
ENSDARG00000003517,27
ENSDARG00000003519,6
ENSDARG00000003520,11
ENSDARG00000003523,0
ENSDARG00000003526,49
ENSDARG00000003527,9
ENSDARG00000003531,18
ENSDARG00000003533,6
ENSDARG00000003544,44
ENSDARG00000003553,1
ENSDARG00000003564,33
ENSDARG00000003570,72
ENSDARG00000003573,16
ENSDARG00000003576,0
ENSDARG00000003584,10
ENSDARG00000003592,0
ENSDARG00000003599,1871
ENSDARG00000003607,32
ENSDARG00000003615,14
ENSDARG00000003616,46
ENSDARG00000003631,104
ENSDARG00000003632,0
ENSDARG00000003635,1
ENSDARG00000003641,34
ENSDARG00000003642,7
ENSDARG00000003655,297
ENSDARG00000003675,0
ENSDARG00000003680,205
ENSDARG00000003681,344
ENSDARG00000003684,29
ENSDARG00000003693,33
ENSDARG00000003695,360
ENSDARG00000003697,2
ENSDARG00000003699,53
ENSDARG00000003701,0
ENSDARG00000003705,112
ENSDARG00000003706,17
ENSDARG00000003732,0
ENSDARG00000003749,20
ENSDARG00000003750,19
ENSDARG00000003751,88
ENSDARG00000003754,32
ENSDARG00000003757,5
ENSDARG00000003769,4
ENSDARG00000003776,98
ENSDARG00000003779,116
ENSDARG00000003789,44
ENSDARG00000003795,615
ENSDARG00000003797,8
ENSDARG00000003803,10
ENSDARG00000003808,13
ENSDARG00000003811,326
ENSDARG00000003818,69
ENSDARG00000003820,142
ENSDARG00000003822,0
ENSDARG00000003827,5
ENSDARG00000003829,54
ENSDARG00000003835,231
ENSDARG00000003841,2
ENSDARG00000003845,32
ENSDARG00000003846,7
ENSDARG00000003854,114
ENSDARG00000003860,28
ENSDARG00000003865,14
ENSDARG00000003866,79
ENSDARG00000003867,10
ENSDARG00000003869,10
ENSDARG00000003872,31
ENSDARG00000003877,157
ENSDARG00000003899,0
ENSDARG00000003900,0
ENSDARG00000003902,99
ENSDARG00000003903,0
ENSDARG00000003904,0
ENSDARG00000003909,0
ENSDARG00000003910,102
ENSDARG00000003920,68
ENSDARG00000003925,1
ENSDARG00000003927,16
ENSDARG00000003931,51
ENSDARG00000003934,6
ENSDARG00000003938,51
ENSDARG00000003940,28
ENSDARG00000003941,23
ENSDARG00000003944,0
ENSDARG00000003952,181
ENSDARG00000003961,10
ENSDARG00000003963,66
ENSDARG00000003965,0
ENSDARG00000003968,0
ENSDARG00000003970,8
ENSDARG00000003971,7
ENSDARG00000003973,25
ENSDARG00000003974,16
ENSDARG00000003977,0
ENSDARG00000003984,23
ENSDARG00000003989,87
ENSDARG00000003991,39
ENSDARG00000003994,4
ENSDARG00000003998,52
ENSDARG00000004015,4
ENSDARG00000004017,8
ENSDARG00000004018,1
ENSDARG00000004023,157
ENSDARG00000004034,58
ENSDARG00000004037,24
ENSDARG00000004046,0
ENSDARG00000004049,74
ENSDARG00000004051,5
ENSDARG00000004055,64
ENSDARG00000004059,0
ENSDARG00000004060,472
ENSDARG00000004074,149
ENSDARG00000004078,87
ENSDARG00000004082,0
ENSDARG00000004094,161
ENSDARG00000004105,54
ENSDARG00000004109,0
ENSDARG00000004111,5
ENSDARG00000004114,11
ENSDARG00000004115,50
ENSDARG00000004130,1
ENSDARG00000004131,5
ENSDARG00000004132,285
ENSDARG00000004150,0
ENSDARG00000004151,12
ENSDARG00000004154,0
ENSDARG00000004158,0
ENSDARG00000004160,35
ENSDARG00000004161,52
ENSDARG00000004167,2
ENSDARG00000004169,41
ENSDARG00000004171,19
ENSDARG00000004173,134
ENSDARG00000004174,261
ENSDARG00000004176,10
ENSDARG00000004177,35
ENSDARG00000004184,57
ENSDARG00000004187,12
ENSDARG00000004189,37
ENSDARG00000004196,51
ENSDARG00000004199,5
ENSDARG00000004204,0
ENSDARG00000004211,20
ENSDARG00000004218,16
ENSDARG00000004219,8
ENSDARG00000004227,64
ENSDARG00000004232,4
ENSDARG00000004243,1
ENSDARG00000004246,91
ENSDARG00000004251,1
ENSDARG00000004256,0
ENSDARG00000004260,0
ENSDARG00000004261,53
ENSDARG00000004262,11
ENSDARG00000004270,12
ENSDARG00000004274,10
ENSDARG00000004280,16
ENSDARG00000004282,56
ENSDARG00000004291,38
ENSDARG00000004296,37
ENSDARG00000004297,125
ENSDARG00000004301,18
ENSDARG00000004302,18
ENSDARG00000004305,25
ENSDARG00000004306,14
ENSDARG00000004307,3
ENSDARG00000004308,14
ENSDARG00000004311,8
ENSDARG00000004318,9
ENSDARG00000004322,3
ENSDARG00000004325,12
ENSDARG00000004328,0
ENSDARG00000004336,92
ENSDARG00000004343,4
ENSDARG00000004358,37
ENSDARG00000004363,2
ENSDARG00000004372,42
ENSDARG00000004377,35
ENSDARG00000004378,20
ENSDARG00000004386,88
ENSDARG00000004392,2
ENSDARG00000004396,0
ENSDARG00000004402,42
ENSDARG00000004405,6
ENSDARG00000004406,0
ENSDARG00000004415,182
ENSDARG00000004427,0
ENSDARG00000004433,0
ENSDARG00000004436,5
ENSDARG00000004445,21
ENSDARG00000004447,0
ENSDARG00000004451,18
ENSDARG00000004452,343
ENSDARG00000004455,0
ENSDARG00000004459,15
ENSDARG00000004460,16
ENSDARG00000004470,34
ENSDARG00000004472,20
ENSDARG00000004473,0
ENSDARG00000004492,15
ENSDARG00000004497,4
ENSDARG00000004498,0
ENSDARG00000004502,28
ENSDARG00000004517,23
ENSDARG00000004525,21
ENSDARG00000004527,0
ENSDARG00000004529,0
ENSDARG00000004537,532
ENSDARG00000004539,4
ENSDARG00000004561,0
ENSDARG00000004574,0
ENSDARG00000004576,10
ENSDARG00000004580,57
ENSDARG00000004581,30
ENSDARG00000004586,2
ENSDARG00000004587,37
ENSDARG00000004588,409
ENSDARG00000004592,9
ENSDARG00000004594,50
ENSDARG00000004597,82
ENSDARG00000004598,0
ENSDARG00000004616,9
ENSDARG00000004618,0
ENSDARG00000004621,224
ENSDARG00000004627,0
ENSDARG00000004632,7
ENSDARG00000004633,0
ENSDARG00000004634,30
ENSDARG00000004635,98
ENSDARG00000004636,19
ENSDARG00000004643,40
ENSDARG00000004647,3
ENSDARG00000004648,0
ENSDARG00000004658,30
ENSDARG00000004672,78
ENSDARG00000004680,6
ENSDARG00000004687,6
ENSDARG00000004692,78
ENSDARG00000004695,12
ENSDARG00000004696,29
ENSDARG00000004697,12
ENSDARG00000004702,22
ENSDARG00000004706,36
ENSDARG00000004712,24
ENSDARG00000004713,0
ENSDARG00000004714,122
ENSDARG00000004721,0
ENSDARG00000004724,57
ENSDARG00000004726,82
ENSDARG00000004735,204
ENSDARG00000004745,12
ENSDARG00000004748,12
ENSDARG00000004753,21
ENSDARG00000004754,56
ENSDARG00000004757,1263
ENSDARG00000004763,3
ENSDARG00000004771,17
ENSDARG00000004774,51
ENSDARG00000004782,211
ENSDARG00000004785,82
ENSDARG00000004789,93
ENSDARG00000004794,2
ENSDARG00000004796,98
ENSDARG00000004806,0
ENSDARG00000004823,0
ENSDARG00000004830,94
ENSDARG00000004836,68
ENSDARG00000004840,16
ENSDARG00000004843,23
ENSDARG00000004851,3
ENSDARG00000004861,78
ENSDARG00000004864,5
ENSDARG00000004866,56
ENSDARG00000004869,15
ENSDARG00000004870,34
ENSDARG00000004871,3
ENSDARG00000004874,0
ENSDARG00000004875,39
ENSDARG00000004877,219
ENSDARG00000004880,4
ENSDARG00000004889,1
ENSDARG00000004891,31
ENSDARG00000004898,0
ENSDARG00000004904,11
ENSDARG00000004906,25
ENSDARG00000004925,1
ENSDARG00000004930,303
ENSDARG00000004931,12
ENSDARG00000004932,1
ENSDARG00000004937,0
ENSDARG00000004939,12
ENSDARG00000004948,52
ENSDARG00000004952,0
ENSDARG00000004953,9
ENSDARG00000004954,0
ENSDARG00000004956,47
ENSDARG00000004964,33
ENSDARG00000004979,45
ENSDARG00000004988,58
ENSDARG00000005002,10
ENSDARG00000005004,9
ENSDARG00000005010,9
ENSDARG00000005015,151
ENSDARG00000005023,7
ENSDARG00000005026,206
ENSDARG00000005034,0
ENSDARG00000005049,0
ENSDARG00000005050,0
ENSDARG00000005057,2
ENSDARG00000005058,50
ENSDARG00000005078,20
ENSDARG00000005085,23
ENSDARG00000005092,7
ENSDARG00000005095,0
ENSDARG00000005098,0
ENSDARG00000005104,33
ENSDARG00000005108,11
ENSDARG00000005112,233
ENSDARG00000005115,1
ENSDARG00000005122,107
ENSDARG00000005126,52
ENSDARG00000005128,0
ENSDARG00000005134,24
ENSDARG00000005139,16
ENSDARG00000005141,56
ENSDARG00000005150,2
ENSDARG00000005154,12
ENSDARG00000005159,89
ENSDARG00000005162,151
ENSDARG00000005163,0
ENSDARG00000005172,2
ENSDARG00000005176,0
ENSDARG00000005179,12
ENSDARG00000005185,62
ENSDARG00000005186,68
ENSDARG00000005191,467
ENSDARG00000005210,10
ENSDARG00000005216,25
ENSDARG00000005218,4
ENSDARG00000005220,10
ENSDARG00000005221,17
ENSDARG00000005230,71
ENSDARG00000005232,93
ENSDARG00000005236,491
ENSDARG00000005246,0
ENSDARG00000005251,9
ENSDARG00000005254,22
ENSDARG00000005271,0
ENSDARG00000005274,7
ENSDARG00000005284,0
ENSDARG00000005314,0
ENSDARG00000005315,179
ENSDARG00000005318,35
ENSDARG00000005320,4
ENSDARG00000005327,7
ENSDARG00000005332,0
ENSDARG00000005335,1
ENSDARG00000005343,26
ENSDARG00000005350,37
ENSDARG00000005355,55
ENSDARG00000005356,47
ENSDARG00000005359,61
ENSDARG00000005364,21
ENSDARG00000005368,43
ENSDARG00000005371,0
ENSDARG00000005372,49
ENSDARG00000005374,56
ENSDARG00000005382,0
ENSDARG00000005392,0
ENSDARG00000005394,25
ENSDARG00000005397,87
ENSDARG00000005414,0
ENSDARG00000005416,54
ENSDARG00000005423,29
ENSDARG00000005425,37
ENSDARG00000005448,6
ENSDARG00000005451,125
ENSDARG00000005453,171
ENSDARG00000005454,37
ENSDARG00000005456,45
ENSDARG00000005458,36
ENSDARG00000005462,39
ENSDARG00000005463,38
ENSDARG00000005464,0
ENSDARG00000005468,90
ENSDARG00000005476,227
ENSDARG00000005479,388
ENSDARG00000005481,12
ENSDARG00000005482,325
ENSDARG00000005485,19
ENSDARG00000005500,46
ENSDARG00000005510,0
ENSDARG00000005513,1032
ENSDARG00000005518,12
ENSDARG00000005522,1
ENSDARG00000005525,13
ENSDARG00000005526,36
ENSDARG00000005536,94
ENSDARG00000005540,138
ENSDARG00000005541,10
ENSDARG00000005544,21
ENSDARG00000005547,19
ENSDARG00000005549,40
ENSDARG00000005551,11
ENSDARG00000005559,9
ENSDARG00000005560,118
ENSDARG00000005561,27
ENSDARG00000005565,30
ENSDARG00000005574,35
ENSDARG00000005576,146
ENSDARG00000005578,65
ENSDARG00000005586,39
ENSDARG00000005590,77
ENSDARG00000005595,3
ENSDARG00000005606,40
ENSDARG00000005612,3
ENSDARG00000005616,0
ENSDARG00000005619,0
ENSDARG00000005625,61
ENSDARG00000005626,0
ENSDARG00000005627,0
ENSDARG00000005629,35
ENSDARG00000005640,4
ENSDARG00000005643,5
ENSDARG00000005645,159
ENSDARG00000005648,29
ENSDARG00000005651,16
ENSDARG00000005652,140
ENSDARG00000005670,34
ENSDARG00000005673,1
ENSDARG00000005675,16
ENSDARG00000005679,18
ENSDARG00000005690,25
ENSDARG00000005699,37
ENSDARG00000005704,30
ENSDARG00000005713,23
ENSDARG00000005716,23
ENSDARG00000005738,25
ENSDARG00000005739,31
ENSDARG00000005749,31
ENSDARG00000005754,205
ENSDARG00000005762,36
ENSDARG00000005772,2
ENSDARG00000005774,123
ENSDARG00000005775,324
ENSDARG00000005776,9
ENSDARG00000005780,1
ENSDARG00000005783,161
ENSDARG00000005786,8
ENSDARG00000005789,10
ENSDARG00000005791,458
ENSDARG00000005799,11
ENSDARG00000005800,25
ENSDARG00000005814,0
ENSDARG00000005821,2
ENSDARG00000005823,67
ENSDARG00000005827,77
ENSDARG00000005828,9
ENSDARG00000005834,120
ENSDARG00000005840,46
ENSDARG00000005841,76
ENSDARG00000005842,10
ENSDARG00000005853,0
ENSDARG00000005861,363
ENSDARG00000005865,0
ENSDARG00000005867,48
ENSDARG00000005870,17
ENSDARG00000005883,39
ENSDARG00000005891,48
ENSDARG00000005894,24
ENSDARG00000005897,2
ENSDARG00000005908,22
ENSDARG00000005913,1
ENSDARG00000005915,134
ENSDARG00000005916,22
ENSDARG00000005924,131
ENSDARG00000005926,24
ENSDARG00000005927,65
ENSDARG00000005941,110
ENSDARG00000005942,0
ENSDARG00000005943,1
ENSDARG00000005945,55
ENSDARG00000005948,34
ENSDARG00000005972,19
ENSDARG00000005980,92
ENSDARG00000005989,0
ENSDARG00000005993,7
ENSDARG00000006003,43
ENSDARG00000006008,76
ENSDARG00000006010,1
ENSDARG00000006011,6
ENSDARG00000006019,200
ENSDARG00000006025,18
ENSDARG00000006029,24
ENSDARG00000006031,404
ENSDARG00000006038,18
ENSDARG00000006040,7
ENSDARG00000006044,24
ENSDARG00000006052,17
ENSDARG00000006060,137
ENSDARG00000006062,228
ENSDARG00000006065,14
ENSDARG00000006074,8
ENSDARG00000006079,7
ENSDARG00000006092,282
ENSDARG00000006093,1
ENSDARG00000006094,142
ENSDARG00000006109,0
ENSDARG00000006110,14
ENSDARG00000006112,34
ENSDARG00000006120,43
ENSDARG00000006124,247
ENSDARG00000006125,35
ENSDARG00000006128,106
ENSDARG00000006137,0
ENSDARG00000006151,0
ENSDARG00000006169,46
ENSDARG00000006174,0
ENSDARG00000006181,45
ENSDARG00000006192,51
ENSDARG00000006196,11
ENSDARG00000006200,641
ENSDARG00000006202,34
ENSDARG00000006206,1
ENSDARG00000006207,8
ENSDARG00000006215,15
ENSDARG00000006219,54
ENSDARG00000006220,71
ENSDARG00000006225,110
ENSDARG00000006235,9
ENSDARG00000006240,58
ENSDARG00000006242,368
ENSDARG00000006251,175
ENSDARG00000006253,15
ENSDARG00000006257,202
ENSDARG00000006260,399
ENSDARG00000006266,43
ENSDARG00000006272,30
ENSDARG00000006279,17
ENSDARG00000006283,75
ENSDARG00000006288,4
ENSDARG00000006290,13
ENSDARG00000006292,0
ENSDARG00000006299,55
ENSDARG00000006300,5
ENSDARG00000006301,108
ENSDARG00000006307,25
ENSDARG00000006308,0
ENSDARG00000006314,117
ENSDARG00000006316,281
ENSDARG00000006332,61
ENSDARG00000006341,0
ENSDARG00000006345,7
ENSDARG00000006350,0
ENSDARG00000006353,40
ENSDARG00000006356,47
ENSDARG00000006368,0
ENSDARG00000006370,17
ENSDARG00000006372,0
ENSDARG00000006383,69
ENSDARG00000006385,28
ENSDARG00000006389,82
ENSDARG00000006392,33
ENSDARG00000006395,159
ENSDARG00000006396,118
ENSDARG00000006397,61
ENSDARG00000006399,116
ENSDARG00000006408,38
ENSDARG00000006409,12
ENSDARG00000006413,78
ENSDARG00000006420,133
ENSDARG00000006422,92
ENSDARG00000006427,129
ENSDARG00000006434,4
ENSDARG00000006447,9
ENSDARG00000006456,0
ENSDARG00000006467,17
ENSDARG00000006468,0
ENSDARG00000006474,0
ENSDARG00000006477,24
ENSDARG00000006487,167
ENSDARG00000006491,6
ENSDARG00000006494,40
ENSDARG00000006497,305
ENSDARG00000006501,0
ENSDARG00000006508,22
ENSDARG00000006514,54
ENSDARG00000006522,10
ENSDARG00000006524,350
ENSDARG00000006526,663
ENSDARG00000006527,62
ENSDARG00000006544,4
ENSDARG00000006545,21
ENSDARG00000006546,56
ENSDARG00000006553,43
ENSDARG00000006560,0
ENSDARG00000006566,116
ENSDARG00000006567,0
ENSDARG00000006568,0
ENSDARG00000006577,5
ENSDARG00000006580,0
ENSDARG00000006584,100
ENSDARG00000006585,36
ENSDARG00000006588,4
ENSDARG00000006598,1
ENSDARG00000006600,20
ENSDARG00000006601,23
ENSDARG00000006602,0
ENSDARG00000006603,45
ENSDARG00000006604,20
ENSDARG00000006607,15
ENSDARG00000006609,23
ENSDARG00000006615,36
ENSDARG00000006617,17
ENSDARG00000006621,54
ENSDARG00000006624,21
ENSDARG00000006636,29
ENSDARG00000006639,13
ENSDARG00000006640,22
ENSDARG00000006642,6
ENSDARG00000006666,0
ENSDARG00000006672,56
ENSDARG00000006677,14
ENSDARG00000006678,0
ENSDARG00000006683,33
ENSDARG00000006691,200
ENSDARG00000006712,14
ENSDARG00000006719,81
ENSDARG00000006747,154
