C10,Counts
ENSDARG00000002467,14
ENSDARG00000002479,26
ENSDARG00000002483,15
ENSDARG00000002487,26
ENSDARG00000002494,19
ENSDARG00000002506,3
ENSDARG00000002507,44
ENSDARG00000002508,63
ENSDARG00000002509,0
ENSDARG00000002510,0
ENSDARG00000002523,16
ENSDARG00000002533,3
ENSDARG00000002536,69
ENSDARG00000002538,53
ENSDARG00000002546,23
ENSDARG00000002549,16
ENSDARG00000002552,84
ENSDARG00000002564,67
ENSDARG00000002571,52
ENSDARG00000002576,10
ENSDARG00000002582,18
ENSDARG00000002587,337
ENSDARG00000002589,267
ENSDARG00000002591,79
ENSDARG00000002593,16
ENSDARG00000002597,0
ENSDARG00000002600,87
ENSDARG00000002601,26
ENSDARG00000002607,14
ENSDARG00000002609,13
ENSDARG00000002613,0
ENSDARG00000002632,72
ENSDARG00000002634,0
ENSDARG00000002635,100
ENSDARG00000002642,12
ENSDARG00000002644,24
ENSDARG00000002656,211
ENSDARG00000002659,68
ENSDARG00000002663,15
ENSDARG00000002666,17
ENSDARG00000002670,34
ENSDARG00000002682,87
ENSDARG00000002685,0
ENSDARG00000002690,22
ENSDARG00000002696,550
ENSDARG00000002701,0
ENSDARG00000002707,0
ENSDARG00000002710,429
ENSDARG00000002720,11
ENSDARG00000002722,0
ENSDARG00000002728,0
ENSDARG00000002731,119
ENSDARG00000002732,9
ENSDARG00000002745,94
ENSDARG00000002748,4
ENSDARG00000002750,50
ENSDARG00000002754,9
ENSDARG00000002758,663
ENSDARG00000002760,0
ENSDARG00000002764,10
ENSDARG00000002768,1358
ENSDARG00000002771,28
ENSDARG00000002779,5
ENSDARG00000002787,74
ENSDARG00000002790,130
ENSDARG00000002791,537
ENSDARG00000002792,46
ENSDARG00000002795,18
ENSDARG00000002797,0
ENSDARG00000002798,1
ENSDARG00000002816,111
ENSDARG00000002826,8
ENSDARG00000002830,2
ENSDARG00000002831,3
ENSDARG00000002840,169
ENSDARG00000002847,24
ENSDARG00000002872,0
ENSDARG00000002877,73
ENSDARG00000002880,85
ENSDARG00000002894,9
ENSDARG00000002897,17
ENSDARG00000002909,55
ENSDARG00000002912,36
ENSDARG00000002916,85
ENSDARG00000002917,14
ENSDARG00000002933,27
ENSDARG00000002937,62
ENSDARG00000002945,9
ENSDARG00000002947,33
ENSDARG00000002949,132
ENSDARG00000002952,82
ENSDARG00000002956,0
ENSDARG00000002959,0
ENSDARG00000002967,39
ENSDARG00000002968,94
ENSDARG00000002970,36
ENSDARG00000002971,27
ENSDARG00000002986,7
ENSDARG00000002988,63
ENSDARG00000002991,42
ENSDARG00000002994,28
ENSDARG00000003008,194
ENSDARG00000003017,16
ENSDARG00000003020,64
ENSDARG00000003021,16
ENSDARG00000003022,16
ENSDARG00000003027,1
ENSDARG00000003032,558
ENSDARG00000003035,240
ENSDARG00000003041,0
ENSDARG00000003046,79
ENSDARG00000003054,6
ENSDARG00000003058,46
ENSDARG00000003061,3
ENSDARG00000003068,70
ENSDARG00000003069,29
ENSDARG00000003077,7
ENSDARG00000003081,3827
ENSDARG00000003084,29
ENSDARG00000003085,20
ENSDARG00000003087,99
ENSDARG00000003090,0
ENSDARG00000003091,1
ENSDARG00000003098,187
ENSDARG00000003109,19
ENSDARG00000003113,53
ENSDARG00000003127,65
ENSDARG00000003132,8
ENSDARG00000003142,21
ENSDARG00000003144,15
ENSDARG00000003146,36
ENSDARG00000003151,152
ENSDARG00000003153,13
ENSDARG00000003157,17
ENSDARG00000003165,41
ENSDARG00000003167,6
ENSDARG00000003169,593
ENSDARG00000003175,64
ENSDARG00000003181,0
ENSDARG00000003189,69
ENSDARG00000003193,0
ENSDARG00000003197,5
ENSDARG00000003200,18
ENSDARG00000003203,19
ENSDARG00000003205,2
ENSDARG00000003206,9
ENSDARG00000003207,22
ENSDARG00000003208,56
ENSDARG00000003210,17
ENSDARG00000003213,143
ENSDARG00000003216,47
ENSDARG00000003217,27
ENSDARG00000003219,8
ENSDARG00000003229,0
ENSDARG00000003235,20
ENSDARG00000003244,3
ENSDARG00000003250,21
ENSDARG00000003251,17
ENSDARG00000003257,8
ENSDARG00000003259,0
ENSDARG00000003269,191
ENSDARG00000003270,10
ENSDARG00000003281,80
ENSDARG00000003287,13
ENSDARG00000003290,48
ENSDARG00000003293,48
ENSDARG00000003303,1
ENSDARG00000003307,58
ENSDARG00000003308,29
ENSDARG00000003311,132
ENSDARG00000003313,15
ENSDARG00000003320,93
ENSDARG00000003326,0
ENSDARG00000003328,7
ENSDARG00000003344,0
ENSDARG00000003373,0
ENSDARG00000003375,3
ENSDARG00000003380,4
ENSDARG00000003381,14
ENSDARG00000003382,25
ENSDARG00000003383,46
ENSDARG00000003395,15
ENSDARG00000003398,29
ENSDARG00000003399,0
ENSDARG00000003403,213
ENSDARG00000003411,21
ENSDARG00000003414,0
ENSDARG00000003420,2
ENSDARG00000003421,82
ENSDARG00000003429,72
ENSDARG00000003444,13
ENSDARG00000003446,5
ENSDARG00000003449,98
ENSDARG00000003462,42
ENSDARG00000003469,15
ENSDARG00000003475,0
ENSDARG00000003486,202
ENSDARG00000003487,42
ENSDARG00000003495,115
ENSDARG00000003512,406
ENSDARG00000003517,3
ENSDARG00000003519,1
ENSDARG00000003520,26
ENSDARG00000003523,0
ENSDARG00000003526,35
ENSDARG00000003527,44
ENSDARG00000003531,43
ENSDARG00000003533,4
ENSDARG00000003544,48
ENSDARG00000003553,0
ENSDARG00000003564,20
ENSDARG00000003570,77
ENSDARG00000003573,33
ENSDARG00000003576,0
ENSDARG00000003584,12
ENSDARG00000003592,3
ENSDARG00000003599,1838
ENSDARG00000003607,34
ENSDARG00000003615,20
ENSDARG00000003616,82
ENSDARG00000003631,125
ENSDARG00000003632,0
ENSDARG00000003635,4
ENSDARG00000003641,11
ENSDARG00000003642,23
ENSDARG00000003655,371
ENSDARG00000003675,0
ENSDARG00000003680,310
ENSDARG00000003681,253
ENSDARG00000003684,25
ENSDARG00000003693,31
ENSDARG00000003695,358
ENSDARG00000003697,0
ENSDARG00000003699,39
ENSDARG00000003701,0
ENSDARG00000003705,102
ENSDARG00000003706,13
ENSDARG00000003732,11
ENSDARG00000003749,5
ENSDARG00000003750,22
ENSDARG00000003751,44
ENSDARG00000003754,38
ENSDARG00000003757,2
ENSDARG00000003769,6
ENSDARG00000003776,56
ENSDARG00000003779,113
ENSDARG00000003789,136
ENSDARG00000003795,478
ENSDARG00000003797,24
ENSDARG00000003803,6
ENSDARG00000003808,48
ENSDARG00000003811,297
ENSDARG00000003818,42
ENSDARG00000003820,112
ENSDARG00000003822,7
ENSDARG00000003827,2
ENSDARG00000003829,63
ENSDARG00000003835,218
ENSDARG00000003841,1
ENSDARG00000003845,26
ENSDARG00000003846,0
ENSDARG00000003854,92
ENSDARG00000003860,29
ENSDARG00000003865,10
ENSDARG00000003866,106
ENSDARG00000003867,25
ENSDARG00000003869,8
ENSDARG00000003872,45
ENSDARG00000003877,162
ENSDARG00000003899,0
ENSDARG00000003900,2
ENSDARG00000003902,66
ENSDARG00000003903,0
ENSDARG00000003904,0
ENSDARG00000003909,0
ENSDARG00000003910,113
ENSDARG00000003920,97
ENSDARG00000003925,1
ENSDARG00000003927,64
ENSDARG00000003931,18
ENSDARG00000003934,5
ENSDARG00000003938,42
ENSDARG00000003940,30
ENSDARG00000003941,16
ENSDARG00000003944,0
ENSDARG00000003952,172
ENSDARG00000003961,1
ENSDARG00000003963,69
ENSDARG00000003965,1
ENSDARG00000003968,0
ENSDARG00000003970,17
ENSDARG00000003971,8
ENSDARG00000003973,7
ENSDARG00000003974,36
ENSDARG00000003977,0
ENSDARG00000003984,40
ENSDARG00000003989,129
ENSDARG00000003991,44
ENSDARG00000003994,2
ENSDARG00000003998,36
ENSDARG00000004015,9
ENSDARG00000004017,27
ENSDARG00000004018,9
ENSDARG00000004023,220
ENSDARG00000004034,113
ENSDARG00000004037,15
ENSDARG00000004046,29
ENSDARG00000004049,22
ENSDARG00000004051,9
ENSDARG00000004055,75
ENSDARG00000004059,1
ENSDARG00000004060,457
ENSDARG00000004074,360
ENSDARG00000004078,5
ENSDARG00000004082,2
ENSDARG00000004094,122
ENSDARG00000004105,43
ENSDARG00000004109,0
ENSDARG00000004111,0
ENSDARG00000004114,5
ENSDARG00000004115,55
ENSDARG00000004130,1
ENSDARG00000004131,20
ENSDARG00000004132,270
ENSDARG00000004150,26
ENSDARG00000004151,42
ENSDARG00000004154,1
ENSDARG00000004158,37
ENSDARG00000004160,41
ENSDARG00000004161,69
ENSDARG00000004167,15
ENSDARG00000004169,45
ENSDARG00000004171,13
ENSDARG00000004173,190
ENSDARG00000004174,415
ENSDARG00000004176,9
ENSDARG00000004177,27
ENSDARG00000004184,106
ENSDARG00000004187,7
ENSDARG00000004189,366
ENSDARG00000004196,100
ENSDARG00000004199,15
ENSDARG00000004204,0
ENSDARG00000004211,39
ENSDARG00000004218,74
ENSDARG00000004219,10
ENSDARG00000004227,38
ENSDARG00000004232,10
ENSDARG00000004243,0
ENSDARG00000004246,168
ENSDARG00000004251,11
ENSDARG00000004256,0
ENSDARG00000004260,3
ENSDARG00000004261,86
ENSDARG00000004262,14
ENSDARG00000004270,32
ENSDARG00000004274,1
ENSDARG00000004280,42
ENSDARG00000004282,23
ENSDARG00000004291,77
ENSDARG00000004296,43
ENSDARG00000004297,255
ENSDARG00000004301,0
ENSDARG00000004302,57
ENSDARG00000004305,19
ENSDARG00000004306,7
ENSDARG00000004307,6
ENSDARG00000004308,17
ENSDARG00000004311,1
ENSDARG00000004318,18
ENSDARG00000004322,18
ENSDARG00000004325,16
ENSDARG00000004328,3
ENSDARG00000004336,119
ENSDARG00000004343,17
ENSDARG00000004358,68
ENSDARG00000004363,12
ENSDARG00000004372,55
ENSDARG00000004377,72
ENSDARG00000004378,6
ENSDARG00000004386,141
ENSDARG00000004392,3
ENSDARG00000004396,14
ENSDARG00000004402,36
ENSDARG00000004405,1
ENSDARG00000004406,2
ENSDARG00000004415,516
ENSDARG00000004427,13
ENSDARG00000004433,12
ENSDARG00000004436,12
ENSDARG00000004445,33
ENSDARG00000004447,12
ENSDARG00000004451,7
ENSDARG00000004452,365
ENSDARG00000004455,17
ENSDARG00000004459,12
ENSDARG00000004460,3
